,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
32,(주)지오스토리,[지오스토리] 영상 딥러닝 AI개발자 경력직 채용,"서울,강서구,경력무관,대졸↑,정규직·계약직","딥러닝,R,영상처리,측량/계측,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47855632&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
33,(주)에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (팀장급),"경기전체,경력 10~15년,대졸↑,정규직","딥러닝,AI(인공지능),OpenCV,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463291&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
34,(주)에이치아이티에스,딥러닝 응용 Application 연구/개발 전문인력 모집,"경기,부천시,경력무관,대졸↑,정규직","딥러닝,알고리즘,영상처리,Java,Linux",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47932893&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
35,(주)스탠스,(주)스탠스 딥러닝엔진개발팀 팀원 모집,"서울,노원구,경력5년↑,대졸↑,정규직","딥러닝,알고리즘,R,IoT,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47922195&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
36,(주)에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (3년이상),"경기전체,경력 3~9년,대졸↑,정규직","딥러닝,AI(인공지능),OpenCV,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463251&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
37,(주)클레온,"Deep Learning Researcher J(AI딥러닝 연구원, CV)","서울,중구,경력 2~10년,석사↑,정규직","딥러닝,알고리즘,R,Tensorflow,블록체인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46533258&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
38,씨드로닉스(주),딥러닝(이미지) 연구개발,"서울,강남구,신입·경력,석사↑,정규직","딥러닝,AI(인공지능),OpenCV,Python,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47642005&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
39,포인드(주),포인드(주) 인공지능·딥러닝 개발자(경력) 채용,"경북,구미시,경력1년↑,초대졸↑,정규직","딥러닝,아키텍쳐,AI(인공지능),Python,정보통신",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878447&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
40,포인드(주),포인드(주) 인공지능·딥러닝 개발자(신입) 채용,"경북,구미시,신입,초대졸↑,정규직","딥러닝,아키텍쳐,AI(인공지능),Python,정보통신",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878425&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
41,(주)옵트에이아이,딥러닝 및 임베디드 개발자 채용 공고 (전문연구요원 가능),"서울,강서구,신입·경력,고졸↑,정규직","딥러닝,AI(인공지능),OpenCV,Python,신경망",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47886463&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
42,(주)델타엑스,딥러닝/3D 비전/Data Scientist 병역특례(전문연구요원),"서울,구로구,경력무관,석사↑,정규직·전문연구요원","딥러닝,AI(인공지능),NLP(자연어처리),인터페이스,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47754939&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
43,(주)핸디비전,"머신비전  개발자 , C/C++/C#, OpenCV, MIL, PYTHON, 딥러닝, AI","경기,용인시 기흥구,경력무관,초대졸↑,정규직·계약직","딥러닝,AI(인공지능),OpenCV,Python,OpenGL",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47795203&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
44,(주)하이비젼시스템,딥러닝 경력직 엔지니어 채용,"경기,성남시 분당구,경력5년↑,석사↑,정규직","딥러닝,영상처리,Tensorflow,Pytorch,정밀광학",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47914968&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
45,(주)이프,[딥러닝 개발] 머신비전 CV/딥러닝 개발자 신입/경력,"경기,화성시,경력무관,학력무관,정규직","딥러닝,Windows,.NET,OpenCV,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47946689&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
46,(주)폼즈,딥러닝 엔지니어 (스테이블 디퓨전),"서울,마포구,신입·경력,대졸↑,정규직","딥러닝,알고리즘,블록체인,빅데이터,솔루션",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44605372&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
47,(주)딥아이,[딥테크R&D] 데이터분석/머신러닝/딥러닝 연구원 및 개발자 모집,"부산,기장군,경력무관,학력무관,정규직","딥러닝,Tensorflow,빅데이터,솔루션,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47960557&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
48,일리아스AI,AI 딥러닝 개발자 경력 채용,"서울,구로구,경력5년↑,석사↑,정규직","딥러닝,아키텍쳐,Python,Matlab,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47833383&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
