,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
39,㈜옵트에이아이,Vision AI 어플리케이션 엔지니어,"경력,석사↑,서울 강서구,정규직","솔루션, 딥러닝, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/38058130
40,㈜옵트에이아이,Vision AI 어플리케이션 엔지니어 경력,"경력3년↑,석사↑,서울 강서구,정규직","소프트웨어개발, 솔루션, 딥러닝",https://www.jobkorea.co.kr/Recruit/Co_Read/C/38058130
41,올거나이즈코리아,AI Researcher / Engineer,"경력,학력무관,서울 강남구,정규직",소프트웨어개발,https://www.jobkorea.co.kr/Recruit/Co_Read/C/29431043
42,웨이센,AI Research Engineer 시니어,"경력5년↑,대졸↑,서울 강남구,정규직","BigData, 솔루션, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33974343
43,㈜스트라드비젼,Algorithm Engineer.Camera,"경력3년↑,석사↑,서울 서초구,정규직",소프트웨어개발,https://www.jobkorea.co.kr/Recruit/Co_Read/C/17223942
44,웨이센,AI Research Engineer 주니어,"경력2년↑,대졸↑,서울 강남구,정규직","소프트웨어개발, 솔루션, BigData",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33974343
45,㈜단솔플러스,[RPA] 삼성전자 Brity RPA 운영/개발 모집,"경력무관,초대졸↑,서울 강남구,정규직","RPA, 소프트웨어개발, ERP, SI, 시스템설계, 모델링, 챗봇",https://www.jobkorea.co.kr/Recruit/Co_Read/C/27214
46,휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식교육),"신입·경력,학력무관,서울 영등포구 외,연수생/교육생","백엔드, 사물인터넷, 프론트엔드, IT학원, 게임기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/24993048
47,이젠컴퓨터아카데미,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),"신입·경력,고졸↑,서울 관악구 외,연수생/교육생","CAD, 앱디자인, MAX, Unity, 메타버스, 기업교육, e러닝, IT학원, 디자인, CAD, 웹에이전시, 2D디자인, 2D온라인게임, 3D디자인, 3D모델링, 3D온라인게임, 게임디자인, 게임소프트웨어, 모바일앱게임, 웹게임, 퍼블리싱, Java게임, 모바일, 모바일App, 게임기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 영상제작, 증강현실, 가상현실, 메타버스, 모델링, 데이터관리, 빅데이터, 데이터레이크, 데이터파이프라인, 네트워크관리, 방화벽, 정보보안, 시스템분석, 시스템설계, 정보보안, 모델링, 증강현실, 가상현실, 클라이언트, 메타버스, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 인공지능, 웹마스터, GUI, 웹표준·웹접근성, 2D디자인, 모션그래픽, 애니메이션, 원화디자인, CG, Sign디자인, 디지털디자인, 모션그래픽, 아바타디자인, 애니메이션, 원화디자인, 모션그래픽, 애니메이션, CG, 영상제작, 모바일디자인, UI·UX기획, GUI, 모바일디자인, UI·UX기획, 맥디자인, 삽화·일러스트, 2D디자인, 모션그래픽, 애니메이션, 제품개발, 제어·설계, 기계조작, 캐드원, 3D설계, CAM, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 특수효과, CG, 영상제작",https://www.jobkorea.co.kr/Recruit/Co_Read/C/20016955
48,㈜하이미디어아카데미,[국비무료IT취업교육생모집]JAVA개발자/풀스택개발자/프론트엔드/백엔드/빅데이터/개발자취업교육과정/취업연계매칭시스템,"경력무관,학력무관,강원,연수생/교육생","게임기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/41569190
