,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
33,㈜한다랩,[(주)한다랩] 딥러닝/프론트엔드/백엔드 각 부문 개발자 채용,"신입·경력2년↑,학력무관,정규직,,충북 청주시,상시채용","GUI, SI개발, 솔루션, SI, 서버관리, SI개발, ERP, 인터페이스, 아키텍처, 시스템설계, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44140678?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=34
34,㈜테서,의료 텍스트 자연어처리(NLP) 딥러닝 연구원(전문연구요원 가능),"경력무관,대졸↑,정규직 외,,서울 강남구,상시채용","BigData, 솔루션, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44104139?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=35
35,㈜헥토이노베이션,헥토이노베이션 직군별 인재 모집(플랫폼기획/광고영업/마이데이터/정보보안/시스템운영/글로벌구독/재무회계),"경력,학력무관,정규직,,서울 강남구,~04/30(화)","딥러닝, 관리회계, 수행기사, 빅데이터, 기업홍보, 데이터관리, 안드로이드, 재무회계, 기업홍보, 데이터레이크, 인터페이스, UI·UX기획, 시장조사, 프로모션, 데이터분석, 영상제작, 음성인식, SI개발, 키워드광고, 프로모션, DBMS, 모바일, 데이터시각화, 브랜드기획, 신사업기획, 자금관리, 브랜딩, 제안·컨설팅, 데이터분석, 서버관리, 인공지능, 재무분석, 챗봇, 재무회계, BI, 제휴마케팅, 매출관리, 모델링, 모바일App, 사업기획, 영어, 모바일디자인, 앱기획, 온라인영업, SI개발, UI·UX기획, 결산, 바이럴마케팅, 재무기획, 오프라인영업, 콘텐츠기획, 결산, 고객관리, 증강현실, 데이터분석, 전략기획, 콘텐츠기획, 스토리보드, 시장분석, 입출금관리, 분석모델링, 브랜드기획, 전략기획, SNS마케팅, 모델링, GUI, 데이터마이닝, 챗봇, SNS마케팅, 언론홍보, 전표입력, 키워드광고, 프로모션, 핀테크, 서비스기획, 재무기획, 콘텐츠기획, 핀테크, 경영기획, 가상현실, 디지털마케팅, 배너광고, 핀테크, 데이터파이프라인, 시장분석, 데이터분석, 이벤트기획, DB튜닝",https://www.jobkorea.co.kr/Recruit/GI_Read/44384259?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=36
36,안전성평가연구소,제2024-1차 정규직 채용 공고,"신입·경력,초대졸↑,정규직,,대전 유성구,~04/18(목)","딥러닝, 임상병리사, 품질보증, 바이오, 검증, 환경, 데이터분석, 인공지능, 화학·섬유, 공공기관, 환경측정, 미생물, 의약외품연구, 대기환경, 모델링, 수질환경, 연구기획, 제약·바이오R&D, 연구·실험·기술, 공무원, 약사, 환경관리, 미생물, 토양환경",https://www.jobkorea.co.kr/Recruit/GI_Read/44371928?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=37
37,㈜안랩,2024 안랩 상반기 신입/Junior 공개채용,"신입·경력,대졸↑,정규직,,경기 성남시,~04/14(일)","딥러닝, CSS, Java, Linux, MySQL, Oracle, Python, Windows, 악성코드 분석, 침해사고 분석, CISSP, CISA, Cloud, Cross platform, CSTE, ElasticSearch, ISTQB, ISO 27001, MAC, kafka, Network, MacOS, OS, PIA, postgresql, Redis, React, SIEM, Vue, ISMS-P, Microsoft365, 리눅스 커널 모드, Windows Agent, 앤드포인트 보안, 리버싱 가능, 어셈블리 언어, MSA Architecture, 데이터 유출 관련, 디지털 포렌식 분석, 네트워크보안, 백신프로그램, 보안소프트웨어, 보안컨설팅, 정보보안, 서비스기획, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터레이크, 데이터분석, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 자연어처리(NLP), 이미지프로세싱, 챗봇, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/GI_Read/44346864?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=38
38,㈜이스트소프트,[ESTsoft] 각부문별 부트캠프 과정 교육생 모집,"신입,학력무관,연수생/교육생,,서울 서초구,~04/19(금)","딥러닝, 빅데이터, 데이터관리, 펌웨어, 데이터레이크, 인터페이스, UI·UX기획, 검증, 데이터분석, 음성인식, SI개발, 솔루션, 시스템설계, 회로설계, 브랜드기획, 신사업기획, 시스템분석, 시스템운영, 제안·컨설팅, PM, 데이터분석, 서버관리, 인공지능, 챗봇, 시스템운영, 정보보안, SI개발, 모델링, 방화벽, 사업기획, 서버구축, 시스템분석, asp, 앱기획, 이미지프로세싱, SI개발, UI·UX기획, 네트워크관리, 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템분석, 시스템설계, 증강현실, 데이터분석, 전략기획, 콘텐츠기획, 솔루션스아키텍트, 네트워크관리, 스토리보드, 펌웨어, 분석모델링, 전략기획, 네트워크관리, 모델링, 정보보안, 데이터마이닝, 클라우드개발자, 아키텍처, 연구기획, 챗봇, 클라이언트, 서버구축, 시스템설계, 핀테크, DW모델러, HTTP, PO, 서비스기획, 음성인식, 클라우드아키텍트, 핀테크, 네트워크관리, 소프트웨어개발, 자연어처리(NLP), 가상현실, 핀테크, 데이터분석, DB튜닝, 메타버스",https://www.jobkorea.co.kr/Recruit/GI_Read/44327033?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=39
39,㈜코난테크놀로지,2024년 상반기 각 부문 신입/경력 상시채용,"신입·경력,초대졸↑,정규직,,서울 서초구,~05/26(일)","딥러닝, BigData, 빅데이터, OLAP개발자, 데이터관리, 펌웨어, 데이터레이크, 인터페이스, 데이터분석, 음성인식, 솔루션, 테스터, DBMS, 시스템영업, 웹마스터, 데이터시각화, 암호화폐, ETL, 시스템분석, 시스템운영, 제안·컨설팅, 인공지능, 챗봇, 기술영업, 시스템운영, 정보보안, BI, SI개발, 모델링, 방화벽, 서버구축, 시스템분석, 앱기획, 이미지프로세싱, SI개발, UI·UX기획, 네트워크관리, 웹사이트구축영업, 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템설계, 증강현실, 데이터분석, 거래처관리, 네트워크관리, 분석모델링, 네트워크관리, 모델링, 정보보안, 데이터마이닝, 클라우드개발자, 아키텍처, 챗봇, 서버구축, 시스템설계, 핀테크, DW모델러, 네트워크영업, 서비스기획, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 검증, 네트워크관리, 소프트웨어개발, 자연어처리(NLP), 가상현실, 핀테크, 데이터파이프라인, 국내영업, 기술지원, DB튜닝, 메타버스",https://www.jobkorea.co.kr/Recruit/GI_Read/44320698?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=40
40,현대오토에버㈜,차량SW · ICT · 경영지원 부문 채용,"경력,학력무관,정규직 외,,서울,상시채용","딥러닝, 소프트웨어개발, SM, 경영기획, 사업기획, 신사업기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, PM, 급여관리, 서버관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 서버관리, 네트워크관리, 서버구축, 빅데이터, 데이터분석, 방화벽, 보안관제, 정보보안, 시스템분석, 시스템설계, 정보보안, 모델링, 자연어처리(NLP), 인공지능, 회로설계, 생산기술, 자동차, 제어·설계, 기구설계, 생산기술, 제품개발, 제어·설계, 자동차, 전기·전자, 로봇설계, 연구·실험·기술, 제조·공정, 건축시공, 시공관리, 건축시공, 시공관리",https://www.jobkorea.co.kr/Recruit/GI_Read/44103697?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=41
41,(주)우아한형제들,각 부문별 경력/신입 인재영입,"신입·경력,학력무관,정규직 외,,서울 송파구,상시채용","딥러닝, 빅데이터, 데이터관리, 웹표준·웹접근성, 거래처관리, IMC, 행정, UI·UX기획, 검증, 식품MD, SI개발, 영사기사, 영업기획, PL, 웹마스터, 브랜딩, 시스템운영, 제안·컨설팅, PM, 서버관리, 인공지능, UI·UX디자인, 가맹점관리, 기술영업, 리테일MD, 시스템운영, 정보보안, SI개발, 모바일App, 사업기획, 서버구축, 시스템분석, 모바일디자인, 앱기획, SI개발, 네트워크관리, 가맹영업, 영상제작, SI개발, 매출관리, 시스템설계, 증강현실, 데이터분석, 면접·채용, 인터페이스, 전략기획, 솔루션스아키텍트, 네트워크관리, 자재구매, 전략기획, 모델링, 데이터마이닝, 클라우드개발자, 아키텍처, 인사행정, 챗봇, 클라이언트, 납품영업, 서버구축, PO, UI·UX기획, 서비스기획, 서버관리, 클라우드아키텍트, 검증, 고객관리, 자연어처리(NLP), 국내영업, 데이터분석",https://www.jobkorea.co.kr/Recruit/GI_Read/34208668?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=42
42,(재)경기도일자리재단,경기청년 일자리 매치업 1차 통합채용공고,"경력무관,학력무관,정규직 외,,경기 부천시 외,~04/15(월)","메카트로닉스, 생산기술, 제품개발, 빅데이터, 기업홍보, 라이센싱, 재무회계, 제어·설계, 데이터레이크, UI·UX기획, 식품MD, 품질보증, 영상제작, SI개발, 생산관리, 영업기획, 유지보수, 재단법인, 품질보증, 검증, 데이터시각화, 의료기기연구, 자금관리, 브랜딩, 시스템분석, 전기·전자, 기계조작, 서버관리, 영업전략, 인공지능, AMD, 기술영업, HACCP, 사이트관리, 방화벽, 자동제어, 로봇설계, 모바일디자인, 자동화라인, 매출관리, 문서작성, 재무기획, HACCP, SI개발, 매출관리, 보안관제, 상품기획, 재고관리, 전기설비, 데이터분석, 제어·설계, 시장분석, 입출금관리, 데이터분석, 분석모델링, 자동화라인, 네트워크관리, 전기배선, 정보보안, GUI, 배관·케이블, 로봇설계, 클라이언트, 문서관리, 상품입출고, 설치, 시스템설계, 언론홍보, 연구·실험·기술, 품질테스트, 네트워크영업, PLC, 콘텐츠기획, 생산기술, 전산입력, 기계조작, 로봇설계, SEO, 데이터파이프라인, 금속, 기술지원, 기술지원, 반도체영업, 통신설비, 이벤트기획",https://www.jobkorea.co.kr/Recruit/GI_Read/44317159?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=43
