player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Samuel Chukwueze,Villarreal,0.4,0.4,0.8
Claudio Bravo,Real Betis,0,0,0
Antonio Raíllo,Mallorca,1.1,0.2,1.3
Nicolas Jackson,Villarreal,0.5,0.2,0.8
Ayoze Pérez,Real Betis,1.6,1.6,3.2
Marc-André ter Stegen,Barcelona,0,0,0
Yannick Carrasco,Atletico Madrid,1,0.9,1.9
Umar Sadiq,Almeria,0,0.3,0.3
Alexander Sørloth,Real Sociedad,0.5,0.2,0.7
David Silva,Real Sociedad,1.3,0.3,1.6
Álvaro Morata,Atletico Madrid,0.4,0.1,0.6
Gerard Piqué,Barcelona,0.7,0,0.7
Aitor Fernández,Osasuna,0,0,0.1
André Almeida,Valencia,1.9,0.9,2.9
David Soria,Getafe,0,0,0
Gavi,Barcelona,1.3,0.9,2.3
Álex Moreno,Real Betis,1.9,1.2,3.1
Iñaki Williams,Athletic Club,0.6,0.4,1
Jordi Masip,Real Valladolid,0,0.1,0.1
Giovani Lo Celso,Villarreal,1.5,0.4,1.9
Jordi Alba,Barcelona,1,0.7,1.7
Andreas Christensen,Barcelona,0.9,0.3,1.1
Álvaro García,Rayo Vallecano,1.4,0.6,2
Gabri Veiga,Celta Vigo,1.2,1,2.2
Iñigo Martínez,Athletic Club,1.2,0.2,1.4
Samuel Lino,Valencia,1.7,1.2,3
Juan Miranda,Real Betis,1.1,0.7,1.8
Marcos Llorente,Atletico Madrid,1.5,0.6,2
Rodrigo De Paul,Atletico Madrid,1.2,0.6,1.7
Pau Torres,Villarreal,1.3,0.4,1.6
Adri Embarba,Almeria,1.7,0.8,2.6
Anuar Tuhami,Real Valladolid,1.3,0,1.3
Yuri Berchiche,Athletic Club,1.9,0.9,2.8
Yeray Álvarez,Athletic Club,1.2,0.3,1.5
Nahuel Molina,Atletico Madrid,2.1,1.6,3.7
Lucas Boyé,Elche,1,0.5,1.5
Iza Carcelén,Cadiz,2.6,0.8,3.4
Selim Amallah,Real Valladolid,2.1,0.4,2.6
Eduardo Camavinga,Real Madrid,1.8,1.1,2.9
Youssouf Sabaly,Real Betis,2,0.5,2.4
Pablo Maffeo,Mallorca,2.1,0.9,3.1
Marcos Acuña,Sevilla,1.9,0.4,2.3
Javi Guerra,Valencia,1.6,1.1,2.7
Pape Gueye,Sevilla,2.3,1.1,3.4
Santi Comesaña,Rayo Vallecano,2,1.3,3.3
David García,Osasuna,1.1,0.1,1.2
Robin Le Normand,Real Sociedad,1.1,0.4,1.5
Dominik Greif,Mallorca,0,0,0
Ivo Grbic,Atletico Madrid,0,0,0
David López,Girona,1.6,0.4,2
Gonzalo Plata,Real Valladolid,1.9,1.4,3.3
Diego Rico,Real Sociedad,1.8,0.8,2.5
Alexander Isak,Real Sociedad,0.5,0,0.5
Dani Ceballos,Real Madrid,1.4,1.3,2.7
Gerard Gumbau,Elche,1.3,0.9,2.2
Alex Berenguer,Athletic Club,1.6,1,2.6
Copete,Mallorca,1.9,0.4,2.3
Omar Alderete,Getafe,1.4,0.5,1.9
Arnau Martínez,Girona,2.1,1.4,3.5
Diego López,Valencia,0.2,1.3,1.5
Germán Pezzella,Real Betis,1.3,0.4,1.7
Unai Núñez,Celta Vigo,1.3,0.4,1.8
Edgar Badia,Elche,0,0,0.1
Fernando Pacheco,Espanyol,0,0.1,0.1
Iker Muniain,Athletic Club,0.7,0.4,1.1
Alfonso Espino,Cadiz,2.4,1.3,3.8
Oihan Sancet,Athletic Club,0.8,0.7,1.5
Mario Hermoso,Atletico Madrid,0.8,0.8,1.7
João Félix,Atletico Madrid,0.7,0.4,1.1
William Carvalho,Real Betis,1.3,0.8,2.1
Adri Embarba,Espanyol,1,0,1
Koke,Atletico Madrid,1.7,1.3,3
Fran García,Rayo Vallecano,2.2,1.1,3.3
Étienne Capoue,Villarreal,0.8,0.3,1
Sergio Canales,Real Betis,0.8,0.6,1.4
Stefan Savic,Atletico Madrid,1.8,0.6,2.4
Cyle Larin,Real Valladolid,0.5,0.2,0.7
Lucas Torró,Osasuna,1.5,0.7,2.2
Lucas Ocampos,Sevilla,1.2,1.2,2.4
Álex Remiro,Real Sociedad,0,0.1,0.1
Carlos García,Cadiz,0,0,0
Valentín Castellanos,Girona,0.3,0.5,0.9
Moi Gómez,Osasuna,0.8,0.5,1.3
Martín Zubimendi,Real Sociedad,1.6,0.6,2.2
Héctor Bellerín,Barcelona,0.7,0.3,1
Oriol Romeu,Girona,2.1,0.8,2.9
Lucas Vázquez,Real Madrid,1.5,0.3,1.8
Eray Cömert,Valencia,1.5,0.7,2.2
Rui Silva,Real Betis,0.2,0,0.2
El Bilal Touré,Almeria,0.2,0.1,0.3
Ante Budimir,Osasuna,0.6,0.3,0.9
Paulo Gazzaniga,Girona,0,0,0
Predrag Rajkovic,Mallorca,0,0.1,0.1
Luis Suárez,Almeria,0.8,1,1.8
Nabil Fekir,Real Betis,0.7,0.5,1.2
Sergio Escudero,Real Valladolid,1.4,0.9,2.3
Aitor Ruibal,Real Betis,1.8,1,2.9
Vinicius Souza,Espanyol,2.9,0.8,3.7
Thierry Correia,Valencia,2.6,0.9,3.5
Rubén Sobrino,Cadiz,1.7,1,2.7
Jan Oblak,Atletico Madrid,0,0,0
Omar Mascarell,Elche,1.9,1.2,3.1
Nemanja Gudelj,Sevilla,1.3,0.4,1.6
Íñigo Ruíz de Galarreta,Mallorca,1.8,1.1,2.9
Suso,Sevilla,0.6,0.5,1.1
Marko Dmitrovic,Sevilla,0,0,0
Justin Kluivert,Valencia,0.7,0.2,0.9
Óscar De Marcos,Athletic Club,1.8,1,2.8
Fernando Martínez,Almeria,0,0.1,0.1
Aridane Hernández,Osasuna,0.9,0.6,1.5
Alfonso Pedraza,Villarreal,1.3,0.4,1.7
Abde Ezzalzouli,Osasuna,1,0.4,1.4
Raúl Albiol,Villarreal,1,0.2,1.2
Luka Modric,Real Madrid,0.6,0.5,1
Luiz Felipe,Real Betis,1.5,0.7,2.2
Sergi Roberto,Barcelona,1,0.5,1.4
Mouctar Diakhaby,Valencia,1,0.2,1.3
Joseph Aidoo,Celta Vigo,1.5,0.3,1.8
Igor Zubeldia,Real Sociedad,1.1,0.3,1.5
Luiz Henrique,Real Betis,1.5,0.7,2.2
Ander Barrenetxea,Real Sociedad,0.9,0.7,1.6
Hugo Mallo,Celta Vigo,2,0.5,2.6
Óscar Trejo,Rayo Vallecano,1.4,1,2.4
Chris Ramos,Cadiz,0.8,0.5,1.3
Thomas Lemar,Atletico Madrid,1.1,0.7,1.8
Mikel Vesga,Athletic Club,1.6,1.2,2.8
Carlos Clerc,Elche,2.3,0.6,2.9
Borja Iglesias,Real Betis,0.2,0.3,0.5
Aimar Oroz,Osasuna,0.8,0.7,1.5
Rodrigo Riquelme,Girona,0.6,0.8,1.4
