player_name,team_name,Fouled,Fouls
Javi Guerra,Valencia,0.7,1.3
Pape Gueye,Sevilla,2.1,1.9
Santi Comesaña,Rayo Vallecano,0.8,1.4
David García,Osasuna,0.5,1.7
Robin Le Normand,Real Sociedad,0.9,1.3
Dominik Greif,Mallorca,0,0
Ivo Grbic,Atletico Madrid,0.1,0.1
David López,Girona,0.8,0.8
Gonzalo Plata,Real Valladolid,1.2,0.6
Diego Rico,Real Sociedad,1.3,1.4
Alexander Isak,Real Sociedad,0,0.5
Dani Ceballos,Real Madrid,1.4,0.6
Gerard Gumbau,Elche,0.6,1.5
Alex Berenguer,Athletic Club,0.7,1.3
Copete,Mallorca,0.9,1.7
Omar Alderete,Getafe,0.4,1.4
Arnau Martínez,Girona,2,1.1
Diego López,Valencia,0.7,0.6
Germán Pezzella,Real Betis,0.5,0.9
Unai Núñez,Celta Vigo,0.9,0.7
Edgar Badia,Elche,0.2,0
Fernando Pacheco,Espanyol,0.3,0
Iker Muniain,Athletic Club,2.1,0.4
Alfonso Espino,Cadiz,1,1.4
Oihan Sancet,Athletic Club,1.5,1.1
Mario Hermoso,Atletico Madrid,0.5,1
João Félix,Atletico Madrid,1.6,1.1
William Carvalho,Real Betis,1.2,0.9
Adri Embarba,Espanyol,1,1
Koke,Atletico Madrid,0.8,0.6
Fran García,Rayo Vallecano,0.7,0.6
Étienne Capoue,Villarreal,1.5,0.6
Sergio Canales,Real Betis,1,0.3
Stefan Savic,Atletico Madrid,0.4,1.4
Cyle Larin,Real Valladolid,1.3,1.2
Lucas Torró,Osasuna,0.9,1.9
Lucas Ocampos,Sevilla,1.3,0.8
Álex Remiro,Real Sociedad,0.1,0
Carlos García,Cadiz,0,0
Valentín Castellanos,Girona,1.3,1.2
Moi Gómez,Osasuna,0.8,0.4
Martín Zubimendi,Real Sociedad,0.9,1.4
Héctor Bellerín,Barcelona,0,0.7
Oriol Romeu,Girona,1,1.8
Lucas Vázquez,Real Madrid,0.7,1
Eray Cömert,Valencia,0.5,1
Rui Silva,Real Betis,0.1,0
