,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
10,10,Lee Kang-In,,23," M(CLR),FW",33(3),2841,6,6,10,0,1.3,80.3,0.6,6,7.09,1.2,0.3,1.4,0,0.1,1.2,0.1,0,1.5,2.5,1.7,0.1,1.2,1.9,24.4,1.6,0.9,0.1,4.6,1.4,0.15,46,0.1
11,11,Federico Valverde,,25, M(CLR),29(5),2509,7,4,2,0,1.9,88.4,0.9,4,7.08,0.9,0.5,0.3,0,0.4,0.4,0.1,0,1.3,0.9,0.4,0.1,0.2,0.6,46.8,0.2,1.7,0,3.94,3.06,0.14,63,0.06
12,12,Sergi Darder,,30, M(CLR),38,3325,6,3,4,0,1.0,78.5,0.3,5,7.08,1.8,0.6,0.8,0,0.6,1.2,0.1,0,1.9,1.8,2.1,0.1,0.7,1.1,37.5,1.3,2.5,0.1,3.31,2.69,0.09,39,0.08
13,13,Enes Ünal,,26, FW,35,2986,14,3,6,0,2.5,60.9,4.6,5,7.07,0.7,0.2,1.7,0.1,1,0.5,0.1,0,0.8,0.6,2.2,0.8,1.4,2.5,20.7,0.1,0.2,0.1,11.56,2.44,0.35,88,0.13
14,14,Juan Foyth,,26," D(CR),DMC",22(2),1960,1,0,6,0,0.6,87.8,1.5,1,7.06,3,0.8,1.7,0.4,2.4,0.7,0.5,0,0.5,1.1,0.4,0,0.6,0.9,45.4,0.2,2.9,0,1.38,-0.38,0.06,14,0.1
15,15,Isi Palazón,,29, AM(R),36(1),2990,9,5,4,0,2.5,78.9,0.8,3,7.05,1.2,0.5,1,0,0.7,1.1,0.1,0,1.8,1.4,2.8,0.2,1.8,2.1,31.4,1.5,1.4,0.1,7.86,1.14,0.24,94,0.08
16,16,Raphinha,,27," AM(LR),FW",25(11),2087,7,7,8,0,2.2,79.9,0.4,6,7.04,0.8,0.4,0.6,0,0.3,0.6,0,0,1.6,1.3,1,0.4,0.7,1.5,29,1.2,1.7,0.2,8.74,-1.74,0.38,79,0.11
17,17,Toni Kroos,,34, M(C),25(5),2164,2,4,0,1,1.0,94.6,0.2,1,7.04,1.7,0.8,0.9,0,0.2,1.5,0.1,0,1.8,0.3,1.2,0,0.4,0.3,77.7,1.1,6.8,0.1,1.1,0.9,0.05,31,0.04
18,18,Aleix García,,26, DMC,26(4),2341,1,5,1,0,1.1,88.9,0.4,2,7.04,1.2,1,0.5,0,0.9,0.6,0.3,0,2.1,0.4,1,0,0.4,0.6,48.4,2.2,3.3,0.1,1.56,-0.56,0.06,32,0.05
19,19,Aurélien Tchouaméni,,24," D(C),DMC",24(9),2120,0,4,2,0,1.2,93.5,1.5,2,7.04,1.9,1.5,1.1,0.1,1.5,0.5,0.2,0,0.7,0.8,1.1,0,0.4,0.7,51.1,0,1.2,0.1,1.97,-1.97,0.08,38,0.05
20,20,Conan Ledesma,,31, GK,34,3060,0,0,2,0,0.0,46.8,0.3,5,7.03,0.1,0.1,0,0,1.5,0.1,0,0,0,0.1,0.2,0,0,0,28.6,0,7.5,0,0.05,-0.05,0,1,0.05
21,21,Éder Militão,,26, D(CR),30(3),2703,5,0,4,0,0.7,88.7,1.9,2,7.03,1.4,1.3,1.1,0.5,3,0.2,1.2,0,0.2,0.3,1.2,0,0.2,0.5,55.8,0.1,3.4,0,3.53,1.47,0.12,22,0.16
22,22,Vedat Muriqi,,30, FW,34(1),2953,15,3,6,1,2.2,57.8,5.7,4,7.01,0.3,0.3,1.7,0,2.1,0.3,0.2,0,0.6,0.3,1.1,0.8,1.3,2.3,23.3,0,0.4,0,13.52,1.48,0.41,76,0.18
23,23,Sergio Busquets,,35, DMC,28(2),2347,0,4,6,1,0.3,88.7,1.8,0,6.99,1.9,0.9,1,0,1,0.7,0.2,0,0.8,0.4,1.3,0,0.4,0.6,64.5,0.1,3.8,0.3,0.39,-0.39,0.01,9,0.04
24,24,Takefusa Kubo,,22," AM(CLR),FW",29(6),2452,9,4,3,0,2.1,75.9,0.5,4,6.98,1.3,0.3,1,0,0.1,0.6,0,0,1.1,1.4,1.4,0.6,1.2,2.6,22.5,0.5,0.3,0,6.99,2.01,0.26,72,0.1
25,25,Guido Rodríguez,,30, DMC,33(1),2878,1,0,8,0,0.6,87.4,1.3,3,6.98,3.4,1.2,1.3,0,2,1.4,0.4,1,0.3,0.6,1.9,0,0.6,0.5,49.1,0,2.6,0.1,1.35,-0.35,0.04,22,0.06
26,26,José Gayà,,28," D(L),M(L)",31,2716,1,3,4,0,0.7,81.0,0.8,3,6.98,2.6,0.7,0.4,0.2,1.3,1,0.3,0,1.9,0.8,0.9,0.2,0.4,0.6,39.5,1.5,2.1,0,2.34,-1.34,0.08,23,0.1
27,27,Javi Galán,,29," D(L),M(L)",36(1),3163,0,3,6,0,0.4,80.7,0.9,5,6.98,2.8,1.1,1.4,0.2,1.5,1.4,0.1,0,1.4,1.9,2,0.2,1.1,1.7,41.1,1.1,2.2,0,0.62,-0.62,0.02,13,0.05
28,28,Jules Koundé,,25, D(CR),28(1),2429,1,3,2,0,0.5,88.8,1.5,1,6.97,1.3,0.7,0.8,0.5,1.9,0.3,0.3,1,0.6,0.5,0.4,0.1,0.6,0.8,63.9,0.2,2.1,0.1,1.74,-0.74,0.06,14,0.12
