player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Edgar González,Real Betis,35.6,1.4,1.6,30.3,2.2
Ferland Mendy,Real Madrid,42.9,0.9,0.2,38.8,2.9
Franco Cervi,Celta Vigo,19.8,0.5,0.7,14.9,3.8
Fernando,Sevilla,39.2,2.4,1.2,32.4,3.2
Samu Castillejo,Valencia,21,0.9,0.3,16.8,2.9
Kike Pérez,Real Valladolid,31.5,2.3,1.4,22.7,5.1
Florian Lejeune,Rayo Vallecano,45,4.6,5.8,31,3.6
Iván Sánchez,Real Valladolid,17.4,0.7,0.5,14,2.2
Rodri,Real Betis,26.5,1,0.5,22.9,2.2
Isco,Sevilla,32.8,1.3,1,27.1,3.3
Miguel Gutiérrez,Girona,31.3,0.9,1.1,26,3.4
Iván Fresneda,Real Valladolid,31.3,1.6,1.9,23.7,4.2
Martin Braithwaite,Espanyol,13.7,0.4,0.2,9,4.1
Saúl Ñíguez,Atletico Madrid,15.5,0.5,0.4,12.1,2.6
Nemanja Maksimovic,Getafe,19.1,0.6,0.7,14.5,3.4
Youssef En-Nesyri,Sevilla,7.5,0.1,0.1,4.8,2.5
Samú Costa,Almeria,33.7,2.5,2,24.4,4.8
Geoffrey Kondogbia,Atletico Madrid,30.1,1,0.7,25.9,2.5
Óliver Torres,Sevilla,31.9,2.3,1.2,23.8,4.7
Lázaro,Almeria,10.9,0.4,0.2,8.4,1.9
Iván Martín,Girona,26.9,0.5,0.2,22.4,3.8
Ansu Fati,Barcelona,16.4,0.3,0.1,13.6,2.4
Borja García,Girona,23.9,0.5,0.4,19.1,3.9
Axel Witsel,Atletico Madrid,40.1,1,0.8,36.2,2.1
Íñigo Lekue,Athletic Club,32.2,1.8,2,24.3,4.2
Asier Illarramendi,Real Sociedad,26,0.7,0.8,21.8,2.8
Damián Suárez,Getafe,24.2,1.7,3.1,14.5,4.9
Sergio Camello,Rayo Vallecano,13.5,0.3,0.1,10.3,2.8
Jorge Cuenca,Villarreal,38,1.4,2.5,31.8,2.3
Sergio Herrera,Osasuna,32.5,10.3,12.7,9.2,0.2
Javi Sánchez,Real Valladolid,36.3,2.6,3.2,27.3,3.2
Fernando Pacheco,Almeria,22,6,9,7,0
Ramon Terrats,Villarreal,25.1,1.2,0.4,20.7,2.8
Álex Sola,Real Sociedad,14.2,0.5,0.8,11,1.9
Luis Pérez,Real Valladolid,22.8,1.2,1.2,17.1,3.3
Giorgi Mamardashvili,Valencia,24.7,5.2,9.6,9.6,0.3
Ivan Rakitic,Sevilla,37.2,2.5,1.5,28.5,4.6
Manu Sánchez,Osasuna,28.5,1,1.6,22.2,3.6
Marcão,Sevilla,43,1.4,2.8,36,2.8
Érik Lamela,Sevilla,22.6,0.4,0.1,17.6,4.5
Bryan Gil,Sevilla,18.2,0,0.5,14.9,2.7
Rubén Peña,Osasuna,22.8,1,2,15.7,4.2
Lucas Rosa,Real Valladolid,17.6,0.5,0.8,12.7,3.7
Djené Dakonam,Getafe,33.4,2,3.5,23.9,4
Diego Mariño,Almeria,7,2,1,4,0
Iker Benito,Osasuna,8.8,0.3,0.5,6.5,1.5
Julen Agirrezabala,Athletic Club,26,5.3,8.4,12.1,0.3
Srdjan Babic,Almeria,40,2.4,2.5,31.9,3.2
Marcos Alonso,Barcelona,40.2,2.1,1.3,34.4,2.4
Antonio Rüdiger,Real Madrid,48.2,1.9,1.5,42.5,2.3
Rodrigo Ely,Almeria,40.7,3.1,4.4,30.1,3.1
Monchu,Real Valladolid,28.5,2.8,1.6,20.9,3.2
Joaquín Fernández,Real Valladolid,36.3,2.7,3,27.5,3.1
Jaume Costa,Mallorca,27.6,1.2,1.7,19.4,5.3
Jorge Meré,Cadiz,21.5,1.5,1.6,16.4,2
Yan Couto,Girona,18.7,0.7,0.8,14.1,3.1
Alex Telles,Sevilla,20.2,0.9,1.1,15.5,2.7
Agustín Marchesín,Celta Vigo,29.3,6.6,9.3,13.1,0.3
Gorka Guruzeta,Athletic Club,12.8,0.6,0.2,8.8,3.2
Manu Bueno,Sevilla,33,2.5,2.5,23.5,4.5
Javi Puado,Espanyol,14.7,0.5,0.4,11.2,2.6
Andrés Guardado,Real Betis,32.7,2.6,1.7,25.2,3.2
Óscar Plano,Real Valladolid,18.5,0.6,0.5,13.3,4
Brian Ocampo,Cadiz,18.1,0.7,0.2,13.5,3.7
Juan Iglesias,Getafe,18.9,1.1,3,10.5,4.3
Ángel Correa,Atletico Madrid,14.1,0.3,0.3,11.1,2.4
Domingos Duarte,Getafe,30.9,2.7,3.5,21.1,3.5
Jon Pacheco,Real Sociedad,52.8,1.9,2.4,45.6,2.9
Borja Mayoral,Getafe,21,1,0.3,15.4,4.3
Giovanni González,Mallorca,21.6,1.1,1.1,16.1,3.3
Rubén Alcaraz,Cadiz,32.2,3.2,2.1,22.9,3.9
Gastón Álvarez,Getafe,18.8,0.6,2.5,11.1,4.5
Darwin Machís,Real Valladolid,14.4,1.4,1.3,9.2,2.5
Fran Beltrán,Celta Vigo,48.8,2.7,1.1,41.2,3.8
Andoni Gorosabel,Real Sociedad,30.4,1.1,0.7,25.3,3.3
Leandro Cabrera,Espanyol,38.5,2.7,5.1,25.6,5.2
Víctor Ruiz,Real Betis,25,1.5,1.8,19.8,1.9
Óscar Rodríguez,Celta Vigo,29.4,1.4,1.2,23.3,3.5
Ferran Torres,Barcelona,15.3,0.5,0.4,12,2.5
Álex Pozo,Almeria,28.5,1.7,3,19.1,4.7
José Luís Morales,Villarreal,8.2,0.2,0,5.9,2.1
Jørgen Strand Larsen,Celta Vigo,10.4,0.3,0.2,6.9,3
Unai Simón,Athletic Club,25.6,5.4,7.9,12.1,0.2
Mauro Arambarri,Getafe,29.2,3.3,1.8,20.7,3.3
Stefan Mitrovic,Getafe,23.2,1.9,2.2,16.4,2.6
Edu Expósito,Espanyol,17.1,0.8,1,12.7,2.5
Toni Villa,Girona,12.4,0.2,0.3,10,2
Dani García,Athletic Club,28.5,1.6,1.6,21.1,4.2
Rubén Sánchez,Espanyol,13.5,0.7,0.9,9.7,2.2
Mohamed-Ali Cho,Real Sociedad,7.1,0.1,0.4,5.2,1.5
Andriy Lunin,Real Madrid,27.3,2.9,3,21.3,0.1
Hugo Guillamón,Valencia,39.5,3.1,2,30.2,4.2
Lucas Olaza,Real Valladolid,24.8,1.4,1.4,18.6,3.5
Luis Hernández,Cadiz,36.6,3.4,4,25.6,3.5
Álvaro Aguado,Real Valladolid,31.6,3.4,1.2,23.5,3.4
Unai García,Osasuna,37.7,3.4,4.1,26.7,3.4
Óscar Mingueza,Celta Vigo,35.6,2,2.1,27.7,3.8
Jesús Navas,Sevilla,31.7,2.1,2.2,23.7,3.8
Paul Akouokou,Real Betis,14.2,0.8,0.3,12.4,0.7
Nacho Vidal,Osasuna,22.8,1.1,1.8,16.2,3.7
Yangel Herrera,Girona,19.7,0.7,0.7,15.7,2.8
Javi Hernández,Girona,26,0.8,0.9,20.5,3.8
Fernando Calero,Espanyol,26.6,1.9,2.4,19.9,2.5
Luca Koleosho,Espanyol,6.3,0,0.3,4.5,1.5
Karim Rekik,Sevilla,42.4,1.3,1.4,37.8,2
Raúl de Tomás,Rayo Vallecano,7.7,0.5,0.5,5.4,1.3
Haris Seferovic,Celta Vigo,10.8,0.3,0.2,7,3.3
Fali,Cadiz,23.6,3.2,2.8,15,2.6
Stole Dimitrievski,Rayo Vallecano,24.8,4.3,11.2,9,0.2
