player_name,team_name,Total_Key passes,Long,Short
Suso,Sevilla,1.1,0.3,0.8
Marko Dmitrovic,Sevilla,0,0,0
Justin Kluivert,Valencia,0.9,0.1,0.8
Óscar De Marcos,Athletic Club,1,0.1,0.9
Fernando Martínez,Almeria,0,0,0
Aridane Hernández,Osasuna,0.1,0,0.1
Alfonso Pedraza,Villarreal,0.7,0.1,0.6
Abde Ezzalzouli,Osasuna,0.4,0,0.4
Raúl Albiol,Villarreal,0.1,0,0.1
Luka Modric,Real Madrid,1.3,0.2,1.1
Luiz Felipe,Real Betis,0.1,0,0.1
Sergi Roberto,Barcelona,0.4,0.1,0.3
Mouctar Diakhaby,Valencia,0.2,0,0.1
Joseph Aidoo,Celta Vigo,0.1,0,0
Igor Zubeldia,Real Sociedad,0.1,0,0.1
Luiz Henrique,Real Betis,0.5,0,0.5
Ander Barrenetxea,Real Sociedad,0.4,0,0.4
Hugo Mallo,Celta Vigo,0.8,0.2,0.6
Óscar Trejo,Rayo Vallecano,1.3,0.1,1.2
Chris Ramos,Cadiz,0.3,0.1,0.2
Thomas Lemar,Atletico Madrid,1,0.3,0.7
Mikel Vesga,Athletic Club,0.6,0,0.6
Carlos Clerc,Elche,0.5,0.1,0.4
Borja Iglesias,Real Betis,0.6,0.1,0.5
Aimar Oroz,Osasuna,1.1,0.1,1
Rodrigo Riquelme,Girona,1,0.1,0.9
Luis Milla,Getafe,1.1,0.5,0.6
Martin Valjent,Mallorca,0.1,0,0.1
Memphis Depay,Atletico Madrid,0.6,0,0.6
Carlos Soler,Valencia,1.3,0,1.3
Nacho,Real Madrid,0.4,0.1,0.4
Federico Fernández,Elche,0,0,0
Álex Collado,Elche,1.3,0.5,0.9
Eric García,Barcelona,0,0,0
Aihen Muñoz,Real Sociedad,0.6,0.1,0.5
Cenk Özkacar,Valencia,0.2,0,0.2
Manu Morlanes,Mallorca,0.3,0.3,0
Kike Barja,Osasuna,1,0.3,0.8
Álvaro Aceves,Real Valladolid,0,0,0
Léo Baptistão,Almeria,0.6,0.1,0.6
Alejandro Catena,Rayo Vallecano,0.2,0.1,0.1
Aïssa Mandi,Villarreal,0.2,0,0.1
Brian Oliván,Espanyol,1.1,0.4,0.7
César Montes,Espanyol,0,0,0
