player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Santi Comesaña,Rayo Vallecano,0.1,0.1,1
David García,Osasuna,0.4,0,0.5
Robin Le Normand,Real Sociedad,0.4,0.1,0.2
Dominik Greif,Mallorca,0,0,0
Ivo Grbic,Atletico Madrid,0,0,0
David López,Girona,1,0.1,0.5
Gonzalo Plata,Real Valladolid,0,0.1,1.2
Diego Rico,Real Sociedad,0.3,0.6,0.7
Alexander Isak,Real Sociedad,0,0,0
Dani Ceballos,Real Madrid,0.1,0,0.7
Gerard Gumbau,Elche,0.2,0.1,0.7
Alex Berenguer,Athletic Club,0.1,0.1,0.9
Copete,Mallorca,0.6,0.4,0.8
Omar Alderete,Getafe,0.6,0.1,0.3
Arnau Martínez,Girona,0.3,0.3,1
Diego López,Valencia,0,0.3,0.9
Germán Pezzella,Real Betis,0.5,0,0.5
Unai Núñez,Celta Vigo,0.5,0.1,0.3
Edgar Badia,Elche,0,0,0
Fernando Pacheco,Espanyol,0,0,0
Iker Muniain,Athletic Club,0,0,0.3
Alfonso Espino,Cadiz,0.3,0.3,1.1
Oihan Sancet,Athletic Club,0,0,0.3
Mario Hermoso,Atletico Madrid,0.3,0.3,0.4
João Félix,Atletico Madrid,0,0,0.1
William Carvalho,Real Betis,0.2,0,0.6
Adri Embarba,Espanyol,0,0,1
Koke,Atletico Madrid,0.4,0,0.7
Fran García,Rayo Vallecano,0.2,0.4,1.1
Étienne Capoue,Villarreal,0.2,0,0.3
Sergio Canales,Real Betis,0,0.1,0.6
Stefan Savic,Atletico Madrid,0.4,0.3,0.4
Cyle Larin,Real Valladolid,0.2,0,0.2
Lucas Torró,Osasuna,0.1,0,0.6
Lucas Ocampos,Sevilla,0.1,0,0.8
Álex Remiro,Real Sociedad,0,0,0
Carlos García,Cadiz,0,0,0
Valentín Castellanos,Girona,0.1,0,0.6
Moi Gómez,Osasuna,0.1,0,0.4
Martín Zubimendi,Real Sociedad,0.5,0.1,0.8
Héctor Bellerín,Barcelona,0,0.3,0.7
Oriol Romeu,Girona,0.3,0.2,1.2
Lucas Vázquez,Real Madrid,0,0.1,0.4
Eray Cömert,Valencia,0.3,0.1,0.7
Rui Silva,Real Betis,0,0,0
El Bilal Touré,Almeria,0,0.1,0.2
Ante Budimir,Osasuna,0,0,0.3
Paulo Gazzaniga,Girona,0,0,0
Predrag Rajkovic,Mallorca,0,0,0
Luis Suárez,Almeria,0.1,0,0.5
Nabil Fekir,Real Betis,0.1,0,0.3
Sergio Escudero,Real Valladolid,0.3,0.3,0.9
Aitor Ruibal,Real Betis,0.1,0.3,0.6
Vinicius Souza,Espanyol,0.4,0.1,0.5
Thierry Correia,Valencia,0.1,0.3,0.9
Rubén Sobrino,Cadiz,0.1,0.1,0.9
Jan Oblak,Atletico Madrid,0,0,0
Omar Mascarell,Elche,0.7,0.1,1.1
Nemanja Gudelj,Sevilla,0.9,0.1,0.3
Íñigo Ruíz de Galarreta,Mallorca,0.3,0.1,0.6
Suso,Sevilla,0,0,0.2
Marko Dmitrovic,Sevilla,0,0,0
Justin Kluivert,Valencia,0,0,0.2
Óscar De Marcos,Athletic Club,0.2,0.1,1
Fernando Martínez,Almeria,0,0,0.1
Aridane Hernández,Osasuna,0.9,0.1,0.6
Alfonso Pedraza,Villarreal,0,0.4,0.7
Abde Ezzalzouli,Osasuna,0,0,0.7
Raúl Albiol,Villarreal,0.5,0.2,0.2
Luka Modric,Real Madrid,0.2,0,0.3
Luiz Felipe,Real Betis,1,0.3,0.8
Sergi Roberto,Barcelona,0.3,0.1,0.3
Mouctar Diakhaby,Valencia,0.6,0.2,0.4
Joseph Aidoo,Celta Vigo,0.4,0.2,0.3
Igor Zubeldia,Real Sociedad,0.5,0.1,0.2
Luiz Henrique,Real Betis,0,0.1,0.7
Ander Barrenetxea,Real Sociedad,0,0,0.6
Hugo Mallo,Celta Vigo,0.3,0.3,0.8
Óscar Trejo,Rayo Vallecano,0.1,0,0.8
Chris Ramos,Cadiz,0.2,0,0.3
Thomas Lemar,Atletico Madrid,0.1,0,0.3
Mikel Vesga,Athletic Club,0.2,0.1,0.9
Carlos Clerc,Elche,0.2,0.4,0.7
Borja Iglesias,Real Betis,0,0,0.2
Aimar Oroz,Osasuna,0,0.1,0.7
Rodrigo Riquelme,Girona,0,0,0.5
