player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Alejandro Balde,Barcelona,0.6,0.2,0,0.3
Nico Williams,Athletic Club,1.7,0.5,0.1,1.1
Samuel Chukwueze,Villarreal,1.6,0.6,0.1,1
Claudio Bravo,Real Betis,0,0,0,0
Antonio Raíllo,Mallorca,0.4,0,0,0.4
Nicolas Jackson,Villarreal,1.6,0.2,0.3,1.1
Ayoze Pérez,Real Betis,1.8,0.4,0.2,1.2
Marc-André ter Stegen,Barcelona,0,0,0,0
Yannick Carrasco,Atletico Madrid,1.9,0.5,0.1,1.3
Umar Sadiq,Almeria,2.3,0.3,0.3,1.7
Alexander Sørloth,Real Sociedad,1.9,0.2,0.6,1.1
David Silva,Real Sociedad,1.1,0.3,0.2,0.6
Álvaro Morata,Atletico Madrid,2,0.3,0.3,1.4
Gerard Piqué,Barcelona,0.4,0,0.1,0.3
Aitor Fernández,Osasuna,0,0,0,0
André Almeida,Valencia,0.7,0.5,0,0.2
David Soria,Getafe,0,0,0,0
Gavi,Barcelona,0.8,0.3,0,0.5
Álex Moreno,Real Betis,0.9,0.3,0.1,0.5
Iñaki Williams,Athletic Club,2.4,0.4,0.1,1.8
Jordi Masip,Real Valladolid,0,0,0,0
Giovani Lo Celso,Villarreal,1.4,0.6,0,0.7
Jordi Alba,Barcelona,0.5,0.4,0,0.2
Andreas Christensen,Barcelona,0.4,0,0,0.3
Álvaro García,Rayo Vallecano,1.5,0.4,0,1.1
Gabri Veiga,Celta Vigo,1.7,0.9,0.1,0.8
Iñigo Martínez,Athletic Club,0.7,0.2,0,0.5
Samuel Lino,Valencia,2.5,0.9,0.1,1.6
Juan Miranda,Real Betis,1,0.4,0.1,0.4
Marcos Llorente,Atletico Madrid,1.1,0.4,0,0.7
Rodrigo De Paul,Atletico Madrid,0.7,0.5,0,0.2
Pau Torres,Villarreal,0.4,0,0.1,0.2
Adri Embarba,Almeria,1.7,1,0,0.7
Anuar Tuhami,Real Valladolid,1,0,0.3,0.7
Yuri Berchiche,Athletic Club,1,0.5,0,0.4
Yeray Álvarez,Athletic Club,0.3,0.1,0.1,0.1
Nahuel Molina,Atletico Madrid,0.6,0.2,0.1,0.4
Lucas Boyé,Elche,2.1,0.4,0.2,1.5
Iza Carcelén,Cadiz,0.3,0.2,0,0
Selim Amallah,Real Valladolid,0.7,0.3,0,0.4
Eduardo Camavinga,Real Madrid,0.5,0.4,0,0.1
Youssouf Sabaly,Real Betis,0.5,0.3,0,0.2
Pablo Maffeo,Mallorca,0.6,0.2,0.1,0.4
Marcos Acuña,Sevilla,0.7,0.5,0,0.2
Javi Guerra,Valencia,1.5,1,0,0.5
Pape Gueye,Sevilla,1.3,0.6,0.1,0.5
Santi Comesaña,Rayo Vallecano,0.7,0.3,0.1,0.3
David García,Osasuna,0.5,0,0.1,0.4
Robin Le Normand,Real Sociedad,0.4,0.1,0,0.3
Dominik Greif,Mallorca,0,0,0,0
Ivo Grbic,Atletico Madrid,0,0,0,0
David López,Girona,0.6,0.1,0.2,0.3
Gonzalo Plata,Real Valladolid,1.1,0.4,0.1,0.6
Diego Rico,Real Sociedad,0.5,0.4,0,0.1
Alexander Isak,Real Sociedad,1.5,0,0,1.5
Dani Ceballos,Real Madrid,0.6,0.4,0,0.2
Gerard Gumbau,Elche,1.3,1,0,0.4
Alex Berenguer,Athletic Club,1.5,0.6,0,0.9
Copete,Mallorca,0.2,0,0.1,0.1
Omar Alderete,Getafe,0.7,0.2,0,0.4
Arnau Martínez,Girona,0.6,0,0.1,0.5
