player_name,team_name,Total_Aerial,Won,Lost
Dennis Hadzikadunic,Mallorca,3.6,2,1.6
Renato Tapia,Celta Vigo,1.6,0.9,0.6
Manuel Pozo,Real Valladolid,0,0,0
Tino Kadewere,Mallorca,3.3,2,1.3
Joseba Zaldúa,Cadiz,3.1,1.9,1.2
Tanguy Nianzou,Sevilla,2.3,1.7,0.6
Pablo Ibáñez,Osasuna,2.4,1,1.5
Helibelton Palacios,Elche,1.9,0.9,1
Ander Herrera,Athletic Club,0.7,0.4,0.3
Jon Olasagasti,Real Sociedad,0.7,0.7,0
Victor Chust,Cadiz,2.4,1.1,1.2
Nico Melamed,Espanyol,1.3,0.4,0.9
Fernando Medrano,Celta Vigo,0,0,0
Juan Cruz,Osasuna,1.5,0.7,0.8
José Ángel Carmona,Elche,1.9,0.7,1.2
Sergio Asenjo,Real Valladolid,0,0,0
José Carlos Lazo,Espanyol,0.3,0,0.3
Gonzalo Montiel,Sevilla,1,0.5,0.6
Hugo Sotelo,Celta Vigo,1,0,1
Unai López,Rayo Vallecano,0.7,0.2,0.5
Joan Jordán,Sevilla,1,0.5,0.5
Pathé Ciss,Rayo Vallecano,1.9,1.1,0.9
Juanpe,Girona,1.5,0.9,0.5
Álvaro Negredo,Cadiz,2.7,1.5,1.2
José Ángel Carmona,Sevilla,1.1,0.3,0.8
Álex Fernández,Cadiz,1.5,0.4,1.1
Darko Brasanac,Osasuna,1.2,0.6,0.6
Pol Lirola,Elche,1.2,0.7,0.5
Rober,Real Betis,0,0,0
Chumi,Almeria,1.1,0.5,0.6
Kike Salas,Sevilla,2.5,1.5,1
Alberto Perea,Cadiz,2,0,2
Reinier,Girona,0.9,0.3,0.6
Raúl García,Athletic Club,2.3,1.2,1.1
Adnan Januzaj,Sevilla,0,0,0
Cristhian Stuani,Girona,1.4,0.7,0.8
Toni Lato,Valencia,1,0.2,0.8
Juan Carlos,Girona,0.1,0.1,0
Juanmi,Real Betis,1.1,0.4,0.7
Largie Ramazani,Almeria,0.7,0.2,0.5
Luca de la Torre,Celta Vigo,1,0.2,0.8
Anthony Lozano,Cadiz,5,2.1,2.9
Ilaix Moriba,Valencia,2.2,1,1.1
Carlos Domínguez,Celta Vigo,0.3,0.3,0
Portu,Getafe,1.6,0.6,1
Momo Mbaye,Cadiz,3.4,1.9,1.5
José Antonio de la Rosa,Cadiz,0,0,0
Kasper Dolberg,Sevilla,1.8,0.8,1
Valery Fernández,Girona,0.6,0.4,0.2
Pablo Barrios,Atletico Madrid,0.7,0.3,0.4
Joaquín,Real Betis,0.3,0,0.2
Fede San Emeterio,Cadiz,1.6,0.7,0.9
Zouhair Feddal,Real Valladolid,1.8,0.9,0.9
Franck Kessié,Barcelona,0.5,0.3,0.3
Pablo Marín,Real Sociedad,1.1,0.4,0.7
Juan Cruz,Real Betis,0.5,0.2,0.3
Jesús Vallejo,Real Madrid,0,0,0
Juan Cala,Cadiz,2.3,1,1.3
Johan Mojica,Villarreal,0.6,0.4,0.2
Pep Chavarría,Rayo Vallecano,0.8,0.6,0.2
Amath Ndiaye,Mallorca,1,0.3,0.7
Jesús Vázquez,Valencia,0.6,0.2,0.4
Malcom Adu,Athletic Club,0.4,0.4,0
Lucas Pérez,Cadiz,0.7,0.1,0.6
Gonzalo Villar,Getafe,0.9,0.4,0.4
Haissem Hassan,Villarreal,1,0.5,0.5
Sergio León,Real Valladolid,2.3,0.6,1.7
Abdul Mumin,Rayo Vallecano,2,0.8,1.2
Dyego Sousa,Almeria,2.6,1.4,1.3
Aitor Paredes,Athletic Club,1.8,1.3,0.4
Álvaro Rodríguez,Real Madrid,1.2,0.3,0.8
Manu Trigueros,Villarreal,0.8,0.3,0.6
Enzo Roco,Elche,3,2.1,0.9
Francisco Portillo,Almeria,0.4,0.2,0.2
Eden Hazard,Real Madrid,0.2,0.2,0
Lautaro Blanco,Elche,0.5,0,0.5
Oscar Ureña,Girona,0.3,0,0.3
Raúl Parra,Cadiz,0.7,0.5,0.2
Martin Hongla,Real Valladolid,1.4,0.4,1
Gonzalo Verdú,Elche,2.8,1.8,1
Diego Moreno,Osasuna,1.2,0.5,0.7
Álvaro Odriozola,Real Madrid,0.3,0,0.3
Carles Aleñá,Getafe,1.5,0.4,1.1
Aleix Vidal,Espanyol,0.4,0.1,0.3
Carlos Fernández,Real Sociedad,2,1,1
Arnaut Danjuma,Villarreal,0.3,0,0.3
Jaime Mata,Getafe,1.3,0.5,0.8
Arnau Puigmal,Almeria,0.5,0.1,0.4
Aleix Garrido,Barcelona,0,0,0
Roberto Torres,Osasuna,0,0,0
Keidi Bare,Espanyol,0.8,0.3,0.5
Joel Roca,Girona,0,0,0
Kike García,Osasuna,2.9,1.3,1.7
Gonçalo Paciência,Celta Vigo,2.1,1.2,0.9
Roger Martí,Cadiz,2.4,0.7,1.6
Pablo Torre,Barcelona,0.3,0.1,0.1
Cristhian Mosquera,Valencia,1.7,1,0.7
Braian Cufré,Mallorca,0.2,0,0.2
Iván Alejo,Cadiz,1.4,0.8,0.5
Íñigo Eguaras,Almeria,0.3,0.1,0.2
Iker Muñoz,Osasuna,1.1,0.8,0.4
Kaiky,Almeria,1.2,0.5,0.8
Ángel Algobia,Getafe,1.1,0.3,0.8
