player_name,team_name,Total_Interception
Pedro Bigas,Elche,1.2
Randy Nteka,Elche,0.3
Ander Guevara,Real Sociedad,0.3
Adrià Pedrosa,Espanyol,0.7
Óscar Gil,Espanyol,0.9
César de la Hoz,Almeria,0.5
Roque Mesa,Real Valladolid,0.4
Fidel,Elche,0.2
Dimitri Foulquier,Valencia,0.5
Rafa Mir,Sevilla,0.2
Iddrisu Baba,Mallorca,0.4
Matija Nastasic,Mallorca,1.3
Manu Vallejo,Girona,0.1
Bernardo Espinosa,Girona,0.6
Dennis Hadzikadunic,Mallorca,0.4
Renato Tapia,Celta Vigo,0.7
Manuel Pozo,Real Valladolid,2
Tino Kadewere,Mallorca,0.1
Joseba Zaldúa,Cadiz,1.1
Tanguy Nianzou,Sevilla,0.8
Pablo Ibáñez,Osasuna,0.3
Helibelton Palacios,Elche,0.8
Ander Herrera,Athletic Club,0.6
Jon Olasagasti,Real Sociedad,0
Victor Chust,Cadiz,0.7
Nico Melamed,Espanyol,0.2
Fernando Medrano,Celta Vigo,1
Juan Cruz,Osasuna,0.5
José Ángel Carmona,Elche,0.9
Sergio Asenjo,Real Valladolid,0
José Carlos Lazo,Espanyol,0.3
Gonzalo Montiel,Sevilla,0.7
Hugo Sotelo,Celta Vigo,0
Unai López,Rayo Vallecano,0.4
Joan Jordán,Sevilla,0.7
Pathé Ciss,Rayo Vallecano,0.7
Juanpe,Girona,0.5
Álvaro Negredo,Cadiz,0
José Ángel Carmona,Sevilla,0.7
Álex Fernández,Cadiz,0.3
Darko Brasanac,Osasuna,0.5
Pol Lirola,Elche,0.6
Rober,Real Betis,0.5
Chumi,Almeria,0.7
Kike Salas,Sevilla,0.8
Alberto Perea,Cadiz,0
Reinier,Girona,0.3
Raúl García,Athletic Club,0.2
Adnan Januzaj,Sevilla,0.5
Cristhian Stuani,Girona,0.1
Toni Lato,Valencia,0.3
Juan Carlos,Girona,0.1
Juanmi,Real Betis,0.2
Largie Ramazani,Almeria,0.5
Luca de la Torre,Celta Vigo,0.3
Anthony Lozano,Cadiz,0.1
Ilaix Moriba,Valencia,0.2
Carlos Domínguez,Celta Vigo,0
Portu,Getafe,0.5
Momo Mbaye,Cadiz,0.5
José Antonio de la Rosa,Cadiz,0
Kasper Dolberg,Sevilla,0
Valery Fernández,Girona,0.4
Pablo Barrios,Atletico Madrid,0.4
Joaquín,Real Betis,0.2
Fede San Emeterio,Cadiz,0.5
Zouhair Feddal,Real Valladolid,0.6
Franck Kessié,Barcelona,0.4
Pablo Marín,Real Sociedad,0.4
Juan Cruz,Real Betis,0
Jesús Vallejo,Real Madrid,0
Juan Cala,Cadiz,0.3
Johan Mojica,Villarreal,0.2
Pep Chavarría,Rayo Vallecano,0.1
Amath Ndiaye,Mallorca,0.2
Jesús Vázquez,Valencia,0.1
Malcom Adu,Athletic Club,0.3
Lucas Pérez,Cadiz,0.1
Gonzalo Villar,Getafe,0.4
Haissem Hassan,Villarreal,0.5
Sergio León,Real Valladolid,0
Abdul Mumin,Rayo Vallecano,0.6
Dyego Sousa,Almeria,0.1
Aitor Paredes,Athletic Club,0.9
Álvaro Rodríguez,Real Madrid,0
Manu Trigueros,Villarreal,0.2
Enzo Roco,Elche,0.8
Francisco Portillo,Almeria,0.3
Eden Hazard,Real Madrid,0.2
Lautaro Blanco,Elche,0.1
Oscar Ureña,Girona,0.3
Raúl Parra,Cadiz,0.2
Martin Hongla,Real Valladolid,0.5
Gonzalo Verdú,Elche,0.6
Diego Moreno,Osasuna,0.5
Álvaro Odriozola,Real Madrid,0
Carles Aleñá,Getafe,0.1
Aleix Vidal,Espanyol,0.6
Carlos Fernández,Real Sociedad,0
Arnaut Danjuma,Villarreal,0
Jaime Mata,Getafe,0.2
