player_name,team_name,CaughtOffside
Martín Zubimendi,Real Sociedad,0
Héctor Bellerín,Barcelona,0
Oriol Romeu,Girona,0
Lucas Vázquez,Real Madrid,0.1
Eray Cömert,Valencia,0
Rui Silva,Real Betis,0
El Bilal Touré,Almeria,0.6
Ante Budimir,Osasuna,0.4
Paulo Gazzaniga,Girona,0
Predrag Rajkovic,Mallorca,0
Luis Suárez,Almeria,0.2
Nabil Fekir,Real Betis,0.5
Sergio Escudero,Real Valladolid,0
Aitor Ruibal,Real Betis,0.1
Vinicius Souza,Espanyol,0
Thierry Correia,Valencia,0
Rubén Sobrino,Cadiz,0.2
Jan Oblak,Atletico Madrid,0
Omar Mascarell,Elche,0
Nemanja Gudelj,Sevilla,0
Íñigo Ruíz de Galarreta,Mallorca,0
Suso,Sevilla,0.3
Marko Dmitrovic,Sevilla,0
Justin Kluivert,Valencia,0.4
Óscar De Marcos,Athletic Club,0.1
Fernando Martínez,Almeria,0
Aridane Hernández,Osasuna,0
Alfonso Pedraza,Villarreal,0.1
Abde Ezzalzouli,Osasuna,0.1
Raúl Albiol,Villarreal,0
Luka Modric,Real Madrid,0.1
Luiz Felipe,Real Betis,0
Sergi Roberto,Barcelona,0.1
Mouctar Diakhaby,Valencia,0.1
Joseph Aidoo,Celta Vigo,0
Igor Zubeldia,Real Sociedad,0
Luiz Henrique,Real Betis,0.2
Ander Barrenetxea,Real Sociedad,0
Hugo Mallo,Celta Vigo,0.2
Óscar Trejo,Rayo Vallecano,0.1
Chris Ramos,Cadiz,0
Thomas Lemar,Atletico Madrid,0.1
Mikel Vesga,Athletic Club,0
Carlos Clerc,Elche,0.1
Borja Iglesias,Real Betis,0.6
Aimar Oroz,Osasuna,0.1
Rodrigo Riquelme,Girona,0.1
Luis Milla,Getafe,0
Martin Valjent,Mallorca,0
Memphis Depay,Atletico Madrid,0
Carlos Soler,Valencia,0
Nacho,Real Madrid,0.1
Federico Fernández,Elche,0
Álex Collado,Elche,0.1
Eric García,Barcelona,0
Aihen Muñoz,Real Sociedad,0
Cenk Özkacar,Valencia,0
Manu Morlanes,Mallorca,0
Kike Barja,Osasuna,0.3
Álvaro Aceves,Real Valladolid,0
Léo Baptistão,Almeria,0.4
Alejandro Catena,Rayo Vallecano,0.1
Aïssa Mandi,Villarreal,0.2
Brian Oliván,Espanyol,0.1
César Montes,Espanyol,0.1
Dani Rodríguez,Mallorca,0.1
José Gragera,Espanyol,0
Umar Sadiq,Real Sociedad,2
Carles Pérez,Celta Vigo,0.3
Jawad El Yamiq,Real Valladolid,0
Théo Bongonda,Cadiz,0.2
Óscar Valentín,Rayo Vallecano,0
Álex Baena,Villarreal,0.1
Martín Montoya,Real Betis,0
Chimy Ávila,Osasuna,0.5
Dani Vivian,Athletic Club,0.1
Nico González,Valencia,0
Sergi Guardiola,Cadiz,0.6
Álex Centelles,Almeria,0
David Alaba,Real Madrid,0
Santiago Bueno,Girona,0.1
Tete Morente,Elche,0.4
Pepe Reina,Villarreal,0
Gonzalo Melero,Almeria,0.1
Edgar González,Real Betis,0
Ferland Mendy,Real Madrid,0
Franco Cervi,Celta Vigo,0.1
Fernando,Sevilla,0
Samu Castillejo,Valencia,0.3
Kike Pérez,Real Valladolid,0.1
Florian Lejeune,Rayo Vallecano,0.2
Iván Sánchez,Real Valladolid,0
Rodri,Real Betis,0.1
Isco,Sevilla,0.5
Miguel Gutiérrez,Girona,0.1
Iván Fresneda,Real Valladolid,0
Martin Braithwaite,Espanyol,0.4
Saúl Ñíguez,Atletico Madrid,0.1
Nemanja Maksimovic,Getafe,0
Youssef En-Nesyri,Sevilla,0.7
Samú Costa,Almeria,0.1
Geoffrey Kondogbia,Atletico Madrid,0.1
Óliver Torres,Sevilla,0.2
Lázaro,Almeria,0.2
Iván Martín,Girona,0.1
Ansu Fati,Barcelona,0.3
Borja García,Girona,0.3
Axel Witsel,Atletico Madrid,0
Íñigo Lekue,Athletic Club,0.1
Asier Illarramendi,Real Sociedad,0
Damián Suárez,Getafe,0.1
Sergio Camello,Rayo Vallecano,0.3
Jorge Cuenca,Villarreal,0
Sergio Herrera,Osasuna,0
Javi Sánchez,Real Valladolid,0
Fernando Pacheco,Almeria,0
Ramon Terrats,Villarreal,0
Álex Sola,Real Sociedad,0
Luis Pérez,Real Valladolid,0.2
Giorgi Mamardashvili,Valencia,0
Ivan Rakitic,Sevilla,0.1
Manu Sánchez,Osasuna,0.1
Marcão,Sevilla,0
Érik Lamela,Sevilla,0.3
Bryan Gil,Sevilla,0.2
Rubén Peña,Osasuna,0
Lucas Rosa,Real Valladolid,0.1
Djené Dakonam,Getafe,0
Diego Mariño,Almeria,0
Iker Benito,Osasuna,0.3
Julen Agirrezabala,Athletic Club,0
Srdjan Babic,Almeria,0.1
Marcos Alonso,Barcelona,0
Antonio Rüdiger,Real Madrid,0.1
Rodrigo Ely,Almeria,0.1
Monchu,Real Valladolid,0
Joaquín Fernández,Real Valladolid,0.1
Jaume Costa,Mallorca,0.2
Jorge Meré,Cadiz,0
Yan Couto,Girona,0.1
Alex Telles,Sevilla,0
Agustín Marchesín,Celta Vigo,0
Gorka Guruzeta,Athletic Club,0.5
Manu Bueno,Sevilla,0
