player_name,team_name,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves
Álex Collado,Elche,0,0,0,0
Eric García,Barcelona,0,0,0,0
Aihen Muñoz,Real Sociedad,0,0,0,0
Cenk Özkacar,Valencia,0,0,0,0
Manu Morlanes,Mallorca,0,0,0,0
Kike Barja,Osasuna,0,0,0,0
Álvaro Aceves,Real Valladolid,3,0,2,1
Léo Baptistão,Almeria,0,0,0,0
Alejandro Catena,Rayo Vallecano,0,0,0,0
Aïssa Mandi,Villarreal,0,0,0,0
Brian Oliván,Espanyol,0,0,0,0
César Montes,Espanyol,0,0,0,0
Dani Rodríguez,Mallorca,0,0,0,0
José Gragera,Espanyol,0,0,0,0
Umar Sadiq,Real Sociedad,0,0,0,0
Carles Pérez,Celta Vigo,0,0,0,0
Jawad El Yamiq,Real Valladolid,0,0,0,0
Théo Bongonda,Cadiz,0,0,0,0
Óscar Valentín,Rayo Vallecano,0,0,0,0
Álex Baena,Villarreal,0,0,0,0
Martín Montoya,Real Betis,0,0,0,0
Chimy Ávila,Osasuna,0,0,0,0
Dani Vivian,Athletic Club,0,0,0,0
Nico González,Valencia,0,0,0,0
Sergi Guardiola,Cadiz,0,0,0,0
Álex Centelles,Almeria,0,0,0,0
David Alaba,Real Madrid,0,0,0,0
Santiago Bueno,Girona,0,0,0,0
Tete Morente,Elche,0,0,0,0
Pepe Reina,Villarreal,2.8,0.1,1.7,1
Gonzalo Melero,Almeria,0,0,0,0
Edgar González,Real Betis,0,0,0,0
Ferland Mendy,Real Madrid,0,0,0,0
Franco Cervi,Celta Vigo,0,0,0,0
Fernando,Sevilla,0,0,0,0
Samu Castillejo,Valencia,0,0,0,0
Kike Pérez,Real Valladolid,0,0,0,0
Florian Lejeune,Rayo Vallecano,0,0,0,0
Iván Sánchez,Real Valladolid,0,0,0,0
Rodri,Real Betis,0,0,0,0
Isco,Sevilla,0,0,0,0
Miguel Gutiérrez,Girona,0,0,0,0
Iván Fresneda,Real Valladolid,0,0,0,0
Martin Braithwaite,Espanyol,0,0,0,0
Saúl Ñíguez,Atletico Madrid,0,0,0,0
Nemanja Maksimovic,Getafe,0,0,0,0
Youssef En-Nesyri,Sevilla,0,0,0,0
Samú Costa,Almeria,0,0,0,0
Geoffrey Kondogbia,Atletico Madrid,0,0,0,0
Óliver Torres,Sevilla,0,0,0,0
Lázaro,Almeria,0,0,0,0
Iván Martín,Girona,0,0,0,0
Ansu Fati,Barcelona,0,0,0,0
Borja García,Girona,0,0,0,0
Axel Witsel,Atletico Madrid,0,0,0,0
Íñigo Lekue,Athletic Club,0,0,0,0
Asier Illarramendi,Real Sociedad,0,0,0,0
Damián Suárez,Getafe,0,0,0,0
Sergio Camello,Rayo Vallecano,0,0,0,0
Jorge Cuenca,Villarreal,0,0,0,0
Sergio Herrera,Osasuna,2.9,0.2,1.9,0.8
Javi Sánchez,Real Valladolid,0,0,0,0
Fernando Pacheco,Almeria,3,0,1,2
Ramon Terrats,Villarreal,0,0,0,0
Álex Sola,Real Sociedad,0,0,0,0
Luis Pérez,Real Valladolid,0,0,0,0
Giorgi Mamardashvili,Valencia,2.8,0.1,1.6,1.1
Ivan Rakitic,Sevilla,0,0,0,0
Manu Sánchez,Osasuna,0,0,0,0
Marcão,Sevilla,0,0,0,0
Érik Lamela,Sevilla,0,0,0,0
Bryan Gil,Sevilla,0,0,0,0
Rubén Peña,Osasuna,0,0,0,0
Lucas Rosa,Real Valladolid,0,0,0,0
