player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Dan Bentley,Wolves,0,0,0,0
Vitalii Mykolenko,Everton,0.3,0.1,0,0.2
Kyle Walker-Peters,Southampton,0.4,0.1,0,0.3
Chris Mepham,Bournemouth,0.3,0,0.1,0.2
Caoimhín Kelleher,Liverpool,0,0,0,0
Luis Sinisterra,Leeds,1.5,0.6,0.2,0.7
Joe Worrall,Nottingham Forest,0.2,0,0,0.2
Ashley Young,Aston Villa,0.5,0.4,0,0.1
Pontus Jansson,Brentford,0.3,0,0.1,0.3
Ezri Konsa,Aston Villa,0.2,0,0.1,0.1
Dean Henderson,Nottingham Forest,0,0,0,0
Jordan Henderson,Liverpool,0.7,0.4,0,0.2
Danny Ings,Aston Villa,1.5,0.2,0.2,1.2
Séamus Coleman,Everton,0.3,0.2,0,0.1
Ryan Christie,Bournemouth,1,0.1,0.1,0.9
Rico Lewis,Manchester City,0.4,0.2,0,0.1
Matty Cash,Aston Villa,0.3,0.2,0,0.1
Roméo Lavia,Southampton,0.4,0.4,0,0
Ruben Loftus-Cheek,Chelsea,0.4,0.2,0,0.2
João Gomes,Wolves,0.4,0.2,0,0.2
Boubacar Kamara,Aston Villa,0.2,0.1,0,0
Luke Ayling,Leeds,0.8,0.2,0.2,0.4
Hugo Lloris,Tottenham,0,0,0,0
Leander Dendoncker,Wolves,0.8,0.3,0,0.5
Joe Aribo,Southampton,0.7,0,0.2,0.5
Ayoze Pérez,Leicester,1,0.3,0,0.8
Clément Lenglet,Tottenham,0.5,0.2,0,0.3
Levi Colwill,Brighton,0.5,0,0.2,0.3
Conor Gallagher,Chelsea,0.8,0.3,0,0.5
Renan Lodi,Nottingham Forest,0.5,0.3,0,0.2
Stefan Bajcetic,Liverpool,0.5,0.4,0.1,0.1
Kyle Walker,Manchester City,0.2,0.1,0,0
Daniel Amartey,Leicester,0.3,0.1,0.1,0.2
Tyrick Mitchell,Crystal Palace,0.2,0,0.1,0.1
Angelo Ogbonna,West Ham,0.2,0,0,0.2
Sam Amo-Ameyaw,Southampton,0,0,0,0
Keylor Navas,Nottingham Forest,0,0,0,0
José Sá,Wolves,0,0,0,0
Harvey Elliott,Liverpool,1.1,0.5,0,0.6
Marcos Senesi,Bournemouth,0.3,0,0.1,0.1
Adam Webster,Brighton,0.7,0,0,0.6
Manor Solomon,Fulham,0.6,0.4,0.1,0.1
Robin Koch,Leeds,0.5,0.1,0.1,0.3
