player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Fabinho,Liverpool,50.4,2,1.6,42.7,4.1
Danilo,Nottingham Forest,17.5,1.1,1.5,10.2,4.8
Matt Doherty,Tottenham,27.4,0.8,1.4,21.8,3.4
Amadou Onana,Everton,29.4,1.2,0.7,23.5,4
Victor Lindelöf,Manchester United,46.4,1.3,1.2,42,2
Julián Álvarez,Manchester City,15.1,0.6,0.2,11.9,2.4
Nick Pope,Newcastle,17.8,3.8,7.1,6.7,0.2
Saïd Benrahma,West Ham,20,0.4,0.6,16,3
Emiliano Buendía,Aston Villa,26.1,1.2,0.5,19.3,5.1
Mason Mount,Chelsea,29.4,1,0.6,22.5,5.3
Christian Eriksen,Manchester United,49.7,2.3,1.9,39.8,5.8
Aymeric Laporte,Manchester City,78.9,2.2,1.8,71.3,3.6
Jordan Pickford,Everton,31.2,7.9,14.9,8.2,0.1
Joe Gomez,Liverpool,62.9,3.5,3.3,51,5.1
Kurt Zouma,West Ham,33,2,2.3,25.9,2.8
Marc Guéhi,Crystal Palace,59.5,4.1,4.9,46.7,3.7
Rodrigo,Leeds,16.7,0.7,0.6,11.4,4
Reiss Nelson,Arsenal,9.8,0.2,0.1,8.7,0.8
Lukasz Fabianski,West Ham,21.5,5.8,9,6.7,0
Nayef Aguerd,West Ham,42.2,3.6,5.4,29.7,3.5
Curtis Jones,Liverpool,36.6,0.8,0.1,32.5,3.1
Evan Ferguson,Brighton,11.7,0.1,0.2,9.4,2
David de Gea,Manchester United,28.5,4.9,8.8,14.6,0.3
Jan Bednarek,Southampton,44.4,2.5,2.9,35,4.2
Pascal Struijk,Leeds,37,0.9,1.5,28.5,6.1
Eric Dier,Tottenham,59.9,3.6,4.2,47.9,4.2
Tim Ream,Fulham,57.6,4.2,3.4,46,4.1
Issa Diop,Fulham,55.8,2.4,3.3,46.2,3.9
Jeffrey Schlupp,Crystal Palace,25.1,0.8,1.8,18.2,4.4
Harvey Barnes,Leicester,21.4,0.3,0.4,15.4,5.3
Wout Faes,Leicester,59.4,2.5,3.6,48.5,4.9
Idrissa Gueye,Everton,36.6,1.1,1.5,29.8,4.2
Jefferson Lerma,Bournemouth,42.9,1.2,1.6,34.1,6
Marc Cucurella,Chelsea,45.4,1.3,1.8,38,4.4
Jorginho,Chelsea,48.8,2.1,1.3,39.5,5.9
Joel Ward,Crystal Palace,35.8,1.3,3.3,25.7,5.5
Wesley Fofana,Chelsea,57.5,0.9,2.1,50.7,3.7
Raphaël Varane,Manchester United,45.8,2.3,2.4,37.4,3.8
Rico Henry,Brentford,26.3,1.1,2.1,18.6,4.5
Marcel Sabitzer,Manchester United,26.9,0.8,0.7,20.5,4.9
Sean Longstaff,Newcastle,34.1,1.4,1.3,26.8,4.6
Tyrell Malacia,Manchester United,30.4,0.9,0.9,25.7,3
Vladimír Coufal,West Ham,30,1.5,3.4,18.2,6.9
Harry Souttar,Leicester,45.7,1.8,3.4,35.4,5.1
Maximilian Wöber,Leeds,40.3,2.6,4.5,26.1,7.1
Vitaly Janelt,Brentford,27.9,1.9,1.2,20.7,4.2
Ben Davies,Tottenham,38.1,1.5,2.1,30.2,4.4
Maximilian Kilman,Wolves,56.5,3.4,5.6,43.7,3.7
Matheus Cunha,Wolves,13.1,0.4,0.2,9.5,2.9
Aaron Ramsdale,Arsenal,24.6,3.6,8.8,11.9,0.2
Duje Caleta-Car,Southampton,43.2,3,3.4,33.8,3
João Félix,Chelsea,20.6,0.9,0.6,15.7,3.3
Rasmus Kristensen,Leeds,32,1.2,2.7,21,7.2
Demarai Gray,Everton,19.9,0.8,0.8,15.5,3
Dominic Calvert-Lewin,Everton,12.6,0.3,0.1,7.4,4.9
Kamaldeen Sulemana,Southampton,13.6,0.6,0.5,9.8,2.7
Lewis Dunk,Brighton,89.1,4.8,4.3,75.8,4.3
Toti Gomes,Wolves,29.2,1.1,1.5,23.2,3.4
