player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Issa Diop,Fulham,0.7,0,0.3
Jeffrey Schlupp,Crystal Palace,0.2,0.1,0.9
Harvey Barnes,Leicester,0,0.1,0.9
Wout Faes,Leicester,1.2,0.1,0.5
Idrissa Gueye,Everton,0.4,0.1,1.2
Jefferson Lerma,Bournemouth,0.4,0.1,0.5
Marc Cucurella,Chelsea,0.3,0.5,0.8
Jorginho,Chelsea,0.2,0.1,0.8
Joel Ward,Crystal Palace,0.6,0.1,0.6
Wesley Fofana,Chelsea,0.7,0,0.5
Raphaël Varane,Manchester United,0.7,0.1,0.3
Rico Henry,Brentford,0.2,0.4,0.6
Marcel Sabitzer,Manchester United,0.2,0,0.4
Sean Longstaff,Newcastle,0.2,0,0.8
Tyrell Malacia,Manchester United,0.1,0.2,0.5
Vladimír Coufal,West Ham,0.2,0.3,0.7
Harry Souttar,Leicester,1,0,0.3
Maximilian Wöber,Leeds,0.9,0.2,1.1
Vitaly Janelt,Brentford,0.3,0.1,0.6
Ben Davies,Tottenham,0.3,0.2,0.3
Maximilian Kilman,Wolves,1.1,0,0.8
Matheus Cunha,Wolves,0.2,0.1,0.7
Aaron Ramsdale,Arsenal,0,0,0
Duje Caleta-Car,Southampton,0.8,0,0.3
João Félix,Chelsea,0,0,0.2
Rasmus Kristensen,Leeds,0.5,0.2,0.7
Demarai Gray,Everton,0.1,0.1,0.6
Dominic Calvert-Lewin,Everton,0.1,0,0.2
Kamaldeen Sulemana,Southampton,0,0.1,0.9
Lewis Dunk,Brighton,0.8,0,0.3
Toti Gomes,Wolves,0.5,0.4,0.5
Liam Cooper,Leeds,0.4,0.1,0.4
Craig Dawson,Wolves,1.4,0.1,0.5
Ben Chilwell,Chelsea,0.1,0.1,0.8
Robin Olsen,Aston Villa,0,0,0
Leon Bailey,Aston Villa,0,0,0.4
Willy-Arnaud Boly,Nottingham Forest,0.4,0,0.8
Anthony Gordon,Everton,0,0.1,1.2
Aaron Cresswell,West Ham,0.4,0.1,0.4
Jorginho,Arsenal,0.1,0,0.4
Matheus Nunes,Wolves,0.1,0.1,0.9
Jakub Kiwior,Arsenal,0.4,0,0.3
Neco Williams,Nottingham Forest,0.3,0.4,0.8
Ché Adams,Southampton,0.1,0,0.3
Lloyd Kelly,Bournemouth,0.7,0.1,0.5
Joël Veltman,Brighton,0.3,0.1,0.6
Anthony Martial,Manchester United,0.1,0,0.4
Manuel Akanji,Manchester City,0.3,0.1,0.6
Harry Maguire,Manchester United,0.7,0,0.4
Dan Bentley,Wolves,0,0,0
Vitalii Mykolenko,Everton,0.5,0.3,1
Kyle Walker-Peters,Southampton,0.3,0.4,1.3
Chris Mepham,Bournemouth,1,0.2,0.5
Caoimhín Kelleher,Liverpool,0,0,0
Luis Sinisterra,Leeds,0.1,0,0.5
Joe Worrall,Nottingham Forest,0.8,0.1,0.3
Ashley Young,Aston Villa,0.4,0.2,0.5
Pontus Jansson,Brentford,0.8,0,0.3
Ezri Konsa,Aston Villa,0.6,0.2,0.5
Dean Henderson,Nottingham Forest,0,0,0
Jordan Henderson,Liverpool,0.1,0.1,0.5
Danny Ings,Aston Villa,0.1,0.1,0.6
Séamus Coleman,Everton,0.3,0.6,0.3
Ryan Christie,Bournemouth,0.1,0.1,0.4
Rico Lewis,Manchester City,0.3,0.1,0.3
Matty Cash,Aston Villa,0.2,0.2,0.6
Roméo Lavia,Southampton,0.4,0,1.2
Ruben Loftus-Cheek,Chelsea,0.1,0,0.5
João Gomes,Wolves,0.3,0,0.8
Boubacar Kamara,Aston Villa,0.5,0,1.1
Luke Ayling,Leeds,0.4,0.2,0.8
Hugo Lloris,Tottenham,0,0,0
Leander Dendoncker,Wolves,0,0,0.5
Joe Aribo,Southampton,0,0,0.6
Ayoze Pérez,Leicester,0,0.1,0.8
Clément Lenglet,Tottenham,0.4,0,0.6
Levi Colwill,Brighton,0.2,0,0.1
Conor Gallagher,Chelsea,0.3,0.1,0.9
Renan Lodi,Nottingham Forest,0.2,0.5,0.7
Stefan Bajcetic,Liverpool,0,0,0.6
Kyle Walker,Manchester City,0.1,0,0.4
Daniel Amartey,Leicester,0.9,0.1,0.4
Tyrick Mitchell,Crystal Palace,0.3,0.3,1
Angelo Ogbonna,West Ham,0.4,0.1,0.3
Sam Amo-Ameyaw,Southampton,0,0,0
Keylor Navas,Nottingham Forest,0,0,0
José Sá,Wolves,0,0,0
Harvey Elliott,Liverpool,0,0.1,0.8
Marcos Senesi,Bournemouth,0.6,0.2,0.6
Adam Webster,Brighton,0.7,0.1,0.4
Manor Solomon,Fulham,0,0.1,0.4
Robin Koch,Leeds,0.6,0.1,0.6
Scott McTominay,Manchester United,0.3,0,0.4
Adama Traoré,Wolves,0,0,0.2
César Azpilicueta,Chelsea,0.2,0.3,0.8
Matías Viña,Bournemouth,0.1,0.4,1
Yoane Wissa,Brentford,0,0,0.3
Rayan Aït-Nouri,Wolves,0,0.2,0.1
Gianluca Scamacca,West Ham,0,0,0.2
Jack Stephens,Bournemouth,1.1,0,0.5
Cody Drameh,Leeds,0,0,0
Nathan Patterson,Everton,0.2,0.5,1.1
João Moutinho,Wolves,0.2,0.1,0.5
Taiwo Awoniyi,Nottingham Forest,0.1,0,0.5
Daniel Podence,Wolves,0,0,0.6
Joël Matip,Liverpool,0.2,0.2,0.4
Morgan Gibbs-White,Wolves,0,0.5,1
Thilo Kehrer,West Ham,0.2,0.1,0.4
Marc Roca,Leeds,0.3,0,0.8
Nélson Semedo,Wolves,0.4,0.2,0.8
Ainsley Maitland-Niles,Southampton,0.3,0.2,1
Harrison Reed,Fulham,0.3,0.2,1.1
Carlos Alcaraz,Southampton,0.3,0,0.5
Wilfred Ndidi,Leicester,0.5,0.2,0.7
Michail Antonio,West Ham,0.2,0,0.2
Matthew Craig,Tottenham,0,0,0
Boubakary Soumaré,Leicester,0.2,0,0.4
Jordan Zemura,Bournemouth,0.5,0.3,1.2
Brennan Johnson,Nottingham Forest,0,0.1,0.8
Mohamed Elyounoussi,Southampton,0.1,0.1,1.1
Jonny Evans,Leicester,0.8,0.2,0.3
David Datro Fofana,Chelsea,0,0,0.3
