player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Jorginho,Chelsea,2.3,1.3,3.7
Joel Ward,Crystal Palace,1.8,0.4,2.2
Wesley Fofana,Chelsea,2,0.9,2.9
Raphaël Varane,Manchester United,1,0.4,1.4
Rico Henry,Brentford,1.5,0.5,2.1
Marcel Sabitzer,Manchester United,1.1,0.8,1.9
Sean Longstaff,Newcastle,1.3,1,2.2
Tyrell Malacia,Manchester United,2.1,0.5,2.6
Vladimír Coufal,West Ham,2.1,0.6,2.7
Harry Souttar,Leicester,1.3,0.9,2.2
Maximilian Wöber,Leeds,1.6,0.5,2.1
Vitaly Janelt,Brentford,1.5,0.8,2.3
Ben Davies,Tottenham,0.9,0.4,1.3
Maximilian Kilman,Wolves,1,0.4,1.4
Matheus Cunha,Wolves,0.4,0.5,0.9
Aaron Ramsdale,Arsenal,0,0,0
Duje Caleta-Car,Southampton,1.1,0.2,1.3
João Félix,Chelsea,0.9,0.5,1.4
Rasmus Kristensen,Leeds,2.4,1.3,3.7
Demarai Gray,Everton,1,0.4,1.4
Dominic Calvert-Lewin,Everton,0.2,0.2,0.5
Kamaldeen Sulemana,Southampton,0.8,0.6,1.4
Lewis Dunk,Brighton,0.8,0.6,1.5
Toti Gomes,Wolves,0.9,0.2,1.1
Liam Cooper,Leeds,2.1,0.7,2.8
Craig Dawson,Wolves,0.5,0.2,0.7
Ben Chilwell,Chelsea,0.9,0.5,1.4
Robin Olsen,Aston Villa,0,0.5,0.5
Leon Bailey,Aston Villa,0.4,0.5,0.9
Willy-Arnaud Boly,Nottingham Forest,1.2,0.5,1.6
Anthony Gordon,Everton,2.1,1,3.1
Aaron Cresswell,West Ham,0.8,0.7,1.4
Jorginho,Arsenal,1.3,1.4,2.6
Matheus Nunes,Wolves,1.9,0.9,2.9
Jakub Kiwior,Arsenal,1,0.4,1.4
Neco Williams,Nottingham Forest,2.3,1.1,3.4
Ché Adams,Southampton,0.6,0.2,0.8
Lloyd Kelly,Bournemouth,1.4,0.3,1.7
Joël Veltman,Brighton,2,0.6,2.6
Anthony Martial,Manchester United,0.2,0.1,0.4
Manuel Akanji,Manchester City,1.2,0.4,1.7
Harry Maguire,Manchester United,0.5,0.1,0.6
Dan Bentley,Wolves,0.5,0,0.5
Vitalii Mykolenko,Everton,1.7,0.7,2.4
Kyle Walker-Peters,Southampton,2,0.7,2.6
Chris Mepham,Bournemouth,1.7,0.4,2.2
Caoimhín Kelleher,Liverpool,0,0,0
Luis Sinisterra,Leeds,1.1,0.4,1.5
Joe Worrall,Nottingham Forest,1.8,0.3,2.1
Ashley Young,Aston Villa,1.7,0.4,2.2
Pontus Jansson,Brentford,0.4,0.2,0.6
Ezri Konsa,Aston Villa,1.1,0.2,1.3
Dean Henderson,Nottingham Forest,0,0,0
Jordan Henderson,Liverpool,0.9,0.6,1.5
Danny Ings,Aston Villa,0.6,0.3,0.8
Séamus Coleman,Everton,1.5,0.4,2
Ryan Christie,Bournemouth,1.1,1.1,2.2
Rico Lewis,Manchester City,1.1,0.4,1.5
Matty Cash,Aston Villa,2.1,0.4,2.5
Roméo Lavia,Southampton,2.1,1.1,3.2
Ruben Loftus-Cheek,Chelsea,1,0.4,1.4
João Gomes,Wolves,2.6,0.9,3.5
Boubacar Kamara,Aston Villa,2.4,1.2,3.6
Luke Ayling,Leeds,2.3,1.5,3.8
Hugo Lloris,Tottenham,0,0.1,0.1
Leander Dendoncker,Wolves,1,0.3,1.3
Joe Aribo,Southampton,1.5,0.4,1.9
Ayoze Pérez,Leicester,1.4,1.4,2.8
Clément Lenglet,Tottenham,1.5,0.7,2.2
Levi Colwill,Brighton,0.5,0.3,0.8
Conor Gallagher,Chelsea,1.3,0.8,2.1
Renan Lodi,Nottingham Forest,1.9,1.2,3
Stefan Bajcetic,Liverpool,0.8,1.7,2.5
Kyle Walker,Manchester City,0.5,0.7,1.2
Daniel Amartey,Leicester,1,0.1,1.1
Tyrick Mitchell,Crystal Palace,2,0.6,2.6
Angelo Ogbonna,West Ham,0.7,0.3,1
Sam Amo-Ameyaw,Southampton,0,1,1
Keylor Navas,Nottingham Forest,0,0,0
José Sá,Wolves,0,0,0
Harvey Elliott,Liverpool,0.8,0.9,1.7
Marcos Senesi,Bournemouth,1.6,0.7,2.3
Adam Webster,Brighton,0.8,0.3,1.1
Manor Solomon,Fulham,1.1,0.4,1.5
Robin Koch,Leeds,1.5,0.9,2.4
Scott McTominay,Manchester United,1.3,0.4,1.7
Adama Traoré,Wolves,0.4,0.1,0.6
César Azpilicueta,Chelsea,1.7,0.6,2.3
Matías Viña,Bournemouth,1.6,1.3,2.9
Yoane Wissa,Brentford,0.4,0.2,0.6
Rayan Aït-Nouri,Wolves,1.6,0.3,1.9
Gianluca Scamacca,West Ham,0.6,0,0.6
Jack Stephens,Bournemouth,1,0.3,1.3
Cody Drameh,Leeds,5,1,6
Nathan Patterson,Everton,2.6,1.3,3.9
João Moutinho,Wolves,1.6,0.9,2.5
Taiwo Awoniyi,Nottingham Forest,0.6,0.2,0.9
Daniel Podence,Wolves,0.8,0.8,1.7
Joël Matip,Liverpool,1,0.9,1.9
Morgan Gibbs-White,Wolves,1.5,1,2.5
Thilo Kehrer,West Ham,1.6,0.9,2.5
Marc Roca,Leeds,2.1,1.4,3.5
Nélson Semedo,Wolves,2,0.9,2.8
Ainsley Maitland-Niles,Southampton,2,0.7,2.8
Harrison Reed,Fulham,1.2,0.9,2.1
Carlos Alcaraz,Southampton,0.6,0.9,1.4
Wilfred Ndidi,Leicester,2.3,1,3.2
Michail Antonio,West Ham,0.4,0.3,0.7
Matthew Craig,Tottenham,4,0,4
Boubakary Soumaré,Leicester,2.2,0.8,3
Jordan Zemura,Bournemouth,2.1,1.1,3.2
Brennan Johnson,Nottingham Forest,0.9,0.6,1.4
Mohamed Elyounoussi,Southampton,1.4,0.8,2.2
Jonny Evans,Leicester,1,0.3,1.3
David Datro Fofana,Chelsea,1,0,1
Nathan Collins,Wolves,1,0.3,1.4
Tetê,Leicester,1.1,1.2,2.2
Fred,Manchester United,1.3,0.7,2
Moussa Niakhaté,Nottingham Forest,1.3,0.8,2.1
Abdoulaye Doucouré,Everton,1.2,1,2.2
Kostas Tsimikas,Liverpool,0.7,0.3,1
Mateo Kovacic,Chelsea,1.3,0.8,2.1
Wilfried Gnonto,Leeds,1.1,0.8,2
Orel Mangala,Nottingham Forest,1,0.6,1.7
Fraser Forster,Tottenham,0.1,0,0.1
Lyanco,Southampton,1.1,0.3,1.4
Davinson Sánchez,Tottenham,1.3,0.3,1.7
Kelechi Iheanacho,Leicester,0.3,0.3,0.5
Trevoh Chalobah,Chelsea,1.2,0.4,1.7
Diego Llorente,Leeds,1.6,0.5,2.1
Bobby De Cordova-Reid,Fulham,1.2,0.6,1.7
Romain Perraud,Southampton,1.9,0.8,2.7
Danny Ward,Leicester,0,0.1,0.1
Richarlison,Tottenham,0.8,0.6,1.3
Crysencio Summerville,Leeds,1.1,0.4,1.5
Ryan Yates,Nottingham Forest,1.5,0.3,1.8
Marc Albrighton,Leicester,0.7,1.2,1.8
Mario Lemina,Wolves,2,0.9,2.9
Moussa Djenepo,Southampton,1.2,1,2.2
Adam Lallana,Brighton,0.6,0.4,1
Aaron Hickey,Brentford,1.5,0.5,2
Hakim Ziyech,Chelsea,1.1,0.3,1.4
Patson Daka,Leicester,0.5,0.3,0.8
Jonny Otto,Wolves,1.8,1.2,3
Kevin Schade,Brentford,0.7,0.3,0.9
Conor Coady,Everton,0.6,0.3,0.9
Tino Livramento,Southampton,1,0,1
Josh Dasilva,Brentford,0.5,0.3,0.8
Joe Rothwell,Bournemouth,1,0.7,1.7
Daniel James,Leeds,1.5,0.8,2.3
Victor Kristiansen,Leicester,3.2,0.7,3.8
Ederson,Manchester City,0.1,0,0.1
Paul Onuachu,Southampton,0.3,0.2,0.5
Jacob Murphy,Newcastle,0.4,0.3,0.8
Eddie Nketiah,Arsenal,0.4,0.3,0.7
Gavin Bazunu,Southampton,0,0,0
Hugo Bueno,Wolves,1.6,0.8,2.3
Craig Dawson,West Ham,1.4,0.3,1.6
Emmanuel Dennis,Nottingham Forest,0.9,0.5,1.4
Harry Wilson,Fulham,0.7,0.3,1.1
