,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Kevin De Bruyne,,32," M(CLR),FW",28(4),2425,7,16,1,0,2.0,80.8,0.4,9,7.58,0.9,0.3,0.6,0,0.3,0.8,0.1,0,3.1,1,0.9,0.2,0.9,1.3,42.4,2,2.5,0.5,4.93,2.07,0.18,65,0.08
1,1,Erling Haaland,,23, FW,33(2),2779,36,8,5,0,3.5,74.8,1.4,6,7.54,0.1,0.1,0.9,0,0.4,0.1,0.1,0,0.9,0.3,0.7,0.2,0.7,1.5,13.7,0,0.1,0.1,30.88,5.12,1,123,0.25
2,2,Harry Kane,,30," AM(C),FW",38,3408,30,3,6,0,3.4,72.0,1.7,8,7.51,0.4,0.1,0.8,0.1,0.5,0.4,0.2,0,1.5,1.1,1.5,0.4,1.5,1.9,22.4,0.2,1.9,0.3,22.49,7.51,0.59,130,0.17
3,3,Bruno Fernandes,,29, M(CLR),37,3320,8,8,6,0,2.5,77.7,0.5,6,7.44,1.8,0.7,1.1,0,1,1.1,0.1,0,3.2,0.9,1.1,0.4,1.1,1.1,50.1,0.9,3.1,0.6,8.81,-0.81,0.24,92,0.1
4,4,Gabriel Jesus,,27," AM(LR),FW",24(2),2075,11,6,6,0,3.0,81.5,1.7,4,7.42,1.3,0.4,1.7,0,0.5,0.7,0.1,0,1.2,1.7,2.2,0.6,2.5,3.4,25.9,0.1,0.6,0.1,14.24,-3.24,0.62,77,0.18
5,5,Kieran Trippier,,33," D(LR),M(R)",38,3348,1,7,5,0,0.4,76.0,1.3,8,7.41,1.9,1.1,1.3,0.3,2,1.2,0.4,1,2.9,0.5,0.8,0.2,0.2,0.7,54.3,3.6,3.9,0.2,0.88,0.12,0.02,14,0.06
6,6,Bukayo Saka,,22," D(L),M(CLR)",37(1),3195,14,11,6,0,2.3,80.9,0.4,4,7.4,1.7,0.4,1.1,0.1,0.4,0.6,0,0,2,1.7,1.7,0.2,1.6,2.1,32.5,1,0.9,0,10.21,3.79,0.29,89,0.11
7,7,Solly March,,29, M(CLR),31(2),2728,7,7,2,0,2.2,78.6,0.9,6,7.38,1.6,0.7,1.4,0.1,0.9,0.6,0.1,0,2,1.8,1.2,0.4,1,1.7,33.4,1.1,2.1,0.1,9.31,-2.31,0.31,74,0.13
8,8,Jack Grealish,,28," AM(CL),FW",23(5),2064,5,7,4,0,1.5,87.6,0.5,3,7.33,0.9,0.3,1,0,0.3,0.4,0.1,0,1.8,1.6,2.8,0.1,1,1.3,35.3,0.4,0.8,0.1,4.55,0.45,0.2,41,0.11
9,9,Martin Ødegaard,,25, AM(CR),37,3149,15,7,4,0,2.5,84.0,0.4,7,7.29,1,0.2,0.8,0,0.3,0.9,0.1,0,2.1,1.3,0.7,0,1.2,1.1,45.6,0.5,1.5,0.3,9.42,5.58,0.27,93,0.1
10,10,Rodri,,27," D(C),DMC",34(2),2921,2,6,5,0,1.4,91.3,2.0,3,7.26,1.9,0.9,1.3,0,1.2,0.8,0.4,0,0.9,0.7,0.6,0.1,0.5,0.6,82.7,0.1,4.8,0.1,4.39,-2.39,0.14,50,0.09
