player_name,team_name,Fouled,Fouls
Trevoh Chalobah,Chelsea,0.3,0.4
Diego Llorente,Leeds,0.3,0.8
Bobby De Cordova-Reid,Fulham,0.6,0.9
Romain Perraud,Southampton,0.5,1.1
Danny Ward,Leicester,0.2,0
Richarlison,Tottenham,0.8,0.5
Crysencio Summerville,Leeds,1.5,0.8
Ryan Yates,Nottingham Forest,2,1.9
Marc Albrighton,Leicester,0.3,0.3
Mario Lemina,Wolves,0.5,0.9
Moussa Djenepo,Southampton,1.2,0.7
Adam Lallana,Brighton,0.4,0.1
Aaron Hickey,Brentford,1.3,0.8
Hakim Ziyech,Chelsea,0.8,0.7
Patson Daka,Leicester,0.5,0.8
Jonny Otto,Wolves,1.1,0.7
Kevin Schade,Brentford,0.4,0.7
Conor Coady,Everton,0.5,0.5
Tino Livramento,Southampton,1,0
Josh Dasilva,Brentford,0.6,0.4
Joe Rothwell,Bournemouth,0.2,0.9
Daniel James,Leeds,1.5,0.5
Victor Kristiansen,Leicester,0.8,1.4
Ederson,Manchester City,0.1,0
Paul Onuachu,Southampton,0.5,1.3
Jacob Murphy,Newcastle,0.4,0.2
Eddie Nketiah,Arsenal,0.8,1
Gavin Bazunu,Southampton,0.1,0
Hugo Bueno,Wolves,0.3,0.3
Craig Dawson,West Ham,0.4,0.8
Emmanuel Dennis,Nottingham Forest,1.5,0.8
Harry Wilson,Fulham,1.1,0.4
Mads Roerslev,Brentford,0.2,0.2
James Garner,Everton,0.6,1
Odsonne Édouard,Crystal Palace,0.5,0.8
Luke Thomas,Leicester,0.4,0.7
Bryan Gil,Tottenham,0.5,0.5
Wayne Hennessey,Nottingham Forest,0.3,0
Albert Sambi Lokonga,Crystal Palace,1.3,0.8
Illan Meslier,Leeds,0.1,0
Robert Sánchez,Brighton,0,0
Weston McKennie,Leeds,0.3,1.1
Joel Robles,Leeds,0,0
Oliver Skipp,Tottenham,0.7,1
Emerson,West Ham,0.7,0.6
Junior Firpo,Leeds,0.4,1.3
Brenden Aaronson,Leeds,1.5,0.4
Lewis Cook,Bournemouth,0.4,0.5
Enock Mwepu,Brighton,0.2,0.3
Neeskens Kebano,Fulham,0.9,0.5
Kristoffer Ajer,Brentford,0.9,0.6
Pablo Fornals,West Ham,0.2,0.4
Lucas Digne,Aston Villa,0.8,0.7
Chris Richards,Crystal Palace,0.1,0.2
Ryan Sessegnon,Tottenham,0.4,0.9
Juan Larios,Southampton,0,0.2
Nathaniel Phillips,Liverpool,0,0.5
Cristiano Ronaldo,Manchester United,0.5,0.7
Frank Onyeka,Brentford,1.2,0.7
Denis Zakaria,Chelsea,0.3,0.7
Scott McKenna,Nottingham Forest,0.2,0.4
Ben Johnson,West Ham,0.3,0.2
Matt Targett,Newcastle,0.2,0.6
Cheikhou Kouyaté,Nottingham Forest,0.6,1
James Bree,Southampton,0,0.2
Gonçalo Guedes,Wolves,1.8,0.8
Remo Freuler,Nottingham Forest,0.4,0.9
Pedro Neto,Wolves,0.8,0.4
Pablo Sarabia,Wolves,0.6,1
Theo Walcott,Southampton,0.5,0.4
Wout Weghorst,Manchester United,0.5,0.8
Ricardo Pereira,Leicester,0.4,0.4
Philippe Coutinho,Aston Villa,0.7,0.8
Fábio Carvalho,Liverpool,0.5,0.5
Ludwig Augustinsson,Aston Villa,1,0.3
Steve Cook,Nottingham Forest,0.2,0.4
Bertrand Traoré,Aston Villa,1,0.3
Zanka,Brentford,0.2,0.5
Patrick Bamford,Leeds,1,0.9
Édouard Mendy,Chelsea,0.2,0
Alejandro Garnacho,Manchester United,0.4,0.4
Jeremy Sarmiento,Brighton,0.4,0.4
Kieffer Moore,Bournemouth,1.1,1
Raúl Jiménez,Wolves,0.9,0.9
Jaidon Anthony,Bournemouth,0.4,0.3
Danny Ings,West Ham,0.5,0.5
Isaac Price,Everton,0,0
Mark Travers,Bournemouth,0,0
Mikkel Damsgaard,Brentford,0.4,0.5
Mason Holgate,Everton,0.5,1.1
Deniz Undav,Brighton,0.2,0.7
Cole Palmer,Manchester City,0.4,0.1
James Milner,Liverpool,0.5,0.5
Takehiro Tomiyasu,Arsenal,0.1,0.3
Billy Gilmour,Brighton,0.2,0.6
Lewis Miley,Newcastle,0,0
Jamie Vardy,Leicester,0.2,0.6
Cédric Soares,Fulham,0.3,0.2
Ben Godfrey,Everton,0.4,0.8
Hwang Hee-Chan,Wolves,0.7,0.7
Carlos Vinícius,Fulham,0.5,0.8
Jan Bednarek,Aston Villa,0.3,0.3
Adam Smith,Bournemouth,0.7,0.8
Alex Oxlade Chamberlain,Liverpool,0.4,0.3
Samuel Edozie,Southampton,1.3,0.1
Lewis O'Brien,Nottingham Forest,1.2,0.4
Nampalys Mendy,Leicester,0.5,0.5
Mykhailo Mudryk,Chelsea,0.8,0.5
Fábio Vieira,Arsenal,0.2,0.1
Leander Dendoncker,Aston Villa,0.1,0.1
Alphonse Areola,West Ham,0,0.2
Stuart Armstrong,Southampton,0.6,0.5
Rob Holding,Arsenal,0.1,0.4
Tom Cairney,Fulham,0.7,0.2
Chris Wood,Nottingham Forest,0.4,0.3
Elliot Anderson,Newcastle,0.5,0.3
Sam Greenwood,Leeds,0.2,0.6
Daniel Iversen,Leicester,0,0
Nathaniel Clyne,Crystal Palace,0.4,0.5
Chris Wood,Newcastle,0.2,0.2
Armando Broja,Chelsea,0.5,0.2
Yves Bissouma,Tottenham,0.4,0.7
Harry Toffolo,Nottingham Forest,0.3,0.5
Darko Gyabi,Leeds,1,0
Facundo Buonanotte,Brighton,0.5,0.7
Albert Sambi Lokonga,Arsenal,0.8,0.2
Jack Colback,Nottingham Forest,0.7,0.8
Oriol Romeu,Southampton,2,1
Sékou Mara,Southampton,0.3,0.9
Adam Armstrong,Southampton,0.3,0.6
Daniel James,Fulham,0.7,0.1
Christian Pulisic,Chelsea,0.6,0.4
Will Hughes,Crystal Palace,0.3,0.7
Kalvin Phillips,Manchester City,0.2,0.8
Siriki Dembélé,Bournemouth,0.3,0.2
Adam Forshaw,Leeds,0.4,0.5
Anthony Elanga,Manchester United,0.4,0.2
Jan Paul van Hecke,Brighton,0.5,0.9
Carney Chukwuemeka,Chelsea,0.4,0.1
Kieran Tierney,Arsenal,0.3,0.2
Anthony Gordon,Newcastle,0.5,0.4
