player_name,team_name,Total_Key passes,Long,Short
Joe Worrall,Nottingham Forest,0.2,0,0.2
Ashley Young,Aston Villa,0.5,0.1,0.4
Pontus Jansson,Brentford,0,0,0
Ezri Konsa,Aston Villa,0.2,0,0.2
Dean Henderson,Nottingham Forest,0,0,0
Jordan Henderson,Liverpool,0.9,0.2,0.7
Danny Ings,Aston Villa,0.5,0.1,0.4
Séamus Coleman,Everton,0.2,0,0.2
Ryan Christie,Bournemouth,0.9,0.1,0.8
Rico Lewis,Manchester City,0.9,0,0.9
Matty Cash,Aston Villa,0.3,0,0.3
Roméo Lavia,Southampton,0.6,0.1,0.5
Ruben Loftus-Cheek,Chelsea,0.6,0,0.6
João Gomes,Wolves,0.5,0.1,0.4
Boubacar Kamara,Aston Villa,0.3,0.1,0.2
Luke Ayling,Leeds,0.4,0.1,0.3
Hugo Lloris,Tottenham,0,0,0
Leander Dendoncker,Wolves,0.5,0,0.5
Joe Aribo,Southampton,0.4,0,0.4
Ayoze Pérez,Leicester,1.4,0.3,1.1
Clément Lenglet,Tottenham,0.2,0,0.2
Levi Colwill,Brighton,0.4,0.1,0.4
Conor Gallagher,Chelsea,0.6,0.1,0.5
Renan Lodi,Nottingham Forest,0.5,0.1,0.4
Stefan Bajcetic,Liverpool,0.4,0,0.4
Kyle Walker,Manchester City,0.2,0.1,0.1
Daniel Amartey,Leicester,0.3,0.1,0.2
Tyrick Mitchell,Crystal Palace,0.4,0.1,0.4
Angelo Ogbonna,West Ham,0.2,0,0.2
Sam Amo-Ameyaw,Southampton,1,0,1
Keylor Navas,Nottingham Forest,0,0,0
José Sá,Wolves,0,0,0
Harvey Elliott,Liverpool,0.8,0.1,0.7
Marcos Senesi,Bournemouth,0.2,0,0.1
Adam Webster,Brighton,0.2,0.1,0.1
Manor Solomon,Fulham,0.3,0,0.3
Robin Koch,Leeds,0.2,0,0.1
Scott McTominay,Manchester United,0.3,0,0.3
Adama Traoré,Wolves,0.7,0.1,0.6
César Azpilicueta,Chelsea,0.5,0,0.5
Matías Viña,Bournemouth,0.2,0,0.2
Yoane Wissa,Brentford,0.3,0.1,0.3
Rayan Aït-Nouri,Wolves,0.3,0,0.3
Gianluca Scamacca,West Ham,0.8,0.1,0.7
Jack Stephens,Bournemouth,0.2,0,0.2
Cody Drameh,Leeds,0,0,0
Nathan Patterson,Everton,0.3,0.1,0.3
João Moutinho,Wolves,1.2,0.3,0.8
Taiwo Awoniyi,Nottingham Forest,0.4,0,0.4
Daniel Podence,Wolves,1.1,0.2,1
Joël Matip,Liverpool,0.3,0,0.3
Morgan Gibbs-White,Wolves,0.5,0.5,0
Thilo Kehrer,West Ham,0.3,0.1,0.2
Marc Roca,Leeds,1,0.3,0.7
Nélson Semedo,Wolves,0.3,0,0.3
Ainsley Maitland-Niles,Southampton,0.5,0.1,0.4
Harrison Reed,Fulham,0.9,0.3,0.6
Carlos Alcaraz,Southampton,0.3,0,0.3
Wilfred Ndidi,Leicester,0.1,0,0.1
Michail Antonio,West Ham,0.5,0,0.5
Matthew Craig,Tottenham,0,0,0
Boubakary Soumaré,Leicester,0.4,0,0.4
Jordan Zemura,Bournemouth,0.9,0,0.9
Brennan Johnson,Nottingham Forest,0.7,0,0.7
Mohamed Elyounoussi,Southampton,0.5,0.2,0.4
Jonny Evans,Leicester,0.1,0.1,0
David Datro Fofana,Chelsea,1,0,1
Nathan Collins,Wolves,0.1,0,0
Tetê,Leicester,0.5,0.1,0.4
Fred,Manchester United,0.9,0.1,0.8
Moussa Niakhaté,Nottingham Forest,0.1,0.1,0
Abdoulaye Doucouré,Everton,0.9,0,0.9
Kostas Tsimikas,Liverpool,0.9,0.5,0.5
Mateo Kovacic,Chelsea,0.9,0,0.8
Wilfried Gnonto,Leeds,0.9,0.1,0.8
Orel Mangala,Nottingham Forest,0.1,0,0.1
Fraser Forster,Tottenham,0,0,0
Lyanco,Southampton,0.2,0,0.1
Davinson Sánchez,Tottenham,0.1,0.1,0
Kelechi Iheanacho,Leicester,0.8,0,0.8
Trevoh Chalobah,Chelsea,0.2,0,0.2
Diego Llorente,Leeds,0,0,0
Bobby De Cordova-Reid,Fulham,0.5,0.1,0.4
Romain Perraud,Southampton,0.5,0,0.5
Danny Ward,Leicester,0,0,0
Richarlison,Tottenham,0.6,0,0.6
Crysencio Summerville,Leeds,0.6,0,0.6
Ryan Yates,Nottingham Forest,0.3,0,0.3
Marc Albrighton,Leicester,1,0.3,0.7
Mario Lemina,Wolves,0.2,0,0.2
Moussa Djenepo,Southampton,0.6,0,0.6
Adam Lallana,Brighton,0.9,0,0.9
Aaron Hickey,Brentford,0.2,0,0.2
Hakim Ziyech,Chelsea,0.8,0.4,0.4
Patson Daka,Leicester,0.6,0,0.6
Jonny Otto,Wolves,0.3,0,0.3
Kevin Schade,Brentford,0.4,0,0.4
Conor Coady,Everton,0.2,0.1,0.1
Tino Livramento,Southampton,0,0,0
Josh Dasilva,Brentford,0.3,0,0.3
Joe Rothwell,Bournemouth,0.4,0.2,0.3
Daniel James,Leeds,0.3,0,0.3
Victor Kristiansen,Leicester,0.6,0.3,0.3
Ederson,Manchester City,0,0,0
Paul Onuachu,Southampton,0.4,0,0.4
Jacob Murphy,Newcastle,0.5,0.1,0.4
Eddie Nketiah,Arsenal,0.3,0,0.3
Gavin Bazunu,Southampton,0,0,0
Hugo Bueno,Wolves,0.8,0.1,0.7
Craig Dawson,West Ham,0.1,0,0.1
Emmanuel Dennis,Nottingham Forest,0.4,0,0.4
Harry Wilson,Fulham,0.4,0,0.4
Mads Roerslev,Brentford,0.4,0,0.4
James Garner,Everton,0.4,0.1,0.4
Odsonne Édouard,Crystal Palace,0.5,0,0.5
Luke Thomas,Leicester,0.3,0.1,0.2
Bryan Gil,Tottenham,0.5,0,0.5
Wayne Hennessey,Nottingham Forest,0,0,0
Albert Sambi Lokonga,Crystal Palace,0.1,0,0.1
Illan Meslier,Leeds,0,0,0
Robert Sánchez,Brighton,0,0,0
Weston McKennie,Leeds,0.7,0.2,0.5
Joel Robles,Leeds,0,0,0
Oliver Skipp,Tottenham,0.4,0,0.4
Emerson,West Ham,0.6,0,0.5
Junior Firpo,Leeds,0.4,0,0.4
Brenden Aaronson,Leeds,1.3,0.2,1.1
Lewis Cook,Bournemouth,0.9,0.2,0.7
Enock Mwepu,Brighton,0.5,0,0.5
Neeskens Kebano,Fulham,0.8,0,0.8
Kristoffer Ajer,Brentford,0.1,0,0.1
Pablo Fornals,West Ham,0.6,0.1,0.6
Lucas Digne,Aston Villa,0.6,0.1,0.6
Chris Richards,Crystal Palace,0.1,0,0.1
Ryan Sessegnon,Tottenham,0.4,0.1,0.3
Juan Larios,Southampton,0,0,0
Nathaniel Phillips,Liverpool,0,0,0
Cristiano Ronaldo,Manchester United,0.6,0,0.6
Frank Onyeka,Brentford,0.3,0,0.3
Denis Zakaria,Chelsea,0.1,0,0.1
Scott McKenna,Nottingham Forest,0.4,0.1,0.3
Ben Johnson,West Ham,0.2,0,0.2
Matt Targett,Newcastle,0.6,0.2,0.4
Cheikhou Kouyaté,Nottingham Forest,0.3,0,0.3
James Bree,Southampton,0.8,0.2,0.6
Gonçalo Guedes,Wolves,0.7,0.2,0.5
Remo Freuler,Nottingham Forest,0.4,0,0.4
Pedro Neto,Wolves,1.1,0.2,0.8
Pablo Sarabia,Wolves,0.8,0.2,0.7
Theo Walcott,Southampton,0.8,0.1,0.7
Wout Weghorst,Manchester United,0.8,0.1,0.7
Ricardo Pereira,Leicester,0.7,0.1,0.6
Philippe Coutinho,Aston Villa,0.4,0,0.4
Fábio Carvalho,Liverpool,0.1,0,0.1
Ludwig Augustinsson,Aston Villa,0,0,0
Steve Cook,Nottingham Forest,0.3,0,0.3
Bertrand Traoré,Aston Villa,0.1,0,0.1
Zanka,Brentford,0.2,0.1,0.1
Patrick Bamford,Leeds,0.4,0,0.4
Édouard Mendy,Chelsea,0,0,0
Alejandro Garnacho,Manchester United,0.2,0,0.2
Jeremy Sarmiento,Brighton,0.2,0,0.2
Kieffer Moore,Bournemouth,0.2,0,0.2
Raúl Jiménez,Wolves,0.6,0.1,0.5
Jaidon Anthony,Bournemouth,0.4,0,0.4
Danny Ings,West Ham,0.4,0.1,0.3
