player_name,team_name,Total_Interception
Leander Dendoncker,Aston Villa,0.5
Alphonse Areola,West Ham,0
Stuart Armstrong,Southampton,0.3
Rob Holding,Arsenal,0.2
Tom Cairney,Fulham,0.2
Chris Wood,Nottingham Forest,0.1
Elliot Anderson,Newcastle,0.3
Sam Greenwood,Leeds,0.1
Daniel Iversen,Leicester,0
Nathaniel Clyne,Crystal Palace,0.9
Chris Wood,Newcastle,0.1
Armando Broja,Chelsea,0.1
Yves Bissouma,Tottenham,0.5
Harry Toffolo,Nottingham Forest,0.5
Darko Gyabi,Leeds,0
Facundo Buonanotte,Brighton,0.3
Albert Sambi Lokonga,Arsenal,0.8
Jack Colback,Nottingham Forest,0.3
Oriol Romeu,Southampton,1
Sékou Mara,Southampton,0
Adam Armstrong,Southampton,0.2
Daniel James,Fulham,0.1
Christian Pulisic,Chelsea,0.2
Will Hughes,Crystal Palace,0.6
Kalvin Phillips,Manchester City,0.4
Siriki Dembélé,Bournemouth,0.2
Adam Forshaw,Leeds,0.3
Anthony Elanga,Manchester United,0.1
Jan Paul van Hecke,Brighton,0.8
Carney Chukwuemeka,Chelsea,0.4
Kieran Tierney,Arsenal,0.4
Anthony Gordon,Newcastle,0.1
Boubacar Traoré,Wolves,0.7
Georginio Rutter,Leeds,0.3
Keane Lewis-Potter,Brentford,0
Diego Costa,Wolves,0.1
Sergio Gómez,Manchester City,0.2
Ryan Fraser,Newcastle,0
Kevin Mbabu,Fulham,0.5
Arnaut Danjuma,Tottenham,0
Illia Zabarnyi,Bournemouth,0.6
Shandon Baptiste,Brentford,0.3
Marek Rodák,Fulham,0
Sasa Kalajdzic,Wolves,1
Giulian Biancone,Nottingham Forest,0.5
Ibrahima Diallo,Southampton,0.3
Tariq Lamptey,Brighton,0.4
Neal Maupay,Everton,0.2
Rúben Vinagre,Everton,0
Gustavo Scarpa,Nottingham Forest,0
Dennis Praet,Leicester,0.2
Javier Manquillo,Newcastle,0.3
Luka Milivojevic,Crystal Palace,0.7
Donny van de Beek,Manchester United,0.1
Facundo Pellistri,Manchester United,0
Emile Smith Rowe,Arsenal,0
Thomas Cannon,Everton,0
Antoine Semenyo,Bournemouth,0.2
Japhet Tanganga,Tottenham,0.5
Sasa Lukic,Fulham,0.4
Pape Sarr,Tottenham,0.5
Jean-Philippe Mateta,Crystal Palace,0.1
Joe Gelhardt,Leeds,0
Yasin Ayari,Brighton,0
Jesse Lingard,Nottingham Forest,0.3
Jack Stephens,Southampton,0.5
Ellis Simms,Everton,0
Divin Mubama,West Ham,0
Jonjo Shelvey,Nottingham Forest,0.6
Naby Keïta,Liverpool,0.3
Manuel Lanzini,West Ham,0.2
Flynn Downes,West Ham,0.3
James Tomkins,Crystal Palace,0.8
James McArthur,Crystal Palace,0.3
Harvey White,Tottenham,0
Ryan Fredericks,Bournemouth,0.1
Saman Ghoddos,Brentford,0.3
Mateusz Klich,Leeds,0
Matt Ritchie,Newcastle,0.1
Tom Davies,Everton,0.2
Pierre-Emerick Aubameyang,Chelsea,0.1
Mislav Orsic,Southampton,0
Omari Hutchinson,Chelsea,1
Sergi Canós,Brentford,0
Salomón Rondón,Everton,0
Calum Chambers,Aston Villa,0.5
Kobbie Mainoo,Manchester United,0
Jairo Riedewald,Crystal Palace,0
Chem Campbell,Wolves,0.2
Cafú,Nottingham Forest,0
Diego Carlos,Aston Villa,0.3
Ben Doak,Liverpool,0
Mads Bech,Brentford,0.3
Jay Stansfield,Fulham,0.3
Jhon Durán,Aston Villa,0.2
Maxwel Cornet,West Ham,0.1
