player_name,team_name,Yellow,Red
João Félix,Chelsea,0.1,0.1
Rasmus Kristensen,Leeds,0.2,0
Demarai Gray,Everton,0.1,0
Dominic Calvert-Lewin,Everton,0.2,0
Kamaldeen Sulemana,Southampton,0.1,0
Lewis Dunk,Brighton,0.1,0
Toti Gomes,Wolves,0.4,0
Liam Cooper,Leeds,0.3,0
Craig Dawson,Wolves,0.2,0
Ben Chilwell,Chelsea,0.1,0
Robin Olsen,Aston Villa,0,0
Leon Bailey,Aston Villa,0.1,0
Willy-Arnaud Boly,Nottingham Forest,0.2,0
Anthony Gordon,Everton,0.4,0
Aaron Cresswell,West Ham,0.1,0
Jorginho,Arsenal,0,0
Matheus Nunes,Wolves,0.1,0
Jakub Kiwior,Arsenal,0,0
Neco Williams,Nottingham Forest,0.2,0
Ché Adams,Southampton,0,0
Lloyd Kelly,Bournemouth,0.1,0
Joël Veltman,Brighton,0.2,0
Anthony Martial,Manchester United,0,0
Manuel Akanji,Manchester City,0.1,0
Harry Maguire,Manchester United,0.3,0
Dan Bentley,Wolves,0,0
Vitalii Mykolenko,Everton,0.1,0
Kyle Walker-Peters,Southampton,0.1,0
Chris Mepham,Bournemouth,0.3,0
Caoimhín Kelleher,Liverpool,0,0
Luis Sinisterra,Leeds,0.1,0.1
Joe Worrall,Nottingham Forest,0.2,0
Ashley Young,Aston Villa,0.2,0
Pontus Jansson,Brentford,0,0
Ezri Konsa,Aston Villa,0.2,0
Dean Henderson,Nottingham Forest,0.1,0
Jordan Henderson,Liverpool,0.1,0
Danny Ings,Aston Villa,0.2,0
Séamus Coleman,Everton,0,0
Ryan Christie,Bournemouth,0.1,0
Rico Lewis,Manchester City,0.1,0
Matty Cash,Aston Villa,0.2,0
Roméo Lavia,Southampton,0.3,0
Ruben Loftus-Cheek,Chelsea,0,0
João Gomes,Wolves,0.5,0
Boubacar Kamara,Aston Villa,0.2,0
Luke Ayling,Leeds,0.1,0
Hugo Lloris,Tottenham,0,0
Leander Dendoncker,Wolves,0,0
Joe Aribo,Southampton,0.1,0
Ayoze Pérez,Leicester,0,0
Clément Lenglet,Tottenham,0.2,0
Levi Colwill,Brighton,0.1,0
Conor Gallagher,Chelsea,0.3,0
Renan Lodi,Nottingham Forest,0.3,0
Stefan Bajcetic,Liverpool,0.2,0
Kyle Walker,Manchester City,0.1,0
Daniel Amartey,Leicester,0.1,0
Tyrick Mitchell,Crystal Palace,0.1,0
Angelo Ogbonna,West Ham,0,0
Sam Amo-Ameyaw,Southampton,0,0
Keylor Navas,Nottingham Forest,0.1,0
José Sá,Wolves,0.1,0
Harvey Elliott,Liverpool,0.1,0
Marcos Senesi,Bournemouth,0.2,0
Adam Webster,Brighton,0.1,0
Manor Solomon,Fulham,0,0
Robin Koch,Leeds,0.2,0
Scott McTominay,Manchester United,0.3,0
Adama Traoré,Wolves,0.1,0
César Azpilicueta,Chelsea,0.1,0
Matías Viña,Bournemouth,0.1,0
Yoane Wissa,Brentford,0.1,0
Rayan Aït-Nouri,Wolves,0.2,0
Gianluca Scamacca,West Ham,0.2,0
Jack Stephens,Bournemouth,0.2,0
Cody Drameh,Leeds,0,0
Nathan Patterson,Everton,0.2,0
João Moutinho,Wolves,0.1,0
Taiwo Awoniyi,Nottingham Forest,0.1,0
Daniel Podence,Wolves,0.2,0
Joël Matip,Liverpool,0.2,0
Morgan Gibbs-White,Wolves,0.5,0
Thilo Kehrer,West Ham,0.1,0
Marc Roca,Leeds,0.2,0
Nélson Semedo,Wolves,0.3,0
Ainsley Maitland-Niles,Southampton,0.1,0
Harrison Reed,Fulham,0.1,0
Carlos Alcaraz,Southampton,0.2,0
Wilfred Ndidi,Leicester,0.1,0
Michail Antonio,West Ham,0.1,0
Matthew Craig,Tottenham,0,0
Boubakary Soumaré,Leicester,0.3,0
Jordan Zemura,Bournemouth,0.1,0
Brennan Johnson,Nottingham Forest,0.2,0
