Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots,Positions_1,Positions_2,Positions_3,Positions_4,Positions_5
Jacob Ramsey,Aston Villa,22,"CAM, LAM, RAM",31(4),2647,6,7,5,0,0.9,83.7,0.5,1,6.86,2.0,0.7,1.0,0.0,0.8,1.1,0.2,1,0.9,1.2,0.9,1.3,0.1,1.1,1.8,24.7,0.1,0.5,0.0,4.8,1.2,0.16,33.0,0.15,CAM, LAM, RAM,,
Roberto Firmino,Liverpool,32,"CM, LM, RM, FW",13(12),1213,11,4,0,0,1.6,79.9,0.6,2,6.85,0.7,0.3,0.4,0.0,0.1,0.7,0.0,0,1.6,0.8,0.5,0.2,0.2,0.9,1.5,21.8,0.1,0.3,0.2,7.6,3.4,0.56,39.0,0.19,CM, LM, RM, FW,
Sèrge Aurier,Nottingham Forest,31,"CB, LB, RB, RM",22(2),1949,1,0,2,0,0.4,72.8,1.9,1,6.85,2.7,1.2,0.8,0.1,2.7,0.4,0.5,0,0.4,0.4,0.7,0.8,0.0,0.8,1.3,30.6,0.3,0.9,0.0,0.68,0.32,0.03,9.0,0.08,CB, LB, RB, RM,
Gabriel Magalhães,Arsenal,26,CB,38,3411,3,0,5,0,0.8,89.7,2.6,2,6.84,1.3,0.8,0.7,0.7,3.2,0.2,0.7,0,0.8,0.1,0.1,1.1,0.0,0.1,0.5,63.1,0.0,2.2,0.0,4.89,-1.89,0.13,32.0,0.15,CB,,,,
Lisandro Martínez,Manchester United,26,"CB, LB, CDM",24(3),2117,1,0,6,0,0.4,87.3,1.2,0,6.84,2.0,1.2,0.8,0.4,3.6,0.5,1.0,0,0.4,0.2,0.5,0.4,0.0,0.3,0.4,56.2,0.0,2.5,0.1,0.58,0.42,0.02,10.0,0.06,CB, LB, CDM,,
Morgan Gibbs-White,Nottingham Forest,24,"CAM, LAM, RAM, FW",34(1),2978,5,8,5,0,1.7,69.0,1.6,5,6.84,0.7,0.4,0.9,0.0,0.3,0.6,0.1,0,1.7,1.9,1.4,0.8,0.2,1.3,2.6,25.6,1.0,1.1,0.3,6.8,-1.8,0.21,59.0,0.12,CAM, LAM, RAM, FW,
Morgan Gibbs-White,Wolves,24,"CAM, LAM, RAM, FW",2,180,0,0,1,0,1.5,83.7,1.5,0,6.5,0.7,0.4,0.9,0.0,0.3,0.6,0.1,0,1.7,1.9,1.4,0.8,0.2,1.3,2.6,25.6,1.0,1.1,0.3,6.8,-1.8,0.21,59.0,0.12,CAM, LAM, RAM, FW,
Kalidou Koulibaly,Chelsea,32,CB,20(3),1801,2,1,5,1,0.5,87.1,1.4,0,6.83,2.0,1.3,1.0,0.4,3.1,0.6,0.6,0,0.5,0.3,0.2,0.4,0.0,0.1,0.4,63.0,0.0,2.9,0.0,1.14,0.86,0.06,11.0,0.1,CB,,,,
Jadon Sancho,Manchester United,24,"CAM, LAM, RAM",21(5),1699,6,3,0,0,0.8,85.0,0.1,0,6.82,0.6,0.3,0.3,0.0,0.2,0.8,0.1,0,0.8,1.7,1.3,0.4,0.3,0.8,1.9,28.8,0.1,0.4,0.1,4.03,1.97,0.21,21.0,0.19,CAM, LAM, RAM,,
Çaglar Söyüncü,Leicester,27,CB,6(1),529,1,0,2,0,0.7,78.8,3.4,1,6.82,2.0,1.0,1.0,0.9,4.1,0.4,1.1,0,0.7,0.1,0.1,0.6,0.0,0.0,0.3,43.7,0.0,2.6,0.0,0.39,0.61,0.07,5.0,0.08,CB,,,,
Philip Billing,Bournemouth,27,"CM, FW",34(2),2787,7,1,5,0,1.1,79.4,1.4,3,6.82,1.8,0.9,0.8,0.1,1.4,0.9,0.2,0,1.1,0.7,0.8,1.0,0.1,1.0,1.2,28.0,0.2,0.7,0.1,4.22,2.78,0.14,38.0,0.11,CM, FW,,,
Antony,Manchester United,24,"CAM, RAM",23(2),1819,4,2,5,0,2.9,82.2,0.2,1,6.82,0.9,0.4,0.6,0.0,0.1,0.8,0.0,0,2.9,1.1,1.2,1.0,0.1,0.5,1.5,31.0,0.1,0.7,0.0,5.75,-1.75,0.28,72.0,0.08,CAM, RAM,,,
Michael Keane,Everton,31,"CB, RB",10(2),983,1,2,0,0,1.2,70.1,5.6,1,6.82,0.6,1.2,0.6,1.0,4.6,0.3,0.6,0,1.2,0.3,0.3,0.3,0.0,0.2,0.5,35.7,0.1,2.2,0.0,1.48,-0.48,0.14,14.0,0.11,CB, RB,,,
Alex Iwobi,Everton,28,"CM, LM, RM",38,3382,2,7,2,0,1.1,78.8,0.3,0,6.82,1.8,0.7,0.5,0.0,0.7,0.8,0.1,0,1.1,1.7,1.4,0.4,0.1,1.1,1.8,36.6,0.8,1.9,0.2,2.89,-0.89,0.08,42.0,0.07,CM, LM, RM,,
Thiago Alcântara,Liverpool,33,CM,14(4),1256,0,0,2,0,0.6,86.5,0.8,1,6.82,2.4,1.2,1.0,0.0,0.7,0.5,0.2,0,0.6,0.9,1.2,1.4,0.0,1.2,0.7,60.3,0.1,5.2,0.2,0.52,-0.52,0.04,10.0,0.05,CM,,,,
Wilfried Zaha,Crystal Palace,31,"LAM, RAM, FW",27,2295,7,2,5,0,2.4,81.3,0.2,2,6.82,1.2,0.6,1.3,0.0,0.2,0.5,0.0,0,2.4,1.0,2.0,2.9,0.5,3.0,3.5,22.4,0.2,0.3,0.1,7.68,-0.68,0.3,66.0,0.12,LAM, RAM, FW,,
Mathias Jensen,Brentford,28,CM,37,2830,5,6,5,0,0.6,75.7,0.3,3,6.81,1.9,0.9,0.9,0.0,0.6,1.7,0.1,0,0.6,1.3,0.7,0.7,0.0,0.9,1.5,32.9,1.4,3.0,0.0,1.8,3.2,0.06,23.0,0.08,CM,,,,
John McGinn,Aston Villa,29,"CM, LM, RM",30(4),2698,1,3,7,0,1.2,81.5,0.6,2,6.81,1.9,0.7,1.2,0.0,0.4,1.1,0.1,0,1.2,0.5,1.3,1.9,0.0,1.0,1.7,28.5,0.4,1.9,0.1,2.2,-1.2,0.07,42.0,0.05,CM, LM, RM,,
Kepa,Chelsea,29,GK,29,2566,0,0,1,0,0.0,80.7,0.4,2,6.81,0.1,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,30.9,0.0,4.1,0.0,,,,,,GK,,,,
Jarrod Bowen,West Ham,27,"CAM, LAM, RAM, FW",36(2),3237,6,5,2,0,2.0,72.7,0.9,3,6.8,1.0,0.9,0.7,0.1,0.5,1.1,0.2,0,2.0,1.3,0.9,1.8,0.3,1.4,1.8,18.8,0.8,0.6,0.0,9.63,-3.63,0.27,75.0,0.13,CAM, LAM, RAM, FW,
Tomás Soucek,West Ham,29,CM,32(4),2820,2,3,3,0,0.9,72.1,3.2,1,6.8,2.1,1.5,1.4,0.0,1.9,0.8,0.5,0,0.9,0.4,0.1,0.4,0.1,0.5,0.6,27.1,0.2,1.1,0.0,3.81,-1.81,0.12,34.0,0.11,CM,,,,
Bernardo Silva,Manchester City,29,"CM, LM, RM, FW",24(10),2203,4,5,5,0,0.7,89.1,0.1,0,6.8,1.3,0.5,0.9,0.0,0.2,0.9,0.2,0,0.7,0.9,0.8,0.4,0.1,0.9,0.9,41.7,0.4,1.7,0.1,2.33,1.67,0.1,25.0,0.09,CM, LM, RM, FW,
Allan Saint-Maximin,Newcastle,27,"CAM, LAM, RAM, FW",12(13),1119,1,5,1,0,1.1,75.1,0.1,2,6.8,0.4,0.2,0.2,0.0,0.0,0.4,0.0,0,1.1,1.2,2.3,0.6,0.1,1.2,1.2,16.2,0.2,0.8,0.0,1.78,-0.78,0.14,28.0,0.06,CAM, LAM, RAM, FW,
Noni Madueke,Chelsea,22,"CAM, RAM, FW",7(5),646,1,0,0,0,1.0,82.3,0.2,0,6.8,1.0,0.3,0.3,0.0,0.6,0.6,0.2,0,1.0,1.1,2.8,1.3,0.2,1.1,1.4,21.7,0.2,0.3,0.0,1.0,0.0,0.14,12.0,0.08,CAM, RAM, FW,,
Jordan Ayew,Crystal Palace,32,"CAM, LAM, RAM, FW",31(7),2721,4,3,5,0,0.8,80.5,1.3,1,6.8,1.7,0.4,1.3,0.1,0.8,0.8,0.1,0,0.8,0.8,1.7,2.4,0.1,2.2,2.8,21.6,0.3,0.2,0.0,2.83,1.17,0.09,32.0,0.09,CAM, LAM, RAM, FW,
Enzo Fernández,Chelsea,23,CM,18,1551,0,2,3,0,1.1,89.1,0.4,0,6.8,2.5,0.9,0.6,0.1,0.6,1.9,0.1,0,1.1,1.1,0.9,1.2,0.1,0.7,1.4,78.9,0.1,7.4,0.3,0.82,-0.82,0.05,20.0,0.04,CM,,,,
John Stones,Manchester City,29,"CB, RB, CDM",21(2),1849,2,2,2,0,0.5,93.2,1.4,0,6.8,1.0,0.4,0.4,0.3,1.7,0.1,0.4,1,0.5,0.3,0.3,0.3,0.0,0.2,0.3,65.7,0.0,2.8,0.0,1.32,0.68,0.06,11.0,0.12,CB, RB, CDM,,
Cristian Romero,Tottenham,26,CB,26(1),2365,0,1,9,1,0.4,87.7,2.1,1,6.8,2.5,1.6,1.6,0.3,3.6,0.6,0.7,0,0.4,0.3,0.5,0.4,0.0,0.4,0.7,58.7,0.0,3.0,0.1,0.86,-0.86,0.03,11.0,0.08,CB,,,,
Youri Tielemans,Leicester,26,CM,27(4),2351,3,2,4,0,1.0,82.1,0.8,1,6.8,2.1,0.9,1.1,0.0,0.8,1.3,0.3,0,1.0,1.0,0.8,0.8,0.0,0.5,1.1,50.2,0.4,2.1,0.2,2.45,0.55,0.09,31.0,0.08,CM,,,,
Rúben Dias,Manchester City,26,CB,22(4),1999,0,0,3,0,0.4,92.7,1.7,0,6.79,0.8,0.7,0.7,0.5,2.1,0.3,0.5,0,0.4,0.1,0.3,0.3,0.0,0.2,0.0,79.7,0.0,2.6,0.0,1.8,-1.8,0.08,10.0,0.18,CB,,,,
Joachim Andersen,Crystal Palace,27,CB,32,2784,1,0,8,0,0.7,79.7,2.7,0,6.79,1.3,0.8,0.8,0.7,5.8,0.5,0.4,2,0.7,0.4,0.2,0.5,0.1,0.1,0.3,60.6,0.0,6.3,0.1,2.09,-1.09,0.07,22.0,0.1,CB,,,,
Hamed Traorè,Bournemouth,24,"CAM, LAM, RAM",5(2),429,0,0,0,0,0.9,71.1,0.4,0,6.79,2.4,0.3,0.6,0.0,0.1,1.7,0.0,0,0.9,2.0,2.3,0.6,0.1,1.9,2.1,19.3,1.7,0.6,0.1,0.83,-0.83,0.17,6.0,0.14,CAM, LAM, RAM,,
Darwin Núñez,Liverpool,24,"CAM, LAM, FW",19(10),1701,9,3,1,1,2.9,67.1,1.2,2,6.79,0.4,0.1,0.9,0.0,0.4,0.4,0.0,0,2.9,1.0,0.6,0.6,0.6,0.9,1.4,12.8,0.0,0.6,0.0,13.19,-4.19,0.7,84.0,0.16,CAM, LAM, FW,,
Pervis Estupiñán,Brighton,26,"LB, LM",31(4),2683,1,5,4,0,0.8,84.0,1.0,2,6.79,1.7,1.1,1.2,0.1,1.0,0.7,0.2,0,0.8,1.5,0.5,0.7,0.3,0.8,1.1,46.3,0.8,0.9,0.0,1.87,-0.87,0.06,29.0,0.06,LB, LM,,,
Dominic Solanke,Bournemouth,26,FW,32(1),2873,6,7,2,0,2.3,69.8,1.6,3,6.79,0.5,0.2,1.2,0.1,1.3,0.5,0.2,0,2.3,0.6,1.4,1.6,0.3,2.2,4.1,15.6,0.0,0.2,0.0,9.77,-3.77,0.31,76.0,0.13,FW,,,,
Ibrahima Konaté,Liverpool,24,CB,17(1),1551,0,0,5,0,0.6,87.2,2.6,0,6.79,2.1,1.4,1.6,0.8,3.1,0.6,0.3,1,0.6,0.1,0.6,0.8,0.1,0.2,0.7,62.8,0.0,1.9,0.1,1.38,-1.38,0.08,11.0,0.13,CB,,,,
Mohammed Salisu,Southampton,25,"CB, LB",21(1),1973,0,1,5,0,0.9,76.8,2.5,0,6.79,2.3,1.4,1.2,0.5,5.4,0.5,1.1,1,0.9,0.3,0.4,0.1,0.0,0.4,0.2,49.5,0.2,3.3,0.0,1.7,-1.7,0.08,19.0,0.09,CB, LB,,,
Ben White,Arsenal,26,"CB, RB, CDM",36(2),3068,2,5,5,0,0.3,86.6,0.9,0,6.78,1.6,0.6,0.7,0.4,2.0,0.7,0.3,0,0.3,0.7,0.2,0.8,0.0,0.2,0.7,51.3,0.4,1.5,0.1,0.84,1.16,0.02,10.0,0.08,CB, RB, CDM,,
Andy Robertson,Liverpool,30,"LB, LM",29(5),2588,0,8,3,0,0.4,84.2,0.6,0,6.78,1.1,0.5,0.6,0.4,1.3,0.6,0.1,0,0.4,1.5,0.5,0.3,0.2,0.2,0.9,53.9,1.6,1.6,0.0,1.0,-1.0,0.03,13.0,0.08,LB, LM,,,
Julio Enciso,Brighton,20,"CAM, LAM",7(13),802,4,2,1,0,1.9,72.7,0.3,1,6.78,0.7,0.2,0.7,0.0,0.1,0.3,0.0,0,1.9,0.7,1.6,0.8,0.2,1.0,1.0,12.1,0.0,0.1,0.2,4.38,-0.37,0.49,38.0,0.12,CAM, LAM,,,
Dejan Kulusevski,Tottenham,24,"CAM, RAM, FW",23(7),2079,2,7,2,0,1.4,82.5,0.1,1,6.78,1.3,0.4,1.2,0.0,0.2,0.9,0.0,0,1.4,1.6,1.7,0.8,0.1,1.7,2.6,22.5,0.6,0.3,0.1,2.58,-0.58,0.11,43.0,0.06,CAM, RAM, FW,,
William Saliba,Arsenal,23,CB,27,2416,2,1,4,0,0.2,91.0,2.0,1,6.77,1.3,0.7,0.7,0.5,3.0,0.1,0.4,1,0.2,0.2,0.3,0.5,0.0,0.2,0.6,69.0,0.0,2.4,0.0,0.75,1.25,0.03,6.0,0.13,CB,,,,
Emerson Royal,Tottenham,25,"CB, RB, RM",20(6),1737,2,1,2,1,0.7,83.1,1.1,1,6.77,2.1,0.7,0.8,0.1,2.5,0.5,0.1,0,0.7,0.3,0.6,1.3,0.0,0.7,0.8,33.2,0.2,1.3,0.0,1.43,0.57,0.07,17.0,0.08,CB, RB, RM,,
Dan Burn,Newcastle,31,"CB, LB, LM",35(3),3117,1,0,6,0,0.6,78.6,2.2,1,6.77,1.6,0.8,0.9,0.2,2.7,0.9,0.4,0,0.6,0.4,0.3,0.1,0.2,0.2,0.9,37.8,0.1,1.4,0.0,2.08,-1.08,0.06,21.0,0.1,CB, LB, LM,,
Neto,Bournemouth,34,GK,27,2386,0,0,4,0,0.0,56.0,0.2,2,6.76,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25.8,0.0,6.4,0.0,,,,,,GK,,,,
Vicente Guaita,Crystal Palace,37,GK,27,2430,0,0,1,0,0.0,67.5,0.4,2,6.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.0,0.0,5.6,0.0,,,,,,GK,,,,
Danny Welbeck,Brighton,33,"CAM, LAM, RAM, FW",21(10),1859,6,3,0,0,2.0,84.7,1.0,2,6.76,0.5,0.2,0.8,0.1,0.6,0.2,0.1,0,2.0,1.0,0.7,0.6,0.2,0.7,1.9,14.2,0.0,0.1,0.1,8.96,-2.96,0.43,62.0,0.14,CAM, LAM, RAM, FW,
Kai Havertz,Chelsea,24,"CM, RM, FW",30(5),2580,7,1,5,0,2.0,82.4,2.3,2,6.75,1.0,0.2,1.7,0.0,1.1,0.6,0.0,0,2.0,1.1,0.5,0.7,0.8,1.0,2.3,24.8,0.1,0.4,0.1,11.95,-4.95,0.42,71.0,0.17,CM, RM, FW,,
Nathan Aké,Manchester City,29,"CB, LB, CDM",22(4),1876,1,0,2,0,0.3,91.1,1.4,0,6.75,1.0,0.8,0.5,0.5,1.8,0.2,0.4,0,0.3,0.3,0.1,0.5,0.0,0.0,0.6,65.6,0.0,1.3,0.0,1.24,-0.24,0.06,9.0,0.14,CB, LB, CDM,,
Antonee Robinson,Fulham,26,"LB, LM",35,3089,0,1,8,0,0.1,76.9,1.1,0,6.75,1.8,1.5,0.9,0.3,2.2,0.6,0.4,0,0.1,0.6,1.1,0.7,0.1,0.6,1.1,41.9,0.9,2.3,0.0,0.07,-0.07,0.0,3.0,0.02,LB, LM,,,
Tyrone Mings,Aston Villa,31,"CB, LB",35,3150,1,2,7,0,0.2,85.3,1.8,1,6.75,0.4,1.5,0.5,1.0,4.5,0.3,0.6,1,0.2,0.1,0.2,0.6,0.1,0.2,0.2,53.9,0.0,3.0,0.0,1.09,-0.09,0.03,7.0,0.16,CB, LB,,,
Sven Botman,Newcastle,24,CB,35(1),3129,0,0,2,0,0.6,86.8,2.1,0,6.74,1.1,0.9,0.4,0.5,3.3,0.2,0.7,0,0.6,0.3,0.0,0.3,0.1,0.1,0.3,48.7,0.0,2.8,0.0,2.21,-2.21,0.06,22.0,0.1,CB,,,,
Ivan Perisic,Tottenham,35,"CM, LM, RM, FW",23(11),2112,1,8,6,0,0.9,72.3,1.0,1,6.74,1.2,0.6,0.9,0.0,1.2,0.6,0.2,0,0.9,1.4,0.5,0.2,0.2,0.4,1.0,23.0,1.4,1.1,0.0,3.14,-2.14,0.13,29.0,0.11,CM, LM, RM, FW,
Tosin Adarabioyo,Fulham,26,"CB, RB",23(2),2084,1,0,4,0,0.6,82.4,2.4,0,6.74,1.2,1.0,0.7,1.0,5.5,0.3,0.6,0,0.6,0.2,0.4,0.2,0.1,0.2,0.2,51.4,0.0,3.6,0.1,0.57,0.43,0.02,16.0,0.04,CB, RB,,,
Dango Ouattara,Bournemouth,22,"LB, LM, RM",15(4),1246,1,3,1,0,1.4,65.8,1.6,1,6.74,1.5,0.7,0.3,0.1,1.5,1.0,0.2,0,1.4,0.9,1.6,0.8,0.4,0.7,2.1,15.5,0.5,0.5,0.1,3.01,-2.01,0.22,26.0,0.12,LB, LM, RM,,
Raheem Sterling,Chelsea,29,"CM, LM, RM, FW",23(5),1905,6,3,4,0,1.5,78.9,0.2,2,6.74,0.6,0.1,0.8,0.0,0.1,0.2,0.0,0,1.5,1.2,1.4,1.1,0.4,1.8,1.6,22.5,0.4,0.2,0.1,7.8,-1.8,0.37,42.0,0.19,CM, LM, RM, FW,
Diogo Jota,Liverpool,27,"CAM, LAM, RAM, FW",12(10),1133,7,4,2,0,1.6,75.9,0.8,1,6.74,1.0,0.1,0.9,0.0,0.4,1.1,0.0,0,1.6,0.8,0.6,0.7,0.1,0.9,1.5,17.0,0.1,0.1,0.0,6.97,0.03,0.55,35.0,0.2,CAM, LAM, RAM, FW,
Jason Steele,Brighton,33,GK,15,1350,0,1,1,0,0.0,88.0,0.1,0,6.73,0.0,0.0,0.1,0.0,0.6,0.1,0.0,1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,32.7,0.0,3.9,0.1,,,,,,GK,,,,
Sam Johnstone,Crystal Palace,31,GK,9,810,0,0,1,0,0.0,69.7,0.3,1,6.73,0.0,0.0,0.1,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,26.4,0.0,4.4,0.0,,,,,,GK,,,,
Tyler Adams,Leeds,25,"RB, CM, RM",24,2157,0,0,4,1,0.2,82.4,1.1,0,6.73,3.7,1.5,1.5,0.0,1.0,1.2,0.3,0,0.2,1.0,0.3,0.9,0.0,0.8,1.2,55.3,0.0,1.7,0.0,0.09,-0.09,0.0,4.0,0.02,RB, CM, RM,,
James Justin,Leicester,26,"CB, LB, RB, LM, RM",14,1254,0,0,0,0,0.4,81.5,1.6,0,6.73,1.4,1.1,0.6,0.5,2.6,0.6,0.4,0,0.4,0.5,0.3,2.1,0.1,0.4,1.1,48.7,0.5,1.9,0.0,0.18,-0.18,0.01,5.0,0.04,CB, LB, RB, LM, RM
Andreas Pereira,Fulham,28,"CM, LM, RM",33,2718,4,6,8,0,1.9,73.7,0.3,3,6.73,0.5,0.2,1.2,0.0,0.2,0.8,0.1,0,1.9,1.8,0.5,0.9,0.1,1.5,1.5,25.9,2.0,1.6,0.0,6.18,-2.18,0.2,62.0,0.1,CM, LM, RM,,
Jack Harrison,Leeds,27,"CAM, LAM, RAM, FW",34(2),2729,5,7,2,0,1.1,71.0,0.1,4,6.72,1.1,0.6,1.1,0.0,0.6,1.1,0.1,0,1.1,1.5,1.3,1.0,0.1,1.7,2.6,25.9,1.3,0.7,0.1,4.48,0.52,0.15,39.0,0.11,CAM, LAM, RAM, FW,
Cheick Doucouré,Crystal Palace,24,CDM,34,2786,0,3,9,1,1.1,83.6,0.9,0,6.72,2.3,1.6,1.1,0.0,1.4,0.7,0.4,0,1.1,0.8,0.4,0.4,0.0,0.6,0.8,36.4,0.1,1.4,0.1,1.38,-1.38,0.04,36.0,0.04,CDM,,,,
Timothy Castagne,Leicester,28,"CB, LB, RB, LM, RM",36(1),3257,2,3,3,0,0.5,80.7,1.5,1,6.71,2.4,1.2,0.7,0.2,2.5,1.2,0.4,0,0.5,0.6,0.3,0.4,0.2,0.5,0.9,40.6,0.4,1.1,0.0,1.92,0.08,0.05,19.0,0.1,CB, LB, RB, LM, RM
Armel Bella-Kotchap,Southampton,22,CB,24,1885,0,2,4,0,0.6,80.3,1.7,0,6.71,1.5,1.8,0.4,0.3,4.5,0.2,0.5,0,0.6,0.3,0.2,1.4,0.0,0.3,0.4,38.6,0.0,2.0,0.0,1.35,-1.35,0.06,14.0,0.1,CB,,,,
Kiernan Dewsbury-Hall,Leicester,25,CM,28(3),2316,2,2,3,1,0.8,78.5,0.5,1,6.71,1.7,0.9,1.2,0.0,0.7,0.9,0.4,0,0.8,1.3,1.4,1.1,0.0,1.0,2.4,35.3,0.3,1.8,0.1,2.76,-0.76,0.11,26.0,0.11,CM,,,,
Álex Moreno,Aston Villa,30,"LB, LM",14(5),1336,0,3,3,0,0.7,79.4,0.5,0,6.71,1.2,0.4,0.9,0.3,1.6,1.2,0.2,0,0.7,1.2,1.2,0.6,0.0,0.8,2.0,30.5,0.8,0.5,0.1,0.62,-0.62,0.04,13.0,0.05,LB, LM,,,
Shea Charles,Manchester City,20,CDM,0(1),27,0,0,0,0,0.0,91.7,2.0,0,6.71,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,1.0,0.0,,,,,,CDM,,,,
Fabinho,Liverpool,30,"CB, RB, CDM",31(5),2678,0,2,11,0,0.5,88.7,0.8,0,6.71,1.8,1.0,1.5,0.1,1.1,1.1,0.3,0,0.5,0.5,0.2,0.7,0.0,0.3,0.5,50.4,0.0,2.0,0.1,0.76,-0.76,0.03,18.0,0.04,CB, RB, CDM,,
Danilo,Nottingham Forest,23,CM,12(1),983,3,2,1,0,1.2,64.3,0.3,1,6.71,1.4,0.7,0.3,0.2,1.4,1.5,0.5,0,1.2,0.7,1.1,0.2,0.2,0.6,1.5,17.5,0.0,1.1,0.0,1.61,1.39,0.15,15.0,0.11,CM,,,,
Matt Doherty,Tottenham,32,"LB, RB, LM, RM",7(5),667,1,0,0,0,0.8,82.4,1.7,0,6.71,1.3,0.7,0.9,0.0,1.1,0.3,0.5,0,0.8,0.5,0.5,0.3,0.0,0.3,1.0,27.4,0.4,0.8,0.0,0.78,0.22,0.1,10.0,0.08,LB, RB, LM, RM,
Amadou Onana,Everton,22,CDM,29(4),2496,1,2,9,0,1.0,84.0,1.8,0,6.71,2.2,1.1,1.3,0.0,1.1,0.4,0.2,0,1.0,0.7,0.5,1.5,0.1,0.5,1.5,29.4,0.0,1.2,0.1,3.33,-2.33,0.12,34.0,0.1,CDM,,,,
Victor Lindelöf,Manchester United,29,"CB, LB, RB",14(6),1361,0,0,1,0,0.2,93.2,1.7,0,6.7,1.1,1.1,0.5,0.4,3.2,0.4,0.5,0,0.2,0.2,0.1,0.2,0.0,0.1,0.1,46.4,0.0,1.3,0.0,0.18,-0.18,0.01,3.0,0.06,CB, LB, RB,,
Julián Álvarez,Manchester City,24,"CAM, RAM, FW",13(18),1454,9,0,0,0,1.5,82.7,0.3,2,6.7,0.8,0.1,0.7,0.0,0.2,0.7,0.0,0,1.5,0.6,0.7,0.5,0.1,0.8,0.9,15.1,0.1,0.6,0.1,7.31,1.69,0.45,47.0,0.16,CAM, RAM, FW,,
Nick Pope,Newcastle,32,GK,37,3262,0,0,3,1,0.0,58.8,0.1,2,6.7,0.0,0.0,0.0,0.0,1.2,0.1,0.0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,17.8,0.0,3.8,0.0,,,,,,GK,,,,
Saïd Benrahma,West Ham,28,"CAM, LAM, RAM",22(13),2073,6,3,0,0,2.1,82.0,0.1,1,6.7,0.7,0.3,0.5,0.0,0.3,0.5,0.0,0,2.1,1.4,1.5,0.4,0.2,1.2,1.5,20.0,0.4,0.4,0.1,6.75,-0.75,0.29,73.0,0.09,CAM, LAM, RAM,,
Emiliano Buendía,Aston Villa,27,"CM, LM, RM, FW",27(11),2423,5,2,0,0,1.3,78.6,0.6,2,6.7,1.3,0.5,1.1,0.0,0.3,1.5,0.1,0,1.3,1.1,0.7,1.2,0.0,1.5,1.7,26.1,0.0,1.2,0.2,5.81,-0.81,0.22,49.0,0.12,CM, LM, RM, FW,
Mason Mount,Chelsea,25,"CM, LM, RM",20(4),1658,3,2,4,0,1.4,80.1,0.4,2,6.7,1.4,0.3,1.2,0.0,0.3,0.5,0.3,0,1.4,1.3,0.6,1.1,0.0,1.2,1.5,29.4,0.6,1.0,0.1,2.4,0.6,0.13,33.0,0.07,CM, LM, RM,,
Christian Eriksen,Manchester United,32,"CM, LM, RM, FW",25(3),2062,1,8,3,0,1.4,84.6,0.3,1,6.7,0.8,0.4,0.5,0.0,0.7,0.8,0.3,0,1.4,1.3,0.3,0.4,0.1,0.7,0.9,49.7,0.7,2.3,0.1,4.78,-3.78,0.21,39.0,0.12,CM, LM, RM, FW,
Aymeric Laporte,Manchester City,29,"CB, LB",11(1),994,0,0,0,0,0.8,93.1,2.0,0,6.69,0.9,0.3,0.4,0.6,2.5,0.3,0.3,0,0.8,0.4,0.2,0.6,0.1,0.0,0.3,78.9,0.0,2.2,0.0,0.63,-0.63,0.06,10.0,0.06,CB, LB,,,
Jordan Pickford,Everton,30,GK,37,3330,0,1,6,0,0.0,51.8,0.2,2,6.69,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,31.2,0.0,7.9,0.0,,,,,,GK,,,,
Joe Gomez,Liverpool,26,"CB, LB, RB",15(6),1461,0,0,3,0,0.3,86.6,2.2,0,6.69,1.3,1.1,0.6,0.3,2.2,0.4,0.5,0,0.3,0.0,0.3,0.2,0.0,0.2,0.6,62.9,0.0,3.5,0.1,0.16,-0.16,0.01,6.0,0.03,CB, LB, RB,,
Kurt Zouma,West Ham,29,"CB, RB",24(1),1991,2,0,0,0,0.8,84.5,2.2,2,6.68,0.4,1.2,0.6,0.3,4.7,0.1,0.6,0,0.8,0.0,0.1,0.3,0.0,0.1,0.2,33.0,0.0,2.0,0.0,2.07,-0.07,0.09,19.0,0.11,CB, RB,,,
Marc Guéhi,Crystal Palace,23,CB,37,3330,1,0,8,0,0.4,85.5,1.5,0,6.68,1.4,1.2,0.6,0.6,3.6,0.4,0.6,1,0.4,0.3,0.4,1.1,0.0,0.2,0.5,59.5,0.0,4.1,0.1,1.59,-0.59,0.04,14.0,0.11,CB,,,,
