Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Yellow,Red,Clearances_Total,ShotsBlocked,CrossesBlocked,PassesBlocked,Saves_Total,Saves_SixYardBox,Saves_PenaltyArea,Saves_OutOfBox,Shots_Total,Shots_OutOfBox,Shots_SixYardBox,Shots_PenaltyArea,Goals_Total,Goals_SixYardBox,Goals_PenaltyArea,Goals_OutOfBox,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Aerial_Total,Won,Lost,Passes_Total,AccLB,InAccLB,AccSP,InAccSP,Key passes_Total,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Assists_Total
Crystal Palace,38,11,12,15,40,49,-9,45,40,79,3,45.8,79.3,13.1,6.61,12,18.2,9.4,11.7,1.5,3.6,9.7,12.6,41.68,38,-3.68,426,0.1,18.2,6.6,24.8,12.6,2.1,0.1,20.7,3.1,1.1,9.1,3,0.1,1.9,1,11.2,4.1,0.8,6.3,1.1,0.2,0.7,0.1,11,9.7,20.6,16.9,12,28.3,13.1,15.2,413.3,22.9,33.6,304.8,52.1,8.3,1.7,6.7,0.2,0.1,0.1,0,0,0.4,0.8
Chelsea,38,11,11,16,38,47,-9,44,38,77,3,58.8,85.8,13.1,6.62,11.5,19.5,9,10.4,1.9,4.2,10,12.2,52.66,37,-15.66,484,0.11,19.5,8.5,28,12.2,2,0.1,16.5,2.8,1.4,9.4,3,0.2,1.8,1,12.7,4.2,1,7.5,1,0.1,0.7,0.2,12.1,10,22.1,14.9,10,25.1,13.1,12,556.6,23.8,22.1,453.9,56.8,9.9,1.7,8.3,0.2,0.1,0.1,0,0,0.3,0.7
Wolves,38,11,8,19,31,58,-27,41,31,84,6,50.1,81.3,12.3,6.51,14.6,17.4,7.3,12.2,1.6,3.3,10.1,10.2,35.73,28,-7.73,412,0.09,17.4,8.7,26.1,10.2,2.2,0.2,20.5,4.6,1.2,8.5,3.1,0.2,1.8,1.1,10.8,4.1,0.6,6.2,0.8,0.1,0.6,0.1,10.4,10.1,20.6,13.6,8.6,26.6,12.3,14.3,439.8,26.1,30.6,331.6,51.6,7.8,1.4,6.4,0.1,0,0,0,0,0.2,0.3
West Ham,38,11,7,20,42,55,-13,40,42,44,0,41.4,78.2,16.4,6.60,13.1,16,10.7,9.5,1.6,3.8,6.6,8.3,50.7,41,-9.7,474,0.11,16,7.7,23.7,8.3,1.2,0,20.5,3.7,1.2,7.3,3.1,0.3,1.4,1.3,12.5,4.5,1.2,6.8,1.1,0.4,0.4,0.2,9.6,6.6,16.2,12.1,9.4,31.9,16.4,15.5,385.2,24.3,28.3,276.9,55.6,8.9,1.8,7.1,0.1,0.1,0.1,0,0,0.5,0.7
Bournemouth,38,11,6,21,37,71,-34,39,37,69,0,40.0,77.5,13.8,6.53,16.5,16.3,9.3,10.3,1,3.5,8.7,9.6,38.95,37,-1.95,358,0.11,16.3,9.4,25.7,9.6,1.8,0,25.6,4.5,1.9,8.7,3.6,0.3,2.1,1.2,9.4,2.6,0.8,5.9,1,0.2,0.7,0.1,10.9,8.7,19.6,15.5,9.7,28.1,13.8,14.3,366.8,21.2,29.7,263.2,52.7,6.9,0.9,5.9,0.2,0,0,0,0,0.4,0.6
Nottingham Forest,38,9,11,18,38,68,-30,38,38,84,0,37.2,72.3,14.8,6.49,14.7,17.3,9.2,11.7,1.8,3.1,6.9,10.3,39.9,36,-3.9,368,0.11,17.3,7.8,25.1,10.3,2.2,0,23.5,4.1,1.9,9.1,3,0.2,2,0.8,9.7,3.4,0.7,5.6,1,0.2,0.7,0.1,8.3,6.9,15.2,14.1,7.2,30.7,14.8,15.8,318.5,20.3,34.8,210,53.4,6.5,0.9,5.6,0.1,0,0,0,0,0.5,0.6
Everton,38,8,12,18,34,57,-23,36,34,79,2,42.5,77.0,15.3,6.62,15.2,18.6,10.3,10.4,1.7,4,8.1,10.1,48.58,32,-16.58,429,0.11,18.6,8.2,26.8,10.1,2.1,0.1,21.8,4.7,1.7,8.7,3.4,0.2,2.3,0.9,11.3,3.9,1.2,6.2,0.9,0.2,0.5,0.2,9.6,8.1,17.7,15.9,7.9,31.5,15.3,16.2,372.4,24,36,262.8,49.6,8.1,2,6.1,0.1,0.1,0.1,0,0,0.4,0.6
Leicester,38,9,7,22,51,68,-17,34,51,59,2,47.7,80.3,13.5,6.57,15.1,18.4,9.7,10.8,2.2,4,7.7,10.4,49.58,49,-0.58,418,0.12,18.4,9.7,28.1,10.4,1.6,0.1,19,4.5,1.6,9.1,3,0.2,1.8,1,11,4,0.7,6.3,1.3,0.2,0.8,0.3,8.7,7.7,16.4,14.4,8.2,28.2,13.5,14.7,457,20,29.2,346.9,60.9,8.4,1.2,7.2,0.2,0,0.1,0,0,0.7,0.9
Leeds,38,7,10,21,48,78,-30,31,48,84,3,46.3,74.9,15.5,6.50,13.9,22.1,10.3,12.3,1.6,3.8,7.1,10.7,47.88,45,-2.88,462,0.1,22.1,12,34.1,10.7,2.2,0.1,18.7,3.4,1.4,10.7,2.8,0.2,1.8,0.8,12.2,3.9,1.2,7,1.3,0.3,0.7,0.2,11.1,7.1,18.1,15.8,11.1,31.5,15.5,16,398.9,17.8,33.4,280.9,66.8,8.9,1.6,7.3,0.3,0.1,0.1,0,0,0.4,0.8
Southampton,38,6,7,25,36,73,-37,25,36,73,0,44.1,77.3,14.6,6.50,13.8,18.8,11.3,11.3,1.5,3.7,9.5,9.9,38.44,36,-2.44,417,0.09,18.8,8.3,27.1,9.9,1.9,0,21.7,4.3,1.1,9.9,2.2,0.2,1.5,0.5,11,4.3,0.8,5.9,0.9,0.1,0.6,0.2,10.5,9.5,20,14.9,10.5,30.8,14.6,16.2,389.4,21.1,34.1,280.1,54.1,7.9,1.4,6.5,0.1,0.1,0.2,0,0,0.4,0.7
