player_name,team_name,UnsuccessfulTouches,Dispossessed
Jeffrey Gouweleeuw,Augsburg,0.8,0.2
Yannick Gerhardt,Wolfsburg,0.8,0.3
Silas Katompa Mvumpa,VfB Stuttgart,2.3,1.5
Jirí Pavlenka,Werder Bremen,0,0
Dennis Geiger,Hoffenheim,0.8,0.3
Djibril Sow,Eintracht Frankfurt,0.8,0.5
Aïssa Laïdouni,Union Berlin,1.6,0.6
Gil Dias,VfB Stuttgart,2.4,1.6
Edimilson Fernandes,Mainz 05,0.5,0.4
Atakan Karazor,VfB Stuttgart,0.7,0.6
Youssoufa Moukoko,Borussia Dortmund,1.2,0.8
Christopher Antwi-Adjei,Bochum,3.1,1.1
Sebastiaan Bornauw,Wolfsburg,0.2,0.1
Stevan Jovetic,Hertha Berlin,1.2,0.5
Philipp Förster,Bochum,0.9,0.6
Alassane Pléa,Borussia M.Gladbach,1.3,0.8
Steffen Tigges,FC Koln,1.1,0.7
Sven Ulreich,Bayern Munich,0,0
Niklas Stark,Werder Bremen,0.4,0.1
Alexander Meyer,Borussia Dortmund,0,0
Jonathan Tah,Bayer Leverkusen,0.2,0.3
Diogo Leite,Union Berlin,0.7,0.4
Grischa Prömel,Hoffenheim,1.3,0.7
Giovanni Reyna,Borussia Dortmund,0.6,0.7
Chidera Ejuke,Hertha Berlin,1.6,1
Amos Pieper,Werder Bremen,0.3,0.3
Timo Baumgartl,Union Berlin,0.4,0
Julian Weigl,Borussia M.Gladbach,0.1,0.1
Rubén Vargas,Augsburg,1.3,0.4
Dion Beljo,Augsburg,1.8,1.3
Keven Schlotterbeck,Bochum,0.3,0.2
Robert Skov,Hoffenheim,0.9,0.5
Almamy Touré,Eintracht Frankfurt,0.6,0
Waldemar Anton,VfB Stuttgart,0.7,0.5
Anthony Jung,Werder Bremen,0.9,0.5
Jordan Siebatcheu,Union Berlin,1.4,0.8
Jonjoe Kenny,Hertha Berlin,0.9,0.3
Dejan Ljubicic,FC Koln,1.4,0.6
Dan-Axel Zagadou,VfB Stuttgart,0.3,0.2
Danilo Soares,Bochum,0.7,0.6
Mahmoud Dahoud,Borussia Dortmund,0.7,0.4
Erhan Masovic,Bochum,0.3,0.1
Levin Öztunali,Union Berlin,0,0
Felix Passlack,Borussia Dortmund,0.3,0.3
Péter Gulácsi,RB Leipzig,0,0
Mu'nas Dabbur,Hoffenheim,1.3,1
Felix Uduokhai,Augsburg,0.5,0.3
Lukás Hrádecky,Bayer Leverkusen,0.1,0
Emil Forsberg,RB Leipzig,0.9,0.4
Cédric Brunner,Schalke 04,0.5,0.5
Konstantinos Stafylidis,Bochum,0.6,0.2
Sebastian Rode,Eintracht Frankfurt,0.4,0.2
Tanguy Coulibaly,VfB Stuttgart,0.5,0.6
Tobias Sippel,Borussia M.Gladbach,0,0
Silvan Widmer,Mainz 05,0.8,0.5
Thomas Meunier,Borussia Dortmund,0.8,0.5
Omar Marmoush,Wolfsburg,2.3,1.3
Ansgar Knauff,Eintracht Frankfurt,1.3,0.4
Christian Groß,Werder Bremen,0.7,0.3
Milos Veljkovic,Werder Bremen,0.1,0
Kristijan Jakic,Eintracht Frankfurt,0.5,0.3
Paul Jaeckel,Union Berlin,0.4,0.1
Lukas Klostermann,RB Leipzig,0.2,0.3
