player_name,team_name,Fouled,Fouls
Konstantinos Mavropanos,VfB Stuttgart,0.8,0.9
Paulo Otávio,Wolfsburg,1.6,1
Marvin Ducksch,Werder Bremen,0.5,0.1
Patrick Wimmer,Wolfsburg,1.2,1.6
Jonas Hector,FC Koln,2.4,0.7
Danilho Doekhi,Union Berlin,0.6,0.8
Mats Hummels,Borussia Dortmund,0.6,0.6
Wataru Endo,VfB Stuttgart,1.7,1.2
Ørjan Nyland,RB Leipzig,0,0
Ludovic Ajorque,Mainz 05,1.1,1.4
Ramy Bensebaïni,Borussia M.Gladbach,1.6,0.9
Matthias Ginter,Freiburg,0.8,0.7
Ralf Fährmann,Schalke 04,0.1,0
Diant Ramaj,Eintracht Frankfurt,0,0
Mitchell Weiser,Werder Bremen,1.9,1.2
Matthijs de Ligt,Bayern Munich,0.5,0.6
Dani Olmo,RB Leipzig,1.7,0.7
Christoph Baumgartner,Hoffenheim,1.5,2
Sheraldo Becker,Union Berlin,0.8,0.9
Michael Zetterer,Werder Bremen,0,0
Rodrigo Zalazar,Schalke 04,1.6,1
Ritsu Doan,Freiburg,1.6,0.9
Finn Dahmen,Mainz 05,0,0
Timo Hübers,FC Koln,0.8,1.1
Leon Goretzka,Bayern Munich,0.7,0.9
Julian Ryerson,Union Berlin,0.9,1.2
Emre Can,Borussia Dortmund,1,1.1
Lucas Tousart,Hertha Berlin,1.3,1.1
Andreas Hanche-Olsen,Mainz 05,0.5,1.3
Robin Knoche,Union Berlin,0.7,0.4
Sasa Kalajdzic,VfB Stuttgart,0.3,2
Marc Oliver Kempf,Hertha Berlin,0.8,0.9
Noussair Mazraoui,Bayern Munich,0.6,0.8
Konrad Laimer,RB Leipzig,1,1.4
Felix Nmecha,Wolfsburg,1.3,1
Karim Adeyemi,Borussia Dortmund,1.3,0.9
Sadio Mané,Bayern Munich,1,0.6
Anton Stach,Mainz 05,1.3,0.9
Dodi Lukébakio,Hertha Berlin,1.8,1
Robert Andrich,Bayer Leverkusen,0.7,1.2
Lucas Höler,Freiburg,1.4,0.8
Kevin Stöger,Bochum,1.7,1.3
Kevin Behrens,Union Berlin,0.8,1.1
Jan Olschowsky,Borussia M.Gladbach,0,0
Georginio Rutter,Hoffenheim,1.3,1.1
Ihlas Bebou,Hoffenheim,0.5,1.2
Manuel Neuer,Bayern Munich,0.1,0
Karim Onisiwo,Mainz 05,1.1,1.6
Soichiro Kozuki,Schalke 04,1,1.4
Timo Werner,RB Leipzig,0.5,0.3
Exequiel Palacios,Bayer Leverkusen,1.6,0.9
Marius Wolf,Borussia Dortmund,0.9,0.5
Aurélio Buta,Eintracht Frankfurt,0.9,1.7
Manu Koné,Borussia M.Gladbach,2.5,1.7
Philipp Lienhart,Freiburg,1.1,0.6
Lukas Kübler,Freiburg,0.7,0.8
Lars Stindl,Borussia M.Gladbach,1.3,1
Daichi Kamada,Eintracht Frankfurt,0.8,1.3
Rafal Gikiewicz,Augsburg,0.2,0
Tomás Koubek,Augsburg,0.1,0
Mark Flekken,Freiburg,0.1,0
Niklas Süle,Borussia Dortmund,0.2,0.3
Julian Ryerson,Borussia Dortmund,1.1,0.9
Nicolas Höfler,Freiburg,1.6,2.1
Gregor Kobel,Borussia Dortmund,0.1,0
Florian Niederlechner,Augsburg,0.9,0.9
Josip Juranovic,Union Berlin,0.3,0.2
Lee Jae-Sung,Mainz 05,0.7,0.5
Koen Casteels,Wolfsburg,0.1,0
Christopher Trimmel,Union Berlin,0.3,0.7
Serhou Guirassy,VfB Stuttgart,2,0.8
Benjamin Henrichs,RB Leipzig,0.9,1.2
Ermedin Demirovic,Augsburg,1,1.6
Stefan Bell,Mainz 05,0.4,1.6
Abdou Diallo,RB Leipzig,0.3,0.4
