player_name,team_name,Total_Clearances
Hrvoje Smolcic,Eintracht Frankfurt,4
Ridle Baku,Wolfsburg,1.6
Moritz Jenz,Schalke 04,4.5
Angeliño,Hoffenheim,1.6
Marcin Kaminski,Schalke 04,3.5
Marius Bülter,Schalke 04,0.5
Tuta,Eintracht Frankfurt,4.1
Ivan Ordets,Bochum,4.5
Junior Dina Ebimbe,Eintracht Frankfurt,1
Dayot Upamecano,Bayern Munich,2.4
Luca Pellegrini,Eintracht Frankfurt,1.2
John Anthony Brooks,Hoffenheim,6.9
Jakub Kaminski,Wolfsburg,0.4
Marco Richter,Hertha Berlin,0.6
Kevin Akpoguma,Hoffenheim,2.2
Oliver Baumann,Hoffenheim,0.9
Jonas Omlin,Borussia M.Gladbach,0.9
Anthony Losilla,Bochum,2.1
Xaver Schlager,RB Leipzig,1
Kerem Demirbay,Bayer Leverkusen,0.4
Hiroki Ito,VfB Stuttgart,2.8
Anthony Caci,Mainz 05,1.2
Amine Adli,Bayer Leverkusen,0.2
Mërgim Berisha,Augsburg,0.8
Marco Reus,Borussia Dortmund,0.3
Nico Elvedi,Borussia M.Gladbach,4.5
Eric Martel,FC Koln,1.5
Davie Selke,FC Koln,0.6
Ozan Kabak,Hoffenheim,2.7
Maximilian Eggestein,Freiburg,0.8
Philipp Max,Eintracht Frankfurt,1.1
Jonas Wind,Wolfsburg,0.4
Jamie Bynoe-Gittens,Borussia Dortmund,0.1
Evan Ndicka,Eintracht Frankfurt,4.8
Josko Gvardiol,RB Leipzig,2.3
Marco Friedl,Werder Bremen,4.1
André Hahn,Augsburg,1.4
Piero Hincapié,Bayer Leverkusen,2.5
Jesper Lindstrøm,Eintracht Frankfurt,0.2
Patrik Schick,Bayer Leverkusen,0.5
Aarón Martín,Mainz 05,1
Tom Krauß,Schalke 04,1.1
Micky van de Ven,Wolfsburg,3.1
Suat Serdar,Hertha Berlin,0.7
Maxence Lacroix,Wolfsburg,3.4
Christopher Lenz,Eintracht Frankfurt,1.3
Rani Khedira,Union Berlin,0.9
Mario Götze,Eintracht Frankfurt,0.3
Robin Zentner,Mainz 05,1
Marcel Sabitzer,Bayern Munich,0.6
Chris Führich,VfB Stuttgart,0.3
Christian Günter,Freiburg,1
Andrej Kramaric,Hoffenheim,0.3
Mohamed Simakan,RB Leipzig,2.1
Maximilian Mittelstädt,Hertha Berlin,1.2
Roland Sallai,Freiburg,0.6
Malick Thiaw,Schalke 04,8
Clinton Mola,VfB Stuttgart,1
Leonardo Bittencourt,Werder Bremen,0.5
Lucas Hernández,Bayern Munich,0.9
Janik Haberer,Union Berlin,0.8
Edmond Tapsoba,Bayer Leverkusen,3
David Raum,RB Leipzig,0.8
Maya Yoshida,Schalke 04,4.4
Mattias Svanberg,Wolfsburg,0.7
André Silva,RB Leipzig,0.1
Manuel Riemann,Bochum,1.1
Janis Blaswich,RB Leipzig,1.1
Niklas Schmidt,Werder Bremen,0.4
Dominik Kohr,Mainz 05,0.8
Jeffrey Gouweleeuw,Augsburg,4.3
Yannick Gerhardt,Wolfsburg,0.8
Silas Katompa Mvumpa,VfB Stuttgart,0
Jirí Pavlenka,Werder Bremen,1.1
Dennis Geiger,Hoffenheim,0.6
Djibril Sow,Eintracht Frankfurt,0.7
Aïssa Laïdouni,Union Berlin,0.1
Gil Dias,VfB Stuttgart,0.3
Edimilson Fernandes,Mainz 05,2.6
Atakan Karazor,VfB Stuttgart,1.5
Youssoufa Moukoko,Borussia Dortmund,0
Christopher Antwi-Adjei,Bochum,0.3
Sebastiaan Bornauw,Wolfsburg,3.2
Stevan Jovetic,Hertha Berlin,0.5
Philipp Förster,Bochum,0.2
Alassane Pléa,Borussia M.Gladbach,0.5
Steffen Tigges,FC Koln,0.6
Sven Ulreich,Bayern Munich,0.3
Niklas Stark,Werder Bremen,4
Alexander Meyer,Borussia Dortmund,0.4
Jonathan Tah,Bayer Leverkusen,3.5
Diogo Leite,Union Berlin,3.5
Grischa Prömel,Hoffenheim,1.2
Giovanni Reyna,Borussia Dortmund,0.2
Chidera Ejuke,Hertha Berlin,0.1
Amos Pieper,Werder Bremen,3
Timo Baumgartl,Union Berlin,1.6
Julian Weigl,Borussia M.Gladbach,1.3
Rubén Vargas,Augsburg,0.7
Dion Beljo,Augsburg,0.8
Keven Schlotterbeck,Bochum,3.8
Robert Skov,Hoffenheim,0.8
Almamy Touré,Eintracht Frankfurt,1.1
Waldemar Anton,VfB Stuttgart,3.6
Anthony Jung,Werder Bremen,1.7
Jordan Siebatcheu,Union Berlin,0.5
Jonjoe Kenny,Hertha Berlin,2.1
Dejan Ljubicic,FC Koln,0.2
Dan-Axel Zagadou,VfB Stuttgart,4.6
Danilo Soares,Bochum,2.3
Mahmoud Dahoud,Borussia Dortmund,0.3
Erhan Masovic,Bochum,2.7
Levin Öztunali,Union Berlin,0
Felix Passlack,Borussia Dortmund,0.3
Péter Gulácsi,RB Leipzig,0.3
Mu'nas Dabbur,Hoffenheim,0
Felix Uduokhai,Augsburg,3.2
Lukás Hrádecky,Bayer Leverkusen,0.4
Emil Forsberg,RB Leipzig,0.2
Cédric Brunner,Schalke 04,2.6
Konstantinos Stafylidis,Bochum,1.4
Sebastian Rode,Eintracht Frankfurt,0.4
Tanguy Coulibaly,VfB Stuttgart,0
Tobias Sippel,Borussia M.Gladbach,1
Silvan Widmer,Mainz 05,0.9
Thomas Meunier,Borussia Dortmund,1.5
Omar Marmoush,Wolfsburg,0.1
Ansgar Knauff,Eintracht Frankfurt,1
Christian Groß,Werder Bremen,1.4
Milos Veljkovic,Werder Bremen,3.4
Kristijan Jakic,Eintracht Frankfurt,1.9
Paul Jaeckel,Union Berlin,2.6
Lukas Klostermann,RB Leipzig,1.9
Marcel Halstenberg,RB Leipzig,0.8
Niko Gießelmann,Union Berlin,0.9
Adam Hlozek,Bayer Leverkusen,0.3
Odilon Kossounou,Bayer Leverkusen,2.3
Lennart Grill,Union Berlin,0.8
Kenneth Schmidt,Freiburg,0.4
Tiago Tomás,VfB Stuttgart,0.2
Arijon Ibrahimovic,Bayern Munich,0
Simon Terodde,Schalke 04,0.3
Salih Özcan,Borussia Dortmund,0.7
Christoph Kramer,Borussia M.Gladbach,1.3
Linton Maina,FC Koln,0.3
Josuha Guilavogui,Wolfsburg,2.3
Jérôme Roussillon,Union Berlin,1.1
Jens Stage,Werder Bremen,1
Lukas Nmecha,Wolfsburg,0.2
Bartol Franjic,Wolfsburg,0.8
Jonathan Burkardt,Mainz 05,0.1
Arne Engels,Augsburg,0.6
Jan Thielmann,FC Koln,0.2
Joe Scally,Borussia M.Gladbach,1.9
Naouirou Ahamada,VfB Stuttgart,0.4
Maxim Leitsch,Mainz 05,2.9
Tim Skarke,Schalke 04,0.4
Dominique Heintz,Bochum,3
Amadou Haidara,RB Leipzig,0.6
Pavel Kaderábek,Hoffenheim,1.3
Benno Schmitz,FC Koln,1.8
Arne Maier,Augsburg,0.6
Kelvin Yeboah,Augsburg,0.2
Marvin Plattenhardt,Hertha Berlin,2.1
Genki Haraguchi,VfB Stuttgart,0.5
Ibrahim Maza,Hertha Berlin,0.5
Josha Vagnoman,VfB Stuttgart,1
Florian Neuhaus,Borussia M.Gladbach,0.2
Anthony Modeste,Borussia Dortmund,1.1
Sardar Azmoun,Bayer Leverkusen,0.6
Kevin Trapp,Eintracht Frankfurt,0.6
Kiliann Sildillia,Freiburg,1.6
Kevin Vogt,Hoffenheim,3
Michael Frey,Schalke 04,0.1
Henning Matriciani,Schalke 04,2.2
Florian Niederlechner,Hertha Berlin,0.6
Wilfried Kanga,Hertha Berlin,0.5
Enzo Millot,VfB Stuttgart,0.3
Takuma Asano,Bochum,0.3
Iago,Augsburg,2.2
Pascal Klemens,Hertha Berlin,3
Nadiem Amiri,Bayer Leverkusen,0.2
Callum Hudson-Odoi,Bayer Leverkusen,0.3
Jere Uronen,Schalke 04,1.1
Carlos Gruezo,Augsburg,1
Marcus Ingvartsen,Mainz 05,0.4
Charles Aránguiz,Bayer Leverkusen,0.4
Genki Haraguchi,Union Berlin,0.8
Yussuf Poulsen,RB Leipzig,0.3
Mads Pedersen,Augsburg,1.2
Dominick Drexler,Schalke 04,0.4
Alexander Hack,Mainz 05,2.2
Paul Seguin,Union Berlin,0.4
Tobias Mohr,Schalke 04,0.9
Éder Balanta,Schalke 04,0.5
Kevin Kampl,RB Leipzig,0.4
Nikola Soldo,FC Koln,3.9
Elvis Rexhbeçaj,Augsburg,1
Filip Uremovic,Hertha Berlin,3.9
Oliver Christensen,Hertha Berlin,0.8
Danny da Costa,Mainz 05,0.9
Marvin Friedrich,Borussia M.Gladbach,2.2
Makoto Hasebe,Eintracht Frankfurt,2.5
Kristian Pedersen,FC Koln,2.7
Mitchel Bakker,Bayer Leverkusen,0.6
Hugo Novoa,RB Leipzig,0
András Schäfer,Union Berlin,0.6
Stanley Nsoki,Hoffenheim,1.7
Kevin Paredes,Wolfsburg,0.4
Alex Král,Schalke 04,1.8
Angelo Stiller,Hoffenheim,0.6
Robert Gumny,Augsburg,2
Nikolas Nartey,VfB Stuttgart,0.9
Yann Sommer,Bayern Munich,0.6
Romano Schmid,Werder Bremen,0.4
Manuel Gulde,Freiburg,1.6
Florian Flick,Schalke 04,2.3
Niklas Dorsch,Augsburg,0.8
Pascal Stenzel,VfB Stuttgart,0.5
Mathys Tel,Bayern Munich,0.1
Luca Netz,Borussia M.Gladbach,1.2
Alexander Schwolow,Schalke 04,0.4
Sebastian Polter,Schalke 04,0.3
Tolga Cigerci,Hertha Berlin,0.5
Josip Stanisic,Bayern Munich,0.7
Cristian Gamboa,Bochum,1.6
Kilian Fischer,Wolfsburg,1.5
Sepp van den Berg,Schalke 04,3.6
Daley Sinkgraven,Bayer Leverkusen,0.4
Sebastian Rudy,Hoffenheim,0.5
Kevin Schade,Freiburg,0.3
Josip Brekalo,Wolfsburg,0.2
Gerrit Holtmann,Bochum,0.1
Kenan Karaman,Schalke 04,0.4
Marvin Schwäbe,FC Koln,0.4
Maximilian Bauer,Augsburg,2.9
Jessic Ngankam,Hertha Berlin,0.2
Fredrik Jensen,Augsburg,0.6
Reece Oxford,Augsburg,1.7
Jean-Paul Boëtius,Hertha Berlin,0.4
Ivan Sunjic,Hertha Berlin,1
Raphael Framberger,Augsburg,1.7
Noah Weißhaupt,Freiburg,0.4
Keven Schlotterbeck,Freiburg,1
Ilia Gruev,Werder Bremen,0.7
Davie Selke,Hertha Berlin,0.4
Mehmet Aydin,Schalke 04,0.9
Lee Buchanan,Werder Bremen,0.8
Florian Dietz,FC Koln,0.2
Márton Dárdai,Hertha Berlin,2.5
Thomas Ouwejan,Schalke 04,1.3
Denis Huseinbasic,FC Koln,0.2
Fabian Bredlow,VfB Stuttgart,0.7
David Colina,Augsburg,0.4
Merlin Röhl,Freiburg,0.3
Max Kruse,Wolfsburg,0.2
Ryan Gravenberch,Bayern Munich,0.4
Kingsley Schindler,FC Koln,0.8
Finn Becker,Hoffenheim,0.5
Rafael Borré,Eintracht Frankfurt,0.3
Maximilian Philipp,Werder Bremen,0.2
Daniel-Kofi Kyereh,Freiburg,0.5
Stefan Lainer,Borussia M.Gladbach,1.9
Dimitrios Limnios,FC Koln,0
Tom Rothe,Borussia Dortmund,1
Yannik Keitel,Freiburg,0.4
Paulinho,Bayer Leverkusen,0.5
Thorgan Hazard,Borussia Dortmund,0.3
Sven Michel,Union Berlin,0.2
Paul Wanner,Bayern Munich,0.5
Aymen Barkok,Mainz 05,0.3
Morten Thorsby,Union Berlin,0.8
Jordi Osei-Tutu,Bochum,0.4
Darko Churlinov,VfB Stuttgart,0
Veit Stange,Hertha Berlin,0
Paxten Aaronson,Eintracht Frankfurt,0.3
Renato Veiga,Augsburg,2
Nelson Weiper,Mainz 05,0.1
Sargis Adamyan,FC Koln,0.2
Ermin Bicakcic,Hoffenheim,1.6
Pierre Kunde,Bochum,0.8
Oliver Burke,Werder Bremen,0
Hannes Wolf,Borussia M.Gladbach,0.5
Agustín Rogel,Hertha Berlin,3.7
Lilian Egloff,VfB Stuttgart,0.1
Angelo Fulgini,Mainz 05,0.3
Daniel Caligiuri,Augsburg,0.2
Vasilios Lampropoulos,Bochum,2.7
Daley Blind,Bayern Munich,1
Luca Kilian,FC Koln,2.9
Patrick Osterhage,Bochum,1
Simon Zoller,Bochum,0.7
Nathan Ngoumou,Borussia M.Gladbach,0.2
Ondrej Duda,FC Koln,0.2
Kasper Dolberg,Hoffenheim,0.4
Keke Topp,Schalke 04,0
Jacek Góralski,Bochum,1.3
Florian Müller,VfB Stuttgart,0.7
Moritz Broschinski,Bochum,0.5
Luca Waldschmidt,Wolfsburg,0.2
Saidy Janko,Bochum,1.6
Jamie Leweling,Union Berlin,0
Jacob Bruun Larsen,Hoffenheim,0
Jeong Woo-Yeong,Freiburg,0.3
Hugo Siquet,Freiburg,0
Tom Bischof,Hoffenheim,0.1
Lucas Alario,Eintracht Frankfurt,0.6
Umut Tohumcu,Hoffenheim,0.9
Maximilian Philipp,Wolfsburg,0
Niklas Tauer,Mainz 05,1.3
Peter Pekarík,Hertha Berlin,1.4
Irvin Cardona,Augsburg,0.5
Luca Pfeiffer,VfB Stuttgart,0.3
Julian Baumgartlinger,Augsburg,0.9
Antonios Papadopoulos,Borussia Dortmund,0
Kingsley Ehizibue,FC Koln,1
Derry Scherhant,Hertha Berlin,0.5
Danny Latza,Schalke 04,0.7
Eduardo Quaresma,Hoffenheim,0.8
Diadié Samassékou,Hoffenheim,0
Thomas Delaney,Hoffenheim,0.7
Timothy Fosu-Mensah,Bayer Leverkusen,0.1
Silvere Ganvoula,Bochum,0.2
Tim Lemperle,FC Koln,0.3
Jordan Larsson,Schalke 04,0.2
Yvandro Borges Sanches,Borussia M.Gladbach,0
Nicolas Cozza,Wolfsburg,0
Milos Pantovic,Union Berlin,0.3
Faride Alidou,Eintracht Frankfurt,0.1
Juan José Perea,VfB Stuttgart,0.2
Florent Mollet,Schalke 04,0.1
Timothée Kolodziejczak,Schalke 04,1
Tony Jantschke,Borussia M.Gladbach,0.6
Leo Greiml,Schalke 04,2.3
Mathias Olesen,FC Koln,0.1
Aster Vranckx,Wolfsburg,1
Nils Petersen,Freiburg,0.2
Ricardo Pepi,Augsburg,0.3
Kevin-Prince Boateng,Hertha Berlin,0.3
Oscar Fraulo,Borussia M.Gladbach,0
Fabio Chiarodia,Werder Bremen,1
Noah Sarenren Bazee,Augsburg,0
Laurin Ulrich,VfB Stuttgart,0
Delano Burgzorg,Mainz 05,0.2
Tim Skarke,Union Berlin,0
Andrey Lunev,Bayer Leverkusen,0
Mark Uth,FC Koln,0
Marlon Mustapha,Mainz 05,0
Fisnik Asllani,Hoffenheim,0.4
Patrick Herrmann,Borussia M.Gladbach,0
Nicolai Rapp,Werder Bremen,0.1
Myziane Maolida,Hertha Berlin,0.3
Nathanaël Mbuku,Augsburg,0
Sidi Sané,Schalke 04,0
Muhammed Damar,Hoffenheim,0
Vladimír Darida,Hertha Berlin,0
Eren Dinkçi,Werder Bremen,0.1
Timothy Chandler,Eintracht Frankfurt,0.5
Dzenan Pejcinovic,Wolfsburg,0
Semir Telalovic,Borussia M.Gladbach,0
Jérôme Roussillon,Wolfsburg,0
Marco Pasalic,Borussia Dortmund,0
Kerim Çalhanoglu,Schalke 04,1
Karim Bellarabi,Bayer Leverkusen,0
Justin Diehl,FC Koln,0
Aaron Zehnter,Augsburg,0
Ayman Azhil,Bayer Leverkusen,0
Dikeni-Rafid Salifou,Werder Bremen,0
Joshua Quarshie,Hoffenheim,0
Julian Eitschberger,Hertha Berlin,0
Noah Mbamba,Bayer Leverkusen,0
Rocco Reitz,Borussia M.Gladbach,0
Sanoussy Ba,RB Leipzig,0
Lukas Petkov,Augsburg,0
Bouna Sarr,Bayern Munich,0
Brajan Gruda,Mainz 05,0
Dario Gebuhr,Eintracht Frankfurt,0
Kimberly Ezekwem,Freiburg,0
Marcel Wenig,Eintracht Frankfurt,0
Jonathan Schmid,Freiburg,0.3
Robert Wagner,Freiburg,0.5
Joel Pohjanpalo,Bayer Leverkusen,0
Tony Rölke,Hertha Berlin,0
Thomas Kastanaras,VfB Stuttgart,0
Filip Kostic,Eintracht Frankfurt,0
Alou Kuol,VfB Stuttgart,0
Andreas Ivan,Schalke 04,1
Justin Njinmah,Borussia Dortmund,0
Felix Agu,Werder Bremen,0
Tim Oermann,Bochum,1.8
Jean-Manuel Mbom,Werder Bremen,0
Alexander Sørloth,RB Leipzig,0
Eniss Shabani,Mainz 05,0
Jannes Horn,Bochum,0.5
Tymoteusz Puchacz,Union Berlin,1
Soumaïla Coulibaly,Borussia Dortmund,0
Lukás Ambros,Wolfsburg,2
Stefan Posch,Hoffenheim,0
