,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
65,65,Kevin Stöger,,30, M(CL),29(3),2610,5,3,3,0,1.5,74.2,0.3,2,6.84,2.6,0.8,1.3,0.1,0.6,2,0.1,0,2.1,0.7,1.7,0,1.1,1.3,44.3,1.3,3,0.2,4.06,0.94,0.14,48,0.08
66,66,Kevin Behrens,,33, FW,17(16),1536,8,1,6,0,1.1,59.6,5.4,4,6.83,0.3,0.2,1.1,0,0.7,0.4,0.1,0,0.6,0.4,0.8,0.4,0.6,1.4,14.2,0.1,0.3,0.1,5.18,2.82,0.3,35,0.15
67,67,Ihlas Bebou,,30," M(CLR),FW",17(2),1423,7,0,2,0,1.5,68.3,1.5,3,6.83,1,0.4,1.2,0,0.8,0.3,0.1,0,0.8,1.4,0.5,0.4,0.9,3.2,17.6,0,0.5,0,4.92,2.08,0.31,29,0.17
68,68,Karim Onisiwo,,32," AM(CLR),FW",28(3),2549,10,2,4,0,2.2,60.1,1.8,2,6.82,0.6,0.1,1.6,0,0.2,0.5,0,0,1.1,1.2,1.1,0.7,1.6,3.6,17.5,0.4,0.2,0.1,7.65,2.35,0.27,68,0.11
69,69,Timo Werner,,28," AM(CLR),FW",23(4),1948,9,3,2,0,2.3,76.6,0.2,4,6.82,0.4,0.3,0.3,0,0.1,0.3,0,0,0.7,1,0.5,0.9,0.8,2,23.4,0.1,0.6,0.1,9.72,-0.72,0.45,61,0.16
70,70,Exequiel Palacios,,25, M(C),19(6),1656,4,2,4,0,0.8,85.4,0.5,3,6.82,2.4,1.3,0.9,0,1,0.8,0.1,0,0.6,0.4,1.6,0,1,0.8,47.4,0.1,1.3,0,2.87,1.13,0.16,20,0.14
71,71,Marius Wolf,,28," D(R),M(CLR)",17(8),1570,1,1,2,0,0.9,80.0,0.2,3,6.81,1,0.7,0.5,0.2,0.8,0.5,0.4,0,0.9,1.4,0.9,0.1,0.5,1.1,34,0.6,2.1,0.1,1.13,-0.13,0.07,23,0.05
72,72,Aurélio Buta,,27," D(R),M(R)",15(3),1325,3,2,3,0,0.5,77.9,1.2,0,6.81,1.8,0.5,1.7,0.2,1.7,0.7,0.1,0,1,0.6,0.9,0.1,0.5,1.3,29.9,0.7,0.9,0,0.6,2.4,0.04,9,0.07
73,73,Manu Koné,,22, DMC,30,2620,1,1,12,0,0.9,87.3,0.5,0,6.81,2.5,1.1,1.7,0.1,0.7,0.8,0.4,0,0.7,1.9,2.5,0,1.7,2.7,45.3,0,0.9,0,1.03,-0.03,0.04,26,0.04
74,74,Philipp Lienhart,,27, D(C),27(2),2498,1,0,3,0,0.6,85.4,2.2,1,6.81,1,1.2,0.6,0.3,3.2,0.5,0.5,0,0.1,0.1,1.1,0,0,0.7,54.9,0,4.1,0,1.04,-0.04,0.04,17,0.06
75,75,Lukas Kübler,,31," D(CLR),M(R)",19(3),1648,2,1,1,0,0.4,70.1,1.1,0,6.81,1.7,1.3,0.8,0.1,2.1,0.5,0.5,0,0.3,0.2,0.7,0,0.1,0.6,30.7,0.3,1.8,0,0.95,1.05,0.05,9,0.11
76,76,Lars Stindl,,35," M(CLR),FW",20(9),1745,8,7,9,0,1.7,81.6,0.3,0,6.81,0.8,0.4,1,0,0.6,0.6,0.2,0,1.4,0.3,1.3,0.3,0.9,1.1,25.9,0.3,1,0.2,5.47,2.53,0.28,50,0.11
77,77,Daichi Kamada,,27," AM(CLR),FW",25(7),2271,9,6,3,0,1.4,83.3,0.6,2,6.8,1.6,0.5,1.3,0,0.5,0.8,0.1,0,1.1,0.5,0.8,0.2,0.8,1,37.2,0.4,1.5,0.1,9.03,-0.03,0.36,44,0.21
78,78,Rafal Gikiewicz,,36, GK,23,2070,0,0,3,0,0.0,71.0,0.3,3,6.8,0.1,0,0,0,1.2,0,0,0,0,0,0.2,0,0,0.1,44.5,0,9.6,0,,,,,
79,79,Mark Flekken,,30, GK,34,3060,0,0,0,0,0.0,68.5,0.2,2,6.8,0,0,0,0,0.6,0,0,0,0.1,0.1,0.1,0,0,0,39.4,0,9.7,0,,,,,
80,80,Niklas Süle,,28, D(CR),23(6),2116,2,3,2,0,1.1,91.3,1.1,0,6.8,0.9,0.6,0.3,0.7,1.8,0.3,0.7,0,0.6,0.3,0.2,0,0.3,0.3,61.4,0.1,4.4,0,2.38,-0.38,0.1,33,0.07
81,81,Nicolas Höfler,,34," D(C),DMC",32,2822,0,1,9,1,0.7,83.2,2.2,1,6.79,2.1,1.8,2.1,0.1,1.4,1.1,0.4,0,0.2,0.5,1.6,0,0.4,1,43.1,0,1.5,0,1.38,-1.38,0.04,21,0.07
82,82,Gregor Kobel,,26, GK,27,2430,0,0,0,0,0.0,81.1,0.2,1,6.79,0,0,0,0,0.5,0,0,1,0,0,0.1,0,0,0,34.3,0,5.7,0,,,,,
83,83,Lee Jae-Sung,,31," AM(CLR),FW",24(10),1904,7,4,2,0,1.0,74.4,1.1,3,6.78,1.1,0.5,0.5,0,0.4,0.6,0.1,0,0.8,0.7,0.7,0.2,0.7,1.3,21.8,0.2,0.6,0,4.29,2.71,0.2,35,0.12
84,84,Koen Casteels,,31, GK,34,3060,0,0,0,0,0.0,74.0,0.1,2,6.78,0,0,0,0,0.6,0,0,0,0,0,0.1,0,0,0,41.2,0,10.6,0,0.05,-0.05,0,1,0.05
85,85,Christopher Trimmel,,37," D(CR),M(R)",20(5),1811,0,6,1,0,0.6,66.8,0.9,0,6.77,1.2,1,0.7,0.1,1.8,0.4,0,0,1.4,0.3,0.3,0,0.3,0.5,25.3,1.7,1.2,0,0.8,-0.8,0.04,14,0.06
86,86,Serhou Guirassy,,28," AM(L),FW",20(2),1653,11,0,2,1,2.2,74.3,1.9,1,6.76,0.2,0,0.8,0,0.6,0,0.1,0,0.9,0.6,2,0.5,0.9,2.4,20,0,0.4,0,12.28,-1.28,0.67,49,0.25
87,87,Benjamin Henrichs,,27," D(LR),DMC,M(LR)",23(7),2188,2,2,8,0,1.0,78.2,0.8,0,6.76,2.4,1.2,1.2,0,1.3,0.8,0.1,0,0.7,0.7,0.9,0.1,0.6,1.1,43.4,0.5,1.6,0.1,1.56,0.44,0.06,31,0.05
88,88,Ermedin Demirovic,,26," AM(CL),FW",30,2383,8,4,7,1,2.1,51.0,2.2,2,6.76,1,0.5,1.6,0,1.2,0.4,0.1,0,1,0.6,1,0.4,1.1,1.8,16.8,0.2,0.1,0.1,8.45,-0.45,0.32,64,0.13
89,89,Stefan Bell,,32, D(CR),26(4),2395,0,0,9,0,0.2,77.0,3.4,1,6.76,1.4,1.5,1.6,0.3,4.4,0.7,0.5,0,0.3,0.2,0.4,0.1,0.1,0.4,40.8,0,3.3,0,1.01,-1.01,0.04,7,0.14
90,90,Ko Itakura,,27," D(C),DMC",22(2),1982,0,2,1,2,0.5,91.0,1.8,0,6.76,1.2,1.1,0.5,0.9,3.8,0.6,1,0,0.2,0.3,0.6,0,0.1,0.4,65,0,1.9,0,0.49,-0.49,0.02,11,0.04
91,91,Leandro Barreiro,,24, DMC,25(6),2144,4,3,5,0,1.0,69.0,1.3,2,6.75,1.9,1.3,1.5,0,1.1,0.9,0.4,0,0.5,0.2,1.1,0.1,0.4,1.3,17.7,0,0.4,0,3.76,0.24,0.16,32,0.12
92,92,Ridle Baku,,26," D(R),M(CR)",29(4),2582,5,3,6,0,0.8,78.9,0.7,1,6.73,1.5,0.6,0.8,0.2,1.6,0.8,0.2,0,0.8,0.7,1,0.1,0.6,1.8,37.6,0.6,2,0,3.11,1.89,0.11,28,0.11
93,93,Angeliño,,27," D(L),M(L)",30(3),2622,0,9,2,0,0.6,68.2,0.5,1,6.73,1.2,0.8,0.4,0.1,1.6,0.4,0.2,0,1.5,0.4,0.9,0.2,0.5,0.8,32.5,1.6,2.4,0,0.94,-0.94,0.03,21,0.04
94,94,Marius Bülter,,31," D(R),M(CLR),FW",30(3),2605,11,1,5,0,2.1,64.2,1.3,2,6.72,0.7,0.3,0.8,0,0.5,0.6,0,0,1.2,1,1.5,0.2,0.8,2.5,18.7,0.8,0.5,0.1,8.67,2.33,0.3,68,0.13
95,95,Tuta,,24, D(C),30(1),2717,2,1,8,0,0.5,80.4,1.6,1,6.72,1.7,1.6,1.1,0.5,4.1,0.8,0.5,0,0.2,0.4,0.6,0,0.4,0.9,59.1,0.1,2.7,0,2.02,-0.02,0.07,17,0.12
96,96,Ivan Ordets,,31, D(C),28(2),2450,0,0,4,0,0.6,72.9,4.6,0,6.72,1,1.9,1.1,0.5,4.5,0.4,0.6,0,0.3,0.1,0.8,0.1,0.1,0.3,33.1,0,2.1,0,1.49,-1.49,0.05,17,0.09
97,97,Junior Dina Ebimbe,,23, M(CLR),10(9),1061,3,1,4,0,1.4,72.7,1.2,1,6.71,1.6,0.6,0.8,0,1,0.9,0.3,0,0.5,0.9,0.6,0.1,0.8,1.4,23.3,0.1,0.7,0,3.1,-0.1,0.26,26,0.12
