player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Nicolò Cambiaghi,Empoli,1.1,0.7,1.8
Pablo Marí,Monza,1.2,0.3,1.5
Arthur Cabral,Fiorentina,0.3,0.1,0.5
Janis Antiste,Sassuolo,0.5,0,0.5
Vlad Chiriches,Cremonese,2.2,0.5,2.7
Alexis Blin,Lecce,2,1,3
Danilo Cataldi,Lazio,0.9,0.9,1.8
David Okereke,Cremonese,0.4,0.4,0.8
Georginio Wijnaldum,Roma,0.3,0.1,0.4
Matteo Politano,Napoli,0.7,0.5,1.2
Jhon Lucumí,Bologna,1.6,0.6,2.2
Isak Hien,Verona,2.3,0.7,3
José Palomino,Atalanta,1.5,0.6,2.1
Ciprian Tatarusanu,AC Milan,0,0,0
Martin Erlic,Sassuolo,1,0.5,1.4
Krzysztof Piatek,Salernitana,0.5,0.5,1
Nicola Zalewski,Roma,1.4,1.5,2.9
Alessandro Zanoli,Sampdoria,1,0.4,1.4
Federico Chiesa,Juventus,1,0.4,1.5
Weston McKennie,Juventus,0.9,0.2,1.1
Alexis Saelemaekers,AC Milan,1,0.7,1.8
Pierre Kalulu,AC Milan,1.7,0.4,2.1
Andrea Cambiaso,Bologna,1.8,1.2,2.9
Juan Musso,Atalanta,0,0,0
Bartlomiej Dragowski,Spezia,0,0.1,0.1
Diego Llorente,Roma,1.1,0.8,1.9
Sasa Lukic,Torino,1.3,0.4,1.7
Jonathan Ikoné,Fiorentina,0.5,0.3,0.8
Jean-Daniel Akpa Akpro,Empoli,2.2,0.8,3
Vanja Milinkovic-Savic,Torino,0.1,0,0.1
Luca D'Andrea,Sassuolo,0.8,0.6,1.4
Frank Tsadjout,Cremonese,0.5,0.3,0.8
Remi Oudin,Lecce,0.8,0.4,1.2
Aleksa Terzic,Fiorentina,0.7,0.5,1.2
Matteo Ruggeri,Atalanta,1.1,0.6,1.7
Merih Demiral,Atalanta,1.5,0.4,1.8
Denso Kasius,Bologna,1.7,0.3,2
Ruslan Malinovskyi,Atalanta,0.9,0.7,1.7
Pawel Dawidowicz,Verona,2.1,0.4,2.5
Matheus Henrique,Sassuolo,0.9,0.4,1.3
Fodé Ballo-Touré,AC Milan,1.4,0.3,1.7
Lorenzo Pirola,Salernitana,1.3,0.3,1.6
Cyril Ngonge,Verona,0.5,0.6,1.1
Manolo Gabbiadini,Sampdoria,0.7,0.4,1.1
Mile Svilar,Roma,0,0,0
Manuel Lazzari,Lazio,1.1,0.5,1.6
Alessandro Florenzi,AC Milan,1,0.5,1.5
Samuele Perisan,Empoli,0,0,0
Marco Silvestri,Udinese,0.1,0,0.1
Luka Lochoshvili,Cremonese,1.8,0.4,2.2
Ondrej Duda,Verona,1.5,0.5,1.9
Cristian Volpato,Roma,0.4,0.3,0.7
Rogério,Sassuolo,1,0.5,1.5
Leonardo Spinazzola,Roma,0.6,0.6,1.2
Filippo Bandinelli,Empoli,1.6,0.8,2.4
Luca Ranieri,Fiorentina,1,0.3,1.3
Tommaso Baldanzi,Empoli,1,1,1.9
Alex Ferrari,Cremonese,2.5,0.9,3.4
Isaac Success,Udinese,0.3,0.2,0.4
Marco Sportiello,Atalanta,0.1,0.1,0.2
Andrea Colpani,Monza,0.5,0.1,0.7
Gaetano Castrovilli,Fiorentina,0.7,0.5,1.1
James Abankwah,Udinese,0.5,0,0.5
Santiago Ascacíbar,Cremonese,2.2,1.6,3.8
Jeroen Zoet,Spezia,0.2,0,0.2
Caleb Okoli,Atalanta,1.2,0.9,2.1
Matías Vecino,Lazio,1.5,0.8,2.3
Francesco Caputo,Empoli,0.1,0,0.1
Mouhamadou Sarr,Cremonese,0,0,0
Fabio Depaoli,Sampdoria,1.7,0.3,2
Charalampos Lykogiannis,Bologna,0.8,0.4,1.1
Flavius Daniliuc,Salernitana,2.1,0.8,2.9
Kevin Agudelo,Spezia,2.1,1,3.1
Nadir Zortea,Atalanta,1.1,0.1,1.2
Elseid Hysaj,Lazio,1.1,0.5,1.7
Antonino Gallo,Lecce,1.8,0.6,2.3
Luka Jovic,Fiorentina,0.2,0.2,0.4
Nicolò Fagioli,Juventus,1.1,0.7,1.8
Mehdi Bourabia,Spezia,1.1,0.6,1.7
Tommaso Augello,Sampdoria,0.5,0.3,0.8
Soualiho Meïté,Cremonese,1.5,0.8,2.3
Valentino Lazaro,Torino,0.4,0.4,0.8
Mario Pasalic,Atalanta,0.7,0.5,1.2
Andrea Petagna,Monza,0.2,0.1,0.3
Omar Colley,Sampdoria,1.1,0.2,1.3
Przemyslaw Wisniewski,Spezia,0.9,0.9,1.8
Pietro Terracciano,Fiorentina,0.1,0,0.1
Simon Kjær,AC Milan,0.9,0.2,1.1
