player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Luca Ranieri,Fiorentina,0.1,0,0.1,0
Tommaso Baldanzi,Empoli,1.3,0.7,0,0.6
Alex Ferrari,Cremonese,0,0,0,0
Isaac Success,Udinese,1.2,0.4,0.1,0.7
Marco Sportiello,Atalanta,0,0,0,0
Andrea Colpani,Monza,0.9,0.3,0,0.6
Gaetano Castrovilli,Fiorentina,1.2,0.4,0,0.8
James Abankwah,Udinese,0,0,0,0
Santiago Ascacíbar,Cremonese,1.1,1,0,0.1
Jeroen Zoet,Spezia,0,0,0,0
Caleb Okoli,Atalanta,0.4,0,0,0.4
Matías Vecino,Lazio,0.8,0.3,0.1,0.5
Francesco Caputo,Empoli,2,0.1,0.3,1.6
Mouhamadou Sarr,Cremonese,0,0,0,0
Fabio Depaoli,Sampdoria,0.7,0,0,0.7
Charalampos Lykogiannis,Bologna,0.9,0.7,0,0.2
Flavius Daniliuc,Salernitana,0.4,0,0,0.3
Kevin Agudelo,Spezia,0.8,0.6,0,0.3
Nadir Zortea,Atalanta,0.4,0.2,0,0.2
Elseid Hysaj,Lazio,0.1,0.1,0,0
Antonino Gallo,Lecce,0.3,0.3,0,0
Luka Jovic,Fiorentina,1.8,0.3,0.2,1.3
Nicolò Fagioli,Juventus,0.5,0.3,0,0.2
Mehdi Bourabia,Spezia,0.9,0.6,0,0.2
Tommaso Augello,Sampdoria,0.3,0.1,0,0.2
Soualiho Meïté,Cremonese,0.5,0.4,0,0.2
Valentino Lazaro,Torino,0.3,0,0,0.3
Mario Pasalic,Atalanta,1,0.1,0.1,0.8
Andrea Petagna,Monza,1.2,0.2,0.1,0.9
Omar Colley,Sampdoria,0.4,0,0.1,0.3
Przemyslaw Wisniewski,Spezia,0.4,0.1,0.3,0.1
Pietro Terracciano,Fiorentina,0,0,0,0
Simon Kjær,AC Milan,0,0,0,0
Arkadiusz Reca,Spezia,0.7,0.5,0,0.3
Alberto Grassi,Empoli,0.4,0.1,0,0.3
Matteo Bianchetti,Cremonese,0.3,0,0,0.2
Maxime Lopez,Sassuolo,0.5,0.4,0,0.2
Duván Zapata,Atalanta,1.6,0.4,0,1.2
