player_name,team_name,Fouled,Fouls
Charalampos Lykogiannis,Bologna,0.5,0.7
Flavius Daniliuc,Salernitana,0.1,1.2
Kevin Agudelo,Spezia,1,1
Nadir Zortea,Atalanta,0,0.4
Elseid Hysaj,Lazio,0.4,0.6
Antonino Gallo,Lecce,0.5,0.4
Luka Jovic,Fiorentina,0.3,0.7
Nicolò Fagioli,Juventus,0.9,0.8
Mehdi Bourabia,Spezia,0.5,0.9
Tommaso Augello,Sampdoria,0.7,0.4
Soualiho Meïté,Cremonese,1.5,0.9
Valentino Lazaro,Torino,0.1,0.6
Mario Pasalic,Atalanta,0.5,0.8
Andrea Petagna,Monza,1,0.9
Omar Colley,Sampdoria,1.1,0.9
Przemyslaw Wisniewski,Spezia,0.5,0.9
Pietro Terracciano,Fiorentina,0,0.1
Simon Kjær,AC Milan,0.1,0.5
Arkadiusz Reca,Spezia,0.5,1.1
Alberto Grassi,Empoli,0.5,0.9
Matteo Bianchetti,Cremonese,0.4,0.7
Maxime Lopez,Sassuolo,0.4,1
Duván Zapata,Atalanta,1.5,0.7
Joakim Mæhle,Atalanta,0.6,0.5
Emanuel Aiwu,Cremonese,0.7,0.9
Bartosz Bereszynski,Napoli,0.7,0.7
Matías Soulé,Juventus,0.4,0.2
Nicola Sansone,Bologna,0.9,0.7
Luis Muriel,Atalanta,0.5,0.6
Giangiacomo Magnani,Verona,0.3,0.9
Koffi Djidji,Torino,0.1,0.8
Nadir Zortea,Sassuolo,0.6,1.1
Gianluca Caprari,Monza,1.4,0.9
Leonardo Bonucci,Juventus,0.3,0.6
Josh Doig,Verona,0.3,0.6
Sam Lammers,Empoli,0.6,0.4
Nemanja Radonjic,Torino,0.6,0.6
Sebastian Walukiewicz,Empoli,0.2,0.5
Adama Soumaoro,Bologna,0.5,0.9
Bruno Amione,Sampdoria,0.6,0.9
Josip Brekalo,Fiorentina,0.8,0.5
Grigoris Kastanos,Salernitana,1.5,0.8
Adam Masina,Udinese,0.1,0.8
Roberto Soriano,Bologna,1.2,0.7
Zeki Çelik,Roma,0.3,1.1
Federico Ceccherini,Verona,0.9,1.4
Pablo Galdames,Cremonese,0.3,1
Mërgim Vojvoda,Torino,0.2,0.7
Luca Caldirola,Monza,0.8,1
Marco Benassi,Fiorentina,0.5,0.5
Enzo Barrenechea,Juventus,0.3,1
Riccardo Saponara,Fiorentina,0.8,0.5
Marco Benassi,Cremonese,0.4,0.7
Emanuele Valeri,Cremonese,1,0.7
Igor Julio,Fiorentina,0.5,1.1
Oliver Abildgaard,Verona,0.5,1
Kingsley Ehizibue,Udinese,0.7,1.2
Tonny Vilhena,Salernitana,1,1
Ante Rebic,AC Milan,0.7,0.8
Bram Nuytinck,Udinese,0.3,0.7
Danilo D'Ambrosio,Inter,0.7,1.1
Sofyan Amrabat,Fiorentina,1,1.9
Harry Winks,Sampdoria,0.7,0.8
Kevin Bonifazi,Bologna,0.1,0.5
Rui Patrício,Roma,0,0
Alex Cordaz,Inter,0,0
Michele Castagnetti,Cremonese,0.4,0.6
Jayden Braaf,Verona,0.2,1.3
Kelvin Amian,Spezia,0.2,1.2
Joshua Zirkzee,Bologna,0.5,0.4
Milan Skriniar,Inter,0.7,1.7
Abdelhamid Sabiri,Sampdoria,2.2,1.6
Filip Djuricic,Sampdoria,1.5,1.2
Daniel Maldini,Spezia,1,0.7
Tommaso De Nipoti,Atalanta,0,0
Robin Gosens,Inter,0.1,0.5
William Troost-Ekong,Salernitana,0.1,0.8
Giacomo Raspadori,Napoli,0.5,0.3
Bartosz Bereszynski,Sampdoria,0.7,0.9
Sam Lammers,Sampdoria,1.2,1
Salvatore Esposito,Spezia,1.6,0.7
Liberato Cacace,Empoli,0.3,0.8
Assan Ceesay,Lecce,0.8,1.1
Davide Faraoni,Verona,0.5,0.9
Karol Linetty,Torino,0.7,1.6
Paul Pogba,Juventus,1.2,0.3
Marcos Antônio,Lazio,0.9,0.6
Petar Stojanovic,Empoli,0.6,0.4
Koray Günter,Sampdoria,0.3,0.7
Koni De Winter,Empoli,0.1,0.9
Tommaso Pobega,AC Milan,0.3,1.6
Yann Karamoh,Torino,0.6,0.5
Zlatan Ibrahimovic,AC Milan,0.3,0.5
Leandro Paredes,Juventus,0.4,0.8
Nedim Bajrami,Sassuolo,0.5,0.3
Filippo Ranocchia,Monza,0.9,0.5
Adrien Tameze,Verona,0.8,0.9
Sergiño Dest,AC Milan,0.5,0.8
Dylan Bronn,Salernitana,0.4,1.2
Jean-Victor Makengo,Udinese,0.8,0.6
Alfred Duncan,Fiorentina,0.5,1
Mattia De Sciglio,Juventus,0.6,0.2
Mattia Caldara,Spezia,0.5,0.8
Gary Medel,Bologna,0.6,0.7
Tomás Rincón,Sampdoria,0.8,1.7
Miguel Veloso,Verona,0.4,0.9
Fabio Miretti,Juventus,1,0.9
Luca Zanimacchia,Cremonese,0.7,0.6
Joan González,Lecce,1.3,1
Riccardo Sottil,Fiorentina,1.5,0.2
Domagoj Bradaric,Salernitana,0.6,0.5
Filippo Terracciano,Verona,0.9,0.4
Joaquín Correa,Inter,0.7,0.5
Thomas Henry,Verona,1,1.7
Antonín Barák,Fiorentina,0.6,0.4
Marko Pjaca,Empoli,0.4,0.1
Pedro Obiang,Sassuolo,0.5,0.9
Cyriel Dessers,Cremonese,0.5,1.3
Andrea Pinamonti,Sassuolo,1,0.7
Petar Zovko,Spezia,0,0
Charles De Ketelaere,AC Milan,0.5,0.6
Emil Bohinen,Salernitana,0.5,0.6
Brandon Soppy,Atalanta,1.3,1.2
Fabio Depaoli,Verona,1,1.4
Alex Ferrari,Sampdoria,0.6,1
Jeremy Toljan,Sassuolo,0.5,0.3
Federico Di Francesco,Lecce,0.9,1.2
Albin Ekdal,Spezia,0.9,1
Paolo Ghiglione,Cremonese,0.5,1.1
Lameck Banda,Lecce,1,0.9
Diego Coppola,Verona,0,0.5
Dimitrios Nikolaou,Spezia,0.6,0.8
David Zima,Torino,0.2,0.4
Hamed Traorè,Sassuolo,0.2,0.8
Roberto Piccoli,Empoli,0.2,0.5
Samuel Iling-Junior,Juventus,0.2,0.8
Martin Hongla,Verona,0.4,1.2
José Machín,Monza,0.5,0.8
Juan Cabal,Verona,0.2,0.6
Adam Ounas,Napoli,0,0
Cristian Buonaiuto,Cremonese,0.8,0.6
Gianluca Gaetano,Napoli,0.1,0.3
Mady Camara,Roma,0.5,1
Michaël Cuisance,Sampdoria,0.4,0.7
Rick Karsdorp,Roma,0,0.3
Jacopo Fazzini,Empoli,0.6,1
Samuel Ntanda,Sampdoria,0,0
Daniel Ciofani,Cremonese,0.5,0.3
Marvin Zeegelaar,Udinese,0.1,1.9
Marlon,Monza,0.2,0.8
Nedim Bajrami,Empoli,0.3,0.3
Adolfo Gaich,Verona,0.8,1.1
Edoardo Bove,Roma,1,1.1
Festy Ebosele,Udinese,0.4,0.6
Luca Pellegrini,Lazio,0.1,0.7
Matteo Gabbia,AC Milan,0.1,0.7
Daniele Verde,Spezia,0.6,0.1
Martín Satriano,Empoli,0.9,0.6
Axel Guessand,Udinese,0,1
Pietro Ceccaroni,Lecce,0,0
Charles Pickel,Cremonese,0.5,1
