player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Emirhan Ilkhan,Sampdoria,19,CAM,0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.3,0.5,1.3,0.0,0.5,0.0,0.3,0,0.3,0.3,0.0,0.0,0.5,0.5,10.8,0.0,1.3,0.0,0.04,-0.04,0.05,2.0,0.02,CAM,,,,
Mattia Destro,Empoli,33,FW,6(11),567,1,0,3,0,1.2,55.8,0.5,0,6.14,0.1,0.1,0.7,0.0,0.3,0.0,0.0,0,0.2,0.2,0.3,0.4,0.3,0.8,4.5,0.1,0.1,0.0,1.85,-0.85,0.29,20.0,0.09,FW,,,,
Nicola Murru,Sampdoria,29,"LB, LM",5(15),775,0,0,3,0,0.1,80.1,0.4,0,6.14,1.2,0.5,0.8,0.1,1.0,0.3,0.4,0,0.1,0.0,0.3,0.1,0.1,0.4,14.6,0.2,0.7,0.0,0.05,-0.05,0.01,2.0,0.02,LB, LM,,,
Valentin Antov,Monza,23,CB,2(7),301,0,0,2,0,0.0,89.3,0.7,0,6.13,0.7,0.4,0.4,0.1,1.6,0.4,0.4,0,0.1,0.1,0.2,0.0,0.2,0.3,23.9,0.0,1.4,0.0,,,,,,CB,,,,
João Moutinho,Spezia,26,"LB, LM",0(4),57,0,0,0,0,0.0,80.6,0.0,0,6.13,1.8,0.0,0.3,0.0,0.0,0.3,0.3,0,0.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.5,0.0,,,,,,LB, LM,,,
Antonio Iervolino,Salernitana,20,CM,0(1),5,0,0,0,0,0.0,85.7,0.0,0,6.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,,,,,,CM,,,,
Giulio Donati,Monza,34,"CB, LB, RB, RM",5(4),424,1,0,2,2,0.2,88.1,0.4,0,6.13,0.4,0.4,0.8,0.0,1.0,0.3,0.1,0,0.1,0.1,0.7,0.0,0.1,0.3,31.8,0.1,2.3,0.0,0.4,0.6,0.08,2.0,0.2,CB, LB, RB, RM,
Thórir Helgason,Lecce,23,CM,2(10),215,0,0,0,0,0.2,76.9,0.3,0,6.13,0.2,0.3,0.2,0.1,0.3,0.1,0.1,0,0.3,0.0,0.2,0.0,0.2,0.3,5.4,0.4,0.3,0.0,0.05,-0.05,0.02,2.0,0.03,CM,,,,
Youssef Maleh,Fiorentina,25,CM,4(3),299,0,0,2,0,1.0,86.0,0.4,0,6.13,1.0,0.3,1.3,0.0,0.5,0.5,0.1,0,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0.0,0.31,-0.31,0.04,6.0,0.05,CM,,,,
Matteo Cancellieri,Lazio,22,"CAM, LAM, RAM",1(19),237,0,0,4,0,0.3,75.9,0.2,0,6.12,0.5,0.1,0.7,0.0,0.1,0.2,0.0,0,0.2,0.2,0.5,0.3,0.2,0.7,4.0,0.1,0.0,0.0,0.28,-0.28,0.11,6.0,0.05,CAM, LAM, RAM,,
