player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Remi Oudin,Lecce,0.1,0.1,0.5
Aleksa Terzic,Fiorentina,0.2,0,0.4
Matteo Ruggeri,Atalanta,0.2,0.1,0.7
Merih Demiral,Atalanta,0.3,0.1,0.6
Denso Kasius,Bologna,0.4,0.6,0.4
Ruslan Malinovskyi,Atalanta,0.1,0,0.5
Pawel Dawidowicz,Verona,0.4,0.1,0.2
Matheus Henrique,Sassuolo,0.1,0,0.4
Fodé Ballo-Touré,AC Milan,0.3,0,0.8
Lorenzo Pirola,Salernitana,1.3,0.1,0.6
Cyril Ngonge,Verona,0,0,0.5
Manolo Gabbiadini,Sampdoria,0.1,0,0.4
Mile Svilar,Roma,0,0,0
Manuel Lazzari,Lazio,0.2,0.3,0.5
Alessandro Florenzi,AC Milan,0,0.2,0.2
Samuele Perisan,Empoli,0,0,0
Marco Silvestri,Udinese,0,0,0
Luka Lochoshvili,Cremonese,0.4,0.1,0.8
Ondrej Duda,Verona,0,0.1,0.7
Cristian Volpato,Roma,0,0,0.3
Rogério,Sassuolo,0.3,0.3,0.6
Leonardo Spinazzola,Roma,0.1,0.2,0.4
Filippo Bandinelli,Empoli,0.2,0,0.4
Luca Ranieri,Fiorentina,0.3,0,0.2
Tommaso Baldanzi,Empoli,0,0,0.8
Alex Ferrari,Cremonese,0.3,0.1,0.9
Isaac Success,Udinese,0.1,0,0.4
Marco Sportiello,Atalanta,0,0,0
Andrea Colpani,Monza,0.1,0,0.4
Gaetano Castrovilli,Fiorentina,0.1,0,0.3
James Abankwah,Udinese,1,1,1
Santiago Ascacíbar,Cremonese,0.2,0.2,0.9
Jeroen Zoet,Spezia,0,0,0
Caleb Okoli,Atalanta,0.3,0,0.3
Matías Vecino,Lazio,0.3,0,0.7
Francesco Caputo,Empoli,0.1,0,0.2
Mouhamadou Sarr,Cremonese,0,0,0
Fabio Depaoli,Sampdoria,0,0,0.3
Charalampos Lykogiannis,Bologna,0.2,0.3,0.2
Flavius Daniliuc,Salernitana,0.5,0.2,0.6
Kevin Agudelo,Spezia,0.1,0,1
Nadir Zortea,Atalanta,0,0,0.4
Elseid Hysaj,Lazio,0.2,0.3,0.7
Antonino Gallo,Lecce,0.2,0.1,1
Luka Jovic,Fiorentina,0.1,0,0.2
Nicolò Fagioli,Juventus,0.1,0.1,0.5
Mehdi Bourabia,Spezia,0.3,0.1,0.7
Tommaso Augello,Sampdoria,0.2,0.3,0.4
Soualiho Meïté,Cremonese,0.2,0,0.7
Valentino Lazaro,Torino,0.1,0.3,0.6
Mario Pasalic,Atalanta,0.1,0,0.6
Andrea Petagna,Monza,0.1,0,0.4
Omar Colley,Sampdoria,0.3,0.1,0.3
Przemyslaw Wisniewski,Spezia,0.6,0,0.6
Pietro Terracciano,Fiorentina,0,0,0
Simon Kjær,AC Milan,0.6,0.1,0.2
Arkadiusz Reca,Spezia,0.2,0.1,0.5
Alberto Grassi,Empoli,0.5,0,0.4
Matteo Bianchetti,Cremonese,0.7,0.2,0.6
Maxime Lopez,Sassuolo,0.2,0.1,0.6
Duván Zapata,Atalanta,0.1,0,0.2
Joakim Mæhle,Atalanta,0.2,0.1,0.7
Emanuel Aiwu,Cremonese,0.7,0.1,0.5
Bartosz Bereszynski,Napoli,0,0,1.3
Matías Soulé,Juventus,0.1,0.1,0.5
Nicola Sansone,Bologna,0,0,0
Luis Muriel,Atalanta,0,0,0.3
Giangiacomo Magnani,Verona,0.6,0,0.2
Koffi Djidji,Torino,0.4,0.1,0.4
Nadir Zortea,Sassuolo,0.4,0.5,0.6
Gianluca Caprari,Monza,0,0,0.6
Leonardo Bonucci,Juventus,0.5,0,0.2
Josh Doig,Verona,0.3,0,0.9
Sam Lammers,Empoli,0.1,0,0.2
Nemanja Radonjic,Torino,0,0,0.1
Sebastian Walukiewicz,Empoli,0.8,0,0.1
Adama Soumaoro,Bologna,0.6,0.1,0.2
Bruno Amione,Sampdoria,0.4,0.2,0.6
Josip Brekalo,Fiorentina,0,0,0.2
Grigoris Kastanos,Salernitana,0.2,0.1,0.5
Adam Masina,Udinese,0.3,0.1,0.5
Roberto Soriano,Bologna,0.1,0,0.8
Zeki Çelik,Roma,0.3,0.5,1.1
Federico Ceccherini,Verona,0.5,0.1,0.3
Pablo Galdames,Cremonese,0.2,0,0.8
Mërgim Vojvoda,Torino,0.1,0.3,0.4
Luca Caldirola,Monza,0.6,0,0.5
Marco Benassi,Fiorentina,0,0,0
Enzo Barrenechea,Juventus,0,0,1
Riccardo Saponara,Fiorentina,0,0,0.2
Marco Benassi,Cremonese,0.1,0.1,0.8
Emanuele Valeri,Cremonese,0.1,0.2,0.4
Igor Julio,Fiorentina,0.5,0.1,0.7
Oliver Abildgaard,Verona,0.1,0,0.5
Kingsley Ehizibue,Udinese,0.1,0.3,0.7
Tonny Vilhena,Salernitana,0.2,0.1,0.3
Ante Rebic,AC Milan,0,0,0.2
Bram Nuytinck,Udinese,1,0.2,0
Danilo D'Ambrosio,Inter,0.3,0.1,0.5
Sofyan Amrabat,Fiorentina,0.2,0,0.6
Harry Winks,Sampdoria,0.4,0.2,0.3
Kevin Bonifazi,Bologna,0.6,0.2,0.2
