player_name,team_name,UnsuccessfulTouches,Dispossessed
Vlad Chiriches,Cremonese,0.1,0.3
Alexis Blin,Lecce,1,0.4
Danilo Cataldi,Lazio,0.2,0.3
David Okereke,Cremonese,1.9,1.1
Georginio Wijnaldum,Roma,0.8,0.5
Matteo Politano,Napoli,1.1,0.4
Jhon Lucumí,Bologna,0.6,0.2
Isak Hien,Verona,0.8,0.3
José Palomino,Atalanta,0.2,0.2
Ciprian Tatarusanu,AC Milan,0,0
Martin Erlic,Sassuolo,0.5,0
Krzysztof Piatek,Salernitana,2.4,1.1
Nicola Zalewski,Roma,0.9,0.4
Alessandro Zanoli,Sampdoria,0.7,0.4
Federico Chiesa,Juventus,1.2,0.9
Weston McKennie,Juventus,1.3,0.8
Alexis Saelemaekers,AC Milan,1.3,0.7
Pierre Kalulu,AC Milan,0.7,0.1
Andrea Cambiaso,Bologna,1.3,0.6
Juan Musso,Atalanta,0.1,0
Bartlomiej Dragowski,Spezia,0,0
Diego Llorente,Roma,0.2,0.1
Sasa Lukic,Torino,1.1,0.5
Jonathan Ikoné,Fiorentina,1.8,1.4
Jean-Daniel Akpa Akpro,Empoli,1,0.6
Vanja Milinkovic-Savic,Torino,0.1,0
Luca D'Andrea,Sassuolo,2.2,1.4
Frank Tsadjout,Cremonese,1.9,0.5
Remi Oudin,Lecce,0.7,0.4
Aleksa Terzic,Fiorentina,0.6,0.3
Matteo Ruggeri,Atalanta,0.5,0.3
Merih Demiral,Atalanta,0.2,0.1
Denso Kasius,Bologna,1.6,1
Ruslan Malinovskyi,Atalanta,1.4,0.6
Pawel Dawidowicz,Verona,0.3,0.2
Matheus Henrique,Sassuolo,0.9,0.5
Fodé Ballo-Touré,AC Milan,0.6,0.6
Lorenzo Pirola,Salernitana,0.5,0.1
Cyril Ngonge,Verona,1.6,0.9
Manolo Gabbiadini,Sampdoria,1.5,0.9
Mile Svilar,Roma,0,0
Manuel Lazzari,Lazio,0.9,0.1
Alessandro Florenzi,AC Milan,0.5,0
Samuele Perisan,Empoli,0,0
Marco Silvestri,Udinese,0,0
Luka Lochoshvili,Cremonese,0.4,0.2
Ondrej Duda,Verona,0.9,1.1
Cristian Volpato,Roma,1.7,0.9
Rogério,Sassuolo,0.8,0.2
Leonardo Spinazzola,Roma,1,0.4
Filippo Bandinelli,Empoli,1.2,0.9
Luca Ranieri,Fiorentina,0.4,0.1
Tommaso Baldanzi,Empoli,1.3,0.6
Alex Ferrari,Cremonese,0.5,0.1
Isaac Success,Udinese,3.2,1.5
Marco Sportiello,Atalanta,0,0.1
Andrea Colpani,Monza,0.8,0.6
Gaetano Castrovilli,Fiorentina,0.7,0.6
James Abankwah,Udinese,0.5,0.5
Santiago Ascacíbar,Cremonese,0.6,0.3
Jeroen Zoet,Spezia,0,0
Caleb Okoli,Atalanta,0.7,0.3
Matías Vecino,Lazio,0.6,0.1
Francesco Caputo,Empoli,2.1,1.1
Mouhamadou Sarr,Cremonese,0,0
Fabio Depaoli,Sampdoria,0.7,0.3
Charalampos Lykogiannis,Bologna,0.5,0
Flavius Daniliuc,Salernitana,0.5,0.1
Kevin Agudelo,Spezia,1.7,1.6
Nadir Zortea,Atalanta,0.7,0.2
Elseid Hysaj,Lazio,0.6,0.4
Antonino Gallo,Lecce,0.7,0.2
Luka Jovic,Fiorentina,0.8,0.5
Nicolò Fagioli,Juventus,1.3,1.1
Mehdi Bourabia,Spezia,1.5,0.7
Tommaso Augello,Sampdoria,0.6,0.5
Soualiho Meïté,Cremonese,1,1
Valentino Lazaro,Torino,0.7,0.2
Mario Pasalic,Atalanta,1.1,0.8
Andrea Petagna,Monza,2.1,1.4
Omar Colley,Sampdoria,0.3,0.1
Przemyslaw Wisniewski,Spezia,0.4,0.3
Pietro Terracciano,Fiorentina,0,0
Simon Kjær,AC Milan,0.1,0
Arkadiusz Reca,Spezia,1.3,0.3
Alberto Grassi,Empoli,0.7,0.5
