player_name,team_name,Total_Interception
Michele Castagnetti,Cremonese,0.6
Jayden Braaf,Verona,0.3
Kelvin Amian,Spezia,0.7
Joshua Zirkzee,Bologna,0.2
Milan Skriniar,Inter,0.6
Abdelhamid Sabiri,Sampdoria,0.1
Filip Djuricic,Sampdoria,0.2
Daniel Maldini,Spezia,0.1
Tommaso De Nipoti,Atalanta,0
Robin Gosens,Inter,0.7
William Troost-Ekong,Salernitana,0.7
Giacomo Raspadori,Napoli,0.2
Bartosz Bereszynski,Sampdoria,1.4
Sam Lammers,Sampdoria,0.3
Salvatore Esposito,Spezia,0.7
Liberato Cacace,Empoli,0.3
Assan Ceesay,Lecce,0.1
Davide Faraoni,Verona,0.7
Karol Linetty,Torino,0.6
Paul Pogba,Juventus,0
Marcos Antônio,Lazio,0.7
Petar Stojanovic,Empoli,0.4
Koray Günter,Sampdoria,1.1
Koni De Winter,Empoli,0.4
Tommaso Pobega,AC Milan,0.5
Yann Karamoh,Torino,0
Zlatan Ibrahimovic,AC Milan,0
Leandro Paredes,Juventus,0.7
Nedim Bajrami,Sassuolo,0.4
Filippo Ranocchia,Monza,0.3
Adrien Tameze,Verona,1
Sergiño Dest,AC Milan,0.5
Dylan Bronn,Salernitana,0.8
Jean-Victor Makengo,Udinese,0.6
Alfred Duncan,Fiorentina,0.3
Mattia De Sciglio,Juventus,0.2
Mattia Caldara,Spezia,0.9
Gary Medel,Bologna,1
Tomás Rincón,Sampdoria,0.9
Miguel Veloso,Verona,0.3
Fabio Miretti,Juventus,0.1
Luca Zanimacchia,Cremonese,0.6
Joan González,Lecce,0.5
Riccardo Sottil,Fiorentina,0
Domagoj Bradaric,Salernitana,0.7
Filippo Terracciano,Verona,0.5
Joaquín Correa,Inter,0.1
Thomas Henry,Verona,0
Antonín Barák,Fiorentina,0.1
Marko Pjaca,Empoli,0.2
Pedro Obiang,Sassuolo,0.5
Cyriel Dessers,Cremonese,0.1
Andrea Pinamonti,Sassuolo,0.1
Petar Zovko,Spezia,0
Charles De Ketelaere,AC Milan,0.1
Emil Bohinen,Salernitana,0.7
Brandon Soppy,Atalanta,0.2
Fabio Depaoli,Verona,0.6
Alex Ferrari,Sampdoria,1.6
Jeremy Toljan,Sassuolo,0.6
Federico Di Francesco,Lecce,0.2
Albin Ekdal,Spezia,0.8
Paolo Ghiglione,Cremonese,0.3
Lameck Banda,Lecce,0.2
Diego Coppola,Verona,0.7
Dimitrios Nikolaou,Spezia,0.8
David Zima,Torino,1
Hamed Traorè,Sassuolo,0.2
Roberto Piccoli,Empoli,0.1
Samuel Iling-Junior,Juventus,0.2
Martin Hongla,Verona,0.7
José Machín,Monza,0.5
Juan Cabal,Verona,1.2
Adam Ounas,Napoli,0.5
Cristian Buonaiuto,Cremonese,0.5
Gianluca Gaetano,Napoli,0.1
Mady Camara,Roma,0.7
Michaël Cuisance,Sampdoria,0.4
Rick Karsdorp,Roma,0.5
Jacopo Fazzini,Empoli,0.3
Samuel Ntanda,Sampdoria,0
Daniel Ciofani,Cremonese,0.1
Marvin Zeegelaar,Udinese,0.4
Marlon,Monza,0.6
Nedim Bajrami,Empoli,0.4
Adolfo Gaich,Verona,0.2
Edoardo Bove,Roma,0.5
Festy Ebosele,Udinese,0.1
Luca Pellegrini,Lazio,1
Matteo Gabbia,AC Milan,0.4
Daniele Verde,Spezia,0.3
Martín Satriano,Empoli,0.1
Axel Guessand,Udinese,2
Pietro Ceccaroni,Lecce,1.5
Charles Pickel,Cremonese,0.7
Samuele Birindelli,Monza,0.5
Matías Viña,Roma,0.7
Moise Kean,Juventus,0.2
Junior Sambia,Salernitana,0.4
Divock Origi,AC Milan,0
Ruan Tressoldi,Sassuolo,1
Ola Solbakken,Roma,0.1
Ibrahim Sulemana,Verona,0.9
Lorenzo Venuti,Fiorentina,0.3
Domen Crnigoj,Salernitana,1.3
Andrea Consigli,Sassuolo,0
Enzo Ebosse,Udinese,0.6
Abdou Harroui,Sassuolo,0.1
Alessandro Zanoli,Napoli,0
Vincenzo Fiorillo,Salernitana,0
Giuseppe Pezzella,Lecce,0.5
Ilija Nestorovski,Udinese,0.1
Gian Marco Ferrari,Sassuolo,0.7
Emanuel Vignato,Empoli,0
Brian Bayeye,Torino,0.5
Gianluca Pegolo,Sassuolo,0
Lorenzo Colombo,Lecce,0.1
Kristian Thorstvedt,Sassuolo,0.5
Franco Carboni,Monza,0.3
Raoul Bellanova,Inter,0.2
Jaime Báez,Cremonese,0
Eldor Shomurodov,Spezia,0.2
Yayah Kallon,Verona,0.4
Giovanni Simeone,Napoli,0
Andreaw Gravillon,Torino,1.3
Tolgay Arslan,Udinese,0.3
Valerio Verre,Sampdoria,0.5
Michel Adopo,Torino,0.1
Lorenzo De Silvestri,Bologna,0.2
Nicolas Haas,Empoli,0.3
Giulio Maggiore,Salernitana,0.5
Mario Gila,Lazio,0.8
Federico Bonazzoli,Salernitana,0.1
Roberto Gagliardini,Inter,0.2
Gonzalo Escalante,Cremonese,1.1
Samuele Vignato,Monza,0
Luka Romero,Lazio,0.5
Francesco Rossi,Atalanta,0
