player_name,team_name,Total_Aerial,Won,Lost
Isak Hien,Verona,4.2,2.5,1.7
José Palomino,Atalanta,2.5,1.6,0.9
Ciprian Tatarusanu,AC Milan,0.1,0.1,0.1
Martin Erlic,Sassuolo,3.2,1.8,1.4
Krzysztof Piatek,Salernitana,6.2,2.7,3.5
Nicola Zalewski,Roma,0.6,0.1,0.5
Alessandro Zanoli,Sampdoria,1.3,0.5,0.9
Federico Chiesa,Juventus,0.3,0,0.2
Weston McKennie,Juventus,1.9,0.8,1.1
Alexis Saelemaekers,AC Milan,0.5,0.3,0.2
Pierre Kalulu,AC Milan,2.1,1.1,1
Andrea Cambiaso,Bologna,0.8,0.1,0.8
Juan Musso,Atalanta,0,0,0
Bartlomiej Dragowski,Spezia,0.3,0.3,0
Diego Llorente,Roma,2,1.3,0.7
Sasa Lukic,Torino,2.8,1.4,1.4
Jonathan Ikoné,Fiorentina,1.3,0.4,0.8
Jean-Daniel Akpa Akpro,Empoli,1.4,0.7,0.8
Vanja Milinkovic-Savic,Torino,0.4,0.3,0.1
Luca D'Andrea,Sassuolo,1,0.4,0.6
Frank Tsadjout,Cremonese,6,3,3
Remi Oudin,Lecce,0.8,0.4,0.4
Aleksa Terzic,Fiorentina,0.7,0.3,0.4
Matteo Ruggeri,Atalanta,1.3,0.9,0.4
Merih Demiral,Atalanta,2.9,1.9,1.1
Denso Kasius,Bologna,0.7,0.1,0.6
Ruslan Malinovskyi,Atalanta,0.8,0.3,0.5
Pawel Dawidowicz,Verona,3,1.9,1.2
Matheus Henrique,Sassuolo,1,0.4,0.6
Fodé Ballo-Touré,AC Milan,1.8,1.3,0.5
Lorenzo Pirola,Salernitana,3.3,1.8,1.5
Cyril Ngonge,Verona,3.7,1.2,2.5
Manolo Gabbiadini,Sampdoria,3.3,1.3,2.1
Mile Svilar,Roma,0,0,0
Manuel Lazzari,Lazio,0.8,0.3,0.5
Alessandro Florenzi,AC Milan,0.2,0.2,0
Samuele Perisan,Empoli,0.3,0.1,0.1
Marco Silvestri,Udinese,0.3,0.3,0
Luka Lochoshvili,Cremonese,2.8,1.5,1.3
Ondrej Duda,Verona,1.7,0.7,0.9
Cristian Volpato,Roma,0.3,0.1,0.1
Rogério,Sassuolo,1.5,0.6,0.9
Leonardo Spinazzola,Roma,0.7,0.3,0.3
Filippo Bandinelli,Empoli,0.8,0.3,0.5
Luca Ranieri,Fiorentina,2.8,1.2,1.6
Tommaso Baldanzi,Empoli,0.5,0.1,0.3
Alex Ferrari,Cremonese,1.3,0.9,0.4
Isaac Success,Udinese,2.8,1.3,1.6
Marco Sportiello,Atalanta,0.3,0.3,0
Andrea Colpani,Monza,0.6,0.2,0.4
Gaetano Castrovilli,Fiorentina,1,0.3,0.7
James Abankwah,Udinese,1,1,0
Santiago Ascacíbar,Cremonese,2.4,0.8,1.5
Jeroen Zoet,Spezia,0,0,0
Caleb Okoli,Atalanta,4,2.5,1.5
Matías Vecino,Lazio,1.7,1,0.7
Francesco Caputo,Empoli,2.2,0.8,1.4
Mouhamadou Sarr,Cremonese,0.5,0.5,0
Fabio Depaoli,Sampdoria,0.7,0,0.7
Charalampos Lykogiannis,Bologna,1.6,0.9,0.8
Flavius Daniliuc,Salernitana,2.5,1.4,1
Kevin Agudelo,Spezia,1.3,0.5,0.8
Nadir Zortea,Atalanta,0.7,0.6,0.1
Elseid Hysaj,Lazio,1.4,0.7,0.7
Antonino Gallo,Lecce,1.7,0.8,0.9
Luka Jovic,Fiorentina,2.7,0.9,1.7
Nicolò Fagioli,Juventus,0.3,0,0.3
Mehdi Bourabia,Spezia,1.4,0.6,0.9
Tommaso Augello,Sampdoria,1.9,1,0.9
Soualiho Meïté,Cremonese,1.5,0.9,0.5
Valentino Lazaro,Torino,1.2,0.6,0.6
Mario Pasalic,Atalanta,2.3,1.2,1.1
Andrea Petagna,Monza,2.4,1.3,1.2
Omar Colley,Sampdoria,3.8,1.8,2
Przemyslaw Wisniewski,Spezia,4,2.9,1.1
Pietro Terracciano,Fiorentina,0.2,0.2,0
Simon Kjær,AC Milan,1.9,1.1,0.8
Arkadiusz Reca,Spezia,1.4,0.6,0.7
Alberto Grassi,Empoli,1.5,1,0.4
Matteo Bianchetti,Cremonese,4.1,2.5,1.6
Maxime Lopez,Sassuolo,0.2,0.1,0.1
Duván Zapata,Atalanta,3.4,1.7,1.7
Joakim Mæhle,Atalanta,0.5,0.1,0.4
Emanuel Aiwu,Cremonese,2,1.2,0.8
Bartosz Bereszynski,Napoli,1,0.7,0.3
Matías Soulé,Juventus,1.3,0.2,1.1
Nicola Sansone,Bologna,0.7,0,0.7
Luis Muriel,Atalanta,1.3,0.4,0.9
Giangiacomo Magnani,Verona,2.3,1.4,0.9
Koffi Djidji,Torino,2.9,1.4,1.5
Nadir Zortea,Sassuolo,1.4,0.6,0.8
Gianluca Caprari,Monza,0.7,0.2,0.6
Leonardo Bonucci,Juventus,2.5,1.2,1.4
Josh Doig,Verona,1.8,0.7,1
Sam Lammers,Empoli,2.4,1.3,1.1
Nemanja Radonjic,Torino,0.8,0.3,0.5
Sebastian Walukiewicz,Empoli,1,0.4,0.6
Adama Soumaoro,Bologna,2,1.3,0.7
Bruno Amione,Sampdoria,4.3,2.7,1.7
Josip Brekalo,Fiorentina,1,0,1
Grigoris Kastanos,Salernitana,1.7,0.8,0.9
Adam Masina,Udinese,2.6,1.9,0.8
Roberto Soriano,Bologna,1,0.4,0.6
Zeki Çelik,Roma,1,0.5,0.5
Federico Ceccherini,Verona,2.2,1.4,0.8
Pablo Galdames,Cremonese,0.8,0.3,0.5
Mërgim Vojvoda,Torino,1,0.3,0.6
Luca Caldirola,Monza,2.1,1.1,1
Marco Benassi,Fiorentina,2.5,1.5,1
Enzo Barrenechea,Juventus,1,0.7,0.3
Riccardo Saponara,Fiorentina,0.6,0.3,0.3
Marco Benassi,Cremonese,1.3,0.3,1
Emanuele Valeri,Cremonese,1.1,0.4,0.7
Igor Julio,Fiorentina,2.5,1.4,1
Oliver Abildgaard,Verona,5.5,3.9,1.6
Kingsley Ehizibue,Udinese,1.2,0.6,0.6
Tonny Vilhena,Salernitana,1.3,0.3,1
Ante Rebic,AC Milan,1.2,0.5,0.7
Bram Nuytinck,Udinese,2,1.2,0.8
Danilo D'Ambrosio,Inter,1.1,0.5,0.6
Sofyan Amrabat,Fiorentina,0.8,0.4,0.4
Harry Winks,Sampdoria,0.9,0.3,0.6
Kevin Bonifazi,Bologna,1.9,0.6,1.3
Rui Patrício,Roma,0.1,0.1,0
Alex Cordaz,Inter,0,0,0
