player_name,team_name,Total_Key passes,Long,Short
Luka Jovic,Fiorentina,0.7,0,0.7
Nicolò Fagioli,Juventus,0.6,0.2,0.4
Mehdi Bourabia,Spezia,1,0.1,0.9
Tommaso Augello,Sampdoria,1.2,0.2,1
Soualiho Meïté,Cremonese,0.5,0.1,0.4
Valentino Lazaro,Torino,1.3,0.5,0.8
Mario Pasalic,Atalanta,0.5,0.1,0.4
Andrea Petagna,Monza,1,0,0.9
Omar Colley,Sampdoria,0,0,0
Przemyslaw Wisniewski,Spezia,0.2,0.1,0.1
Pietro Terracciano,Fiorentina,0,0,0
Simon Kjær,AC Milan,0,0,0
Arkadiusz Reca,Spezia,0.8,0.1,0.7
Alberto Grassi,Empoli,0.2,0,0.2
Matteo Bianchetti,Cremonese,0.2,0.1,0.1
Maxime Lopez,Sassuolo,1.1,0.2,0.9
Duván Zapata,Atalanta,0.7,0.1,0.6
Joakim Mæhle,Atalanta,1.1,0,1.1
Emanuel Aiwu,Cremonese,0.2,0.1,0.1
Bartosz Bereszynski,Napoli,0.7,0,0.7
Matías Soulé,Juventus,0.7,0.1,0.6
Nicola Sansone,Bologna,0.4,0.1,0.3
Luis Muriel,Atalanta,1.3,0.3,1
Giangiacomo Magnani,Verona,0.2,0,0.2
Koffi Djidji,Torino,0.1,0,0.1
Nadir Zortea,Sassuolo,0.7,0.1,0.6
Gianluca Caprari,Monza,0.8,0.1,0.7
Leonardo Bonucci,Juventus,0.2,0.2,0.1
Josh Doig,Verona,0.5,0.1,0.5
Sam Lammers,Empoli,0.7,0,0.7
Nemanja Radonjic,Torino,0.6,0.2,0.5
Sebastian Walukiewicz,Empoli,0.1,0,0.1
Adama Soumaoro,Bologna,0,0,0
Bruno Amione,Sampdoria,0.1,0,0.1
Josip Brekalo,Fiorentina,1.3,0,1.3
Grigoris Kastanos,Salernitana,0.5,0.1,0.4
Adam Masina,Udinese,0.1,0.1,0.1
Roberto Soriano,Bologna,0.7,0.1,0.7
Zeki Çelik,Roma,0.7,0,0.6
Federico Ceccherini,Verona,0.2,0.1,0.1
Pablo Galdames,Cremonese,0.8,0.3,0.5
Mërgim Vojvoda,Torino,0.8,0.1,0.7
Luca Caldirola,Monza,0.1,0,0.1
Marco Benassi,Fiorentina,0.5,0,0.5
Enzo Barrenechea,Juventus,0.3,0,0.3
Riccardo Saponara,Fiorentina,0.7,0.1,0.6
Marco Benassi,Cremonese,0.5,0.1,0.3
Emanuele Valeri,Cremonese,1.5,0.3,1.1
Igor Julio,Fiorentina,0.1,0,0.1
Oliver Abildgaard,Verona,0.5,0,0.5
Kingsley Ehizibue,Udinese,0.3,0.1,0.2
Tonny Vilhena,Salernitana,0.6,0.1,0.5
Ante Rebic,AC Milan,0.6,0.1,0.5
Bram Nuytinck,Udinese,0,0,0
Danilo D'Ambrosio,Inter,0.5,0.1,0.4
Sofyan Amrabat,Fiorentina,0.4,0.1,0.3
Harry Winks,Sampdoria,0.8,0.2,0.6
Kevin Bonifazi,Bologna,0.2,0,0.2
Rui Patrício,Roma,0,0,0
Alex Cordaz,Inter,0,0,0
Michele Castagnetti,Cremonese,1,0.2,0.8
Jayden Braaf,Verona,0.3,0,0.3
Kelvin Amian,Spezia,0.6,0.1,0.5
Joshua Zirkzee,Bologna,0.8,0.1,0.8
Milan Skriniar,Inter,0.3,0,0.2
Abdelhamid Sabiri,Sampdoria,0.8,0.2,0.6
Filip Djuricic,Sampdoria,1.1,0.2,0.8
Daniel Maldini,Spezia,0.2,0.1,0.2
Tommaso De Nipoti,Atalanta,0,0,0
Robin Gosens,Inter,0.5,0,0.5
William Troost-Ekong,Salernitana,0,0,0
Giacomo Raspadori,Napoli,0.7,0.1,0.6
Bartosz Bereszynski,Sampdoria,0.2,0.1,0.1
Sam Lammers,Sampdoria,0.7,0.1,0.6
Salvatore Esposito,Spezia,0.8,0.3,0.5
Liberato Cacace,Empoli,0.7,0.2,0.5
Assan Ceesay,Lecce,0.2,0,0.2
Davide Faraoni,Verona,0.5,0,0.4
Karol Linetty,Torino,0.6,0.1,0.6
Paul Pogba,Juventus,0.3,0,0.3
Marcos Antônio,Lazio,0.2,0,0.2
Petar Stojanovic,Empoli,0.7,0.1,0.6
Koray Günter,Sampdoria,0.2,0.1,0.1
Koni De Winter,Empoli,0.1,0.1,0.1
Tommaso Pobega,AC Milan,0.3,0,0.3
Yann Karamoh,Torino,0.5,0,0.5
Zlatan Ibrahimovic,AC Milan,0.3,0,0.3
Leandro Paredes,Juventus,0.8,0.5,0.3
Nedim Bajrami,Sassuolo,0.8,0.1,0.7
Filippo Ranocchia,Monza,0.5,0.2,0.3
Adrien Tameze,Verona,0.6,0.1,0.5
Sergiño Dest,AC Milan,0.5,0,0.5
Dylan Bronn,Salernitana,0.2,0,0.2
Jean-Victor Makengo,Udinese,0.3,0,0.3
Alfred Duncan,Fiorentina,0.6,0.1,0.5
Mattia De Sciglio,Juventus,0.5,0.1,0.4
Mattia Caldara,Spezia,0.1,0.1,0
Gary Medel,Bologna,0.2,0,0.2
Tomás Rincón,Sampdoria,0.6,0,0.6
Miguel Veloso,Verona,0.9,0.5,0.5
Fabio Miretti,Juventus,0.6,0.1,0.4
Luca Zanimacchia,Cremonese,0.9,0.1,0.8
Joan González,Lecce,0.4,0,0.4
Riccardo Sottil,Fiorentina,0.8,0.1,0.7
Domagoj Bradaric,Salernitana,0.5,0.1,0.5
Filippo Terracciano,Verona,0.4,0.1,0.3
Joaquín Correa,Inter,0.6,0,0.6
Thomas Henry,Verona,0.8,0.1,0.8
Antonín Barák,Fiorentina,0.7,0,0.7
Marko Pjaca,Empoli,0.6,0.2,0.4
Pedro Obiang,Sassuolo,0.2,0.1,0.1
Cyriel Dessers,Cremonese,0.9,0,0.9
Andrea Pinamonti,Sassuolo,0.5,0.1,0.4
Petar Zovko,Spezia,0,0,0
Charles De Ketelaere,AC Milan,0.6,0.1,0.6
Emil Bohinen,Salernitana,0.5,0,0.5
Brandon Soppy,Atalanta,0.7,0.1,0.6
Fabio Depaoli,Verona,0.5,0.1,0.4
Alex Ferrari,Sampdoria,0.3,0,0.3
Jeremy Toljan,Sassuolo,0.7,0.1,0.6
Federico Di Francesco,Lecce,0.7,0.1,0.6
Albin Ekdal,Spezia,0.3,0,0.3
Paolo Ghiglione,Cremonese,0.9,0.3,0.5
Lameck Banda,Lecce,0.4,0,0.4
Diego Coppola,Verona,0,0,0
Dimitrios Nikolaou,Spezia,0.3,0.1,0.2
David Zima,Torino,0.2,0,0.2
Hamed Traorè,Sassuolo,1.5,0.2,1.4
Roberto Piccoli,Empoli,0.3,0,0.3
Samuel Iling-Junior,Juventus,0.4,0,0.4
Martin Hongla,Verona,0.3,0,0.3
José Machín,Monza,0.4,0,0.4
Juan Cabal,Verona,0.2,0,0.2
Adam Ounas,Napoli,0,0,0
Cristian Buonaiuto,Cremonese,0.6,0.2,0.4
Gianluca Gaetano,Napoli,0.1,0,0.1
Mady Camara,Roma,0.2,0,0.2
Michaël Cuisance,Sampdoria,0.5,0.1,0.4
Rick Karsdorp,Roma,0.5,0,0.5
Jacopo Fazzini,Empoli,0.4,0,0.4
