player_name,team_name,CaughtOffside
Arkadiusz Reca,Spezia,0.1
Alberto Grassi,Empoli,0
Matteo Bianchetti,Cremonese,0
Maxime Lopez,Sassuolo,0
Duván Zapata,Atalanta,0.3
Joakim Mæhle,Atalanta,0.2
Emanuel Aiwu,Cremonese,0
Bartosz Bereszynski,Napoli,0
Matías Soulé,Juventus,0
Nicola Sansone,Bologna,0.6
Luis Muriel,Atalanta,0.1
Giangiacomo Magnani,Verona,0
Koffi Djidji,Torino,0
Nadir Zortea,Sassuolo,0
Gianluca Caprari,Monza,0.2
Leonardo Bonucci,Juventus,0.1
Josh Doig,Verona,0.1
Sam Lammers,Empoli,0.1
Nemanja Radonjic,Torino,0.4
Sebastian Walukiewicz,Empoli,0
Adama Soumaoro,Bologna,0
Bruno Amione,Sampdoria,0
Josip Brekalo,Fiorentina,0
Grigoris Kastanos,Salernitana,0
Adam Masina,Udinese,0
Roberto Soriano,Bologna,0.1
Zeki Çelik,Roma,0.1
Federico Ceccherini,Verona,0
Pablo Galdames,Cremonese,0
Mërgim Vojvoda,Torino,0.1
Luca Caldirola,Monza,0
Marco Benassi,Fiorentina,0
Enzo Barrenechea,Juventus,0
Riccardo Saponara,Fiorentina,0.2
Marco Benassi,Cremonese,0
Emanuele Valeri,Cremonese,0.1
Igor Julio,Fiorentina,0
Oliver Abildgaard,Verona,0
Kingsley Ehizibue,Udinese,0
Tonny Vilhena,Salernitana,0
Ante Rebic,AC Milan,0.3
Bram Nuytinck,Udinese,0
Danilo D'Ambrosio,Inter,0
Sofyan Amrabat,Fiorentina,0
Harry Winks,Sampdoria,0.1
Kevin Bonifazi,Bologna,0.1
Rui Patrício,Roma,0
Alex Cordaz,Inter,0
Michele Castagnetti,Cremonese,0
Jayden Braaf,Verona,0.5
Kelvin Amian,Spezia,0
Joshua Zirkzee,Bologna,0.1
Milan Skriniar,Inter,0
Abdelhamid Sabiri,Sampdoria,0
Filip Djuricic,Sampdoria,0
Daniel Maldini,Spezia,0
Tommaso De Nipoti,Atalanta,0
Robin Gosens,Inter,0.1
William Troost-Ekong,Salernitana,0
Giacomo Raspadori,Napoli,0
Bartosz Bereszynski,Sampdoria,0
Sam Lammers,Sampdoria,0.1
Salvatore Esposito,Spezia,0.1
Liberato Cacace,Empoli,0
Assan Ceesay,Lecce,0.6
Davide Faraoni,Verona,0.2
Karol Linetty,Torino,0.1
Paul Pogba,Juventus,0
Marcos Antônio,Lazio,0
Petar Stojanovic,Empoli,0
Koray Günter,Sampdoria,0
Koni De Winter,Empoli,0
Tommaso Pobega,AC Milan,0
Yann Karamoh,Torino,0.6
Zlatan Ibrahimovic,AC Milan,0
Leandro Paredes,Juventus,0
Nedim Bajrami,Sassuolo,0.3
Filippo Ranocchia,Monza,0
Adrien Tameze,Verona,0
Sergiño Dest,AC Milan,0
Dylan Bronn,Salernitana,0
Jean-Victor Makengo,Udinese,0
Alfred Duncan,Fiorentina,0
Mattia De Sciglio,Juventus,0
Mattia Caldara,Spezia,0.1
Gary Medel,Bologna,0
Tomás Rincón,Sampdoria,0
Miguel Veloso,Verona,0
Fabio Miretti,Juventus,0.1
Luca Zanimacchia,Cremonese,0.1
Joan González,Lecce,0.1
Riccardo Sottil,Fiorentina,0.3
Domagoj Bradaric,Salernitana,0.1
Filippo Terracciano,Verona,0
Joaquín Correa,Inter,0.1
Thomas Henry,Verona,0.6
Antonín Barák,Fiorentina,0.1
Marko Pjaca,Empoli,0.1
Pedro Obiang,Sassuolo,0
Cyriel Dessers,Cremonese,0.9
Andrea Pinamonti,Sassuolo,0.3
Petar Zovko,Spezia,0
Charles De Ketelaere,AC Milan,0.1
Emil Bohinen,Salernitana,0
Brandon Soppy,Atalanta,0.1
Fabio Depaoli,Verona,0.1
Alex Ferrari,Sampdoria,0
Jeremy Toljan,Sassuolo,0
Federico Di Francesco,Lecce,0.4
Albin Ekdal,Spezia,0
Paolo Ghiglione,Cremonese,0.1
Lameck Banda,Lecce,0.3
Diego Coppola,Verona,0
Dimitrios Nikolaou,Spezia,0
David Zima,Torino,0
Hamed Traorè,Sassuolo,0.1
Roberto Piccoli,Empoli,0.3
Samuel Iling-Junior,Juventus,0
Martin Hongla,Verona,0
José Machín,Monza,0
Juan Cabal,Verona,0.1
Adam Ounas,Napoli,0
Cristian Buonaiuto,Cremonese,0
Gianluca Gaetano,Napoli,0
Mady Camara,Roma,0
Michaël Cuisance,Sampdoria,0.1
Rick Karsdorp,Roma,0.1
Jacopo Fazzini,Empoli,0
Samuel Ntanda,Sampdoria,0
Daniel Ciofani,Cremonese,0.2
Marvin Zeegelaar,Udinese,0.1
Marlon,Monza,0
Nedim Bajrami,Empoli,0.2
Adolfo Gaich,Verona,0.3
Edoardo Bove,Roma,0
Festy Ebosele,Udinese,0
Luca Pellegrini,Lazio,0
Matteo Gabbia,AC Milan,0
Daniele Verde,Spezia,0.1
Martín Satriano,Empoli,0.2
Axel Guessand,Udinese,0
Pietro Ceccaroni,Lecce,0
Charles Pickel,Cremonese,0.1
Samuele Birindelli,Monza,0.1
Matías Viña,Roma,0
Moise Kean,Juventus,0.3
Junior Sambia,Salernitana,0
Divock Origi,AC Milan,0.2
Ruan Tressoldi,Sassuolo,0
Ola Solbakken,Roma,0
Ibrahim Sulemana,Verona,0.1
Lorenzo Venuti,Fiorentina,0.1
Domen Crnigoj,Salernitana,0
Andrea Consigli,Sassuolo,0
Enzo Ebosse,Udinese,0.1
Abdou Harroui,Sassuolo,0
Alessandro Zanoli,Napoli,0
Vincenzo Fiorillo,Salernitana,0
Giuseppe Pezzella,Lecce,0.1
Ilija Nestorovski,Udinese,0.2
Gian Marco Ferrari,Sassuolo,0
Emanuel Vignato,Empoli,0
Brian Bayeye,Torino,0
Gianluca Pegolo,Sassuolo,0
Lorenzo Colombo,Lecce,0.2
Kristian Thorstvedt,Sassuolo,0
Franco Carboni,Monza,0
Raoul Bellanova,Inter,0.1
Jaime Báez,Cremonese,0.5
Eldor Shomurodov,Spezia,0.1
Yayah Kallon,Verona,0.2
Giovanni Simeone,Napoli,0
Andreaw Gravillon,Torino,0
Tolgay Arslan,Udinese,0
Valerio Verre,Sampdoria,0.1
Michel Adopo,Torino,0
Lorenzo De Silvestri,Bologna,0.1
Nicolas Haas,Empoli,0
Giulio Maggiore,Salernitana,0
Mario Gila,Lazio,0
Federico Bonazzoli,Salernitana,0.3
Roberto Gagliardini,Inter,0
Gonzalo Escalante,Cremonese,0
Samuele Vignato,Monza,0
Luka Romero,Lazio,0
Francesco Rossi,Atalanta,0
Benjamin Tahirovic,Roma,0
Joaquín Sosa,Bologna,0
Yacine Adli,AC Milan,0.2
Szymon Zurkowski,Spezia,0
Emmanuel Gyasi,Spezia,0.7
Szymon Zurkowski,Fiorentina,0
Mattia Valoti,Monza,0.1
Kristjan Asllani,Inter,0
Andrea Belotti,Roma,0.2
Tanguy Ndombélé,Napoli,0
Jeison Murillo,Sampdoria,0
Kaan Ayhan,Sassuolo,0
Kevin Lasagna,Verona,0.6
Nicolò Cocetta,Udinese,0
Tommaso Cassandro,Lecce,0
Demba Seck,Torino,0.3
Simone Romagnoli,Lecce,0
Ignacio Pussetto,Sampdoria,0
Alberto Basso,Cremonese,0
Filippo Missori,Roma,0
Toma Basic,Lazio,0
Lukas Vorlicky,Atalanta,0
Liam Henderson,Empoli,0.1
Nicolò Zaniolo,Roma,0.3
Kristoffer Askildsen,Lecce,0
Giacomo Quagliata,Cremonese,0
Florian Thauvin,Udinese,0.1
Alessio Zerbin,Napoli,0.1
Pietro Pellegri,Torino,0.4
Petko Hristov,Spezia,0
Andrea Barberis,Monza,0
Emil Ceïde,Sassuolo,0.1
Grégoire Defrel,Sassuolo,0.2
Viktor Kovalenko,Spezia,0.1
Salvatore Molina,Monza,0
Tiémoué Bakayoko,AC Milan,0
Tio Cipot,Spezia,0
Emanuel Vignato,Bologna,0
Erik Botheim,Salernitana,0.1
Simone Pafundi,Udinese,0
Emirhan Ilkhan,Torino,0
Youssef Maleh,Lecce,0.2
Ronaldo Vieira,Sampdoria,0
Michel Aebischer,Bologna,0.2
Agustín Álvarez,Sassuolo,0.1
Mato Jajalo,Udinese,0
Warren Bondo,Monza,0
Diego Demme,Napoli,0
Jesé,Sampdoria,0.2
Niklas Pyyhtiä,Bologna,0
Francesco Caputo,Sampdoria,0.7
Marash Kumbulla,Roma,0
Aster Vranckx,AC Milan,0
Ivan Radovanovic,Salernitana,0
Kristijan Bistrovic,Lecce,0.1
Nicolò Rovella,Juventus,0
Fabio Quagliarella,Sampdoria,0.3
Salvador Ferrer,Spezia,0
Gerard Yepes,Sampdoria,0
Jack Hendry,Cremonese,0
Matteo Lovato,Salernitana,0
Emirhan Ilkhan,Sampdoria,0
Mattia Destro,Empoli,0.4
Nicola Murru,Sampdoria,0.1
Valentin Antov,Monza,0
João Moutinho,Spezia,0
Antonio Iervolino,Salernitana,0
Giulio Donati,Monza,0
Thórir Helgason,Lecce,0
Youssef Maleh,Fiorentina,0
Matteo Cancellieri,Lazio,0.3
Marios Oikonomou,Sampdoria,0
Alessandro Cortinovis,Verona,0
Antonio Mirante,AC Milan,0
Jordan Majchrzak,Roma,0
Alessandro Bianco,Fiorentina,0
Mert Müldür,Sassuolo,0
Tommaso Milanese,Cremonese,0
Riccardo Marchizza,Sassuolo,0.1
Hans Nicolussi Caviglia,Salernitana,0
Roberto Piccoli,Verona,0.6
Leandro Sanca,Spezia,0
Marco D'Alessandro,Monza,0.1
Daniele Montevago,Sampdoria,0.7
Eldor Shomurodov,Roma,0.3
Ronaldo Vieira,Torino,0
Gonzalo Villar,Sampdoria,0
Diego Valencia,Salernitana,0
Flavio Paoletti,Sampdoria,0
Lorenzo Malagrida,Sampdoria,0
Tommaso Barbieri,Juventus,0
Christian Gytkjær,Monza,0.5
Filippo Romagna,Sassuolo,0
Marcin Listkowski,Lecce,0
Joel Voelkerling Persson,Lecce,0
Vivaldo Semedo,Udinese,0
Felix Afena-Gyan,Cremonese,0.3
