,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
264,264,Fabio Miretti,,20, AM(C),14(13),1233,0,2,2,0,0.7,73.5,0.4,0,6.39,0.9,0.1,0.9,0,0.3,0.6,0,0,0.6,0.7,1,0.1,1,1.5,17.6,0.3,0.5,0,2.01,-2.01,0.15,20,0.1
265,265,Joan González,,22, M(C),26(9),2212,1,3,8,0,0.5,79.0,0.9,1,6.39,1.4,0.5,1,0.1,0.7,1,0.2,1,0.4,0.5,1.3,0.1,0.7,1.4,21.1,0.1,0.7,0,1.85,-0.85,0.08,17,0.11
266,266,Domagoj Bradaric,,24," D(L),M(L)",24(7),2254,0,3,5,0,0.2,78.9,0.5,0,6.39,0.8,0.7,0.5,0.1,1.3,0.3,0.2,0,0.5,0.5,0.6,0.1,0.3,0.9,28.1,0.4,1.1,0,0.19,-0.19,0.01,7,0.03
267,267,Filippo Terracciano,,21," D(L),M(R)",7(13),816,0,1,2,0,0.3,72.6,0.8,0,6.39,1,0.5,0.4,0,0.6,0.3,0.2,0,0.4,0.3,0.9,0,0.2,0.9,13.7,0.3,0.7,0.1,0.12,-0.12,0.01,5,0.02
268,268,Joaquín Correa,,29," AM(CL),FW",12(14),947,3,1,1,0,0.8,80.4,0.2,0,6.39,0.5,0.1,0.5,0,0,0.4,0,0,0.6,0.5,0.7,0.1,0.6,1.1,10.6,0,0.3,0.1,3.17,-0.17,0.3,22,0.14
269,269,Antonín Barák,,29, AM(CR),21(9),1807,2,0,4,0,1.1,83.5,0.6,0,6.38,0.7,0.1,0.4,0,0.4,0.3,0.1,0,0.7,0.6,0.6,0.1,0.9,1.1,23.2,0.1,1,0,2.08,-0.08,0.1,32,0.06
270,270,Cyriel Dessers,,29, FW,19(7),1595,6,2,3,0,1.9,65.3,0.6,0,6.38,0.4,0.1,1.3,0,0.2,0.2,0.1,0,0.9,0.5,0.5,0.9,0.8,2.3,10.3,0.1,0.2,0,6.81,-0.81,0.38,50,0.14
271,271,Andrea Pinamonti,,24, FW,25(7),2174,5,0,3,1,2.1,66.9,1.1,0,6.38,0.3,0.1,0.7,0,0.3,0.1,0.1,0,0.5,0.3,1,0.3,1.8,1.9,15,0.1,0.2,0,6.59,-1.59,0.27,67,0.1
272,272,Charles De Ketelaere,,23," M(CLR),FW",9(23),1102,0,1,2,0,0.6,79.4,0.6,0,6.38,0.8,0.1,0.6,0,0.3,0.5,0.1,0,0.6,1.1,0.5,0.1,0.9,0.8,11.4,0,0.2,0.1,2.46,-2.46,0.2,19,0.13
273,273,Emil Bohinen,,25, DMC,9(15),825,0,0,0,0,0.2,84.8,0.5,0,6.38,1,0.7,0.6,0,0.8,0.5,0.3,0,0.5,0.3,0.5,0,0.4,0.4,19.8,0,0.4,0,0.16,-0.16,0.02,4,0.04
