player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Federico Gatti,Juventus,52.4,4.2,3.5,40.4,4.3
Michele Cerofolini,Fiorentina,33.6,7.4,9.4,16.8,0
André Onana,Inter,38,6.1,7.6,24,0.3
Lassana Coulibaly,Salernitana,33.1,1,0.8,26.9,4.5
Federico Baschirotto,Lecce,37,3.3,4.8,24.1,4.8
Rolando Mandragora,Fiorentina,31.1,2.3,1.4,23.9,3.4
Berat Djimsiti,Atalanta,44.9,1.6,2.1,37.5,3.7
Norbert Gyömbér,Salernitana,27.2,1.3,1.8,21.5,2.6
Éderson,Atalanta,30.6,1.8,1,23.3,4.6
Alex Sandro,Juventus,44.6,2.9,1.5,36.2,4.1
Lazar Samardzic,Udinese,21.4,2.3,1,16,2.2
Marko Arnautovic,Bologna,21.3,0.5,0.4,14.9,5.5
Jerdy Schouten,Bologna,45.2,1.4,0.8,38,5
Nicolò Casale,Lazio,55.6,2.9,1.1,48.2,3.3
Giacomo Bonaventura,Fiorentina,28.7,1.2,0.6,23.4,3.5
Alex Meret,Napoli,23.8,3.5,3.1,17,0.2
Denzel Dumfries,Inter,22.3,0.7,0.8,16.9,3.9
Arkadiusz Milik,Juventus,16.3,0.4,0.2,12.4,3.3
Henrikh Mkhitaryan,Inter,33.1,1.5,0.4,27.8,3.5
Daniele Rugani,Juventus,29.1,1,2.1,24.7,1.3
Alessandro Bastoni,Inter,53,4.6,3.5,40.6,4.2
Adam Marusic,Lazio,48,1.9,1.5,40.1,4.5
Samir Handanovic,Inter,36.3,5.1,3.5,27.6,0.1
Antonio Candreva,Salernitana,35.7,2,2.2,26.4,5.1
Ola Aina,Torino,21.5,0.7,1.5,15.7,3.5
Alessandro Tuia,Lecce,29,3.1,4.9,17,4
Perr Schuurs,Torino,39.8,1.9,1.3,33.2,3.4
Andrea Ranocchia,Monza,19,2,1,14,2
Bram Nuytinck,Sampdoria,34.3,1.8,2.1,27.5,2.9
Rasmus Højlund,Atalanta,13.3,0.3,0.1,9.5,3.3
Hans Hateboer,Atalanta,32.4,1,1.2,25.5,4.8
Gianluca Mancini,Roma,45.1,3.2,4.2,33.9,3.9
