Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Bryan Gil,Sevilla,23,AM(CLR),10(7),921,2,2,4,0,1,82.2,0.2,0,6.53,1.3,0.5,1.1,0,0.5,0.8,0,0,1,0.5,1.1,1.2,0.2,1.1,1.8,18.2,0.2,0,0,3.43,-1.43,0.34,17,0.2
Rubén Peña,Osasuna,32,"D(LR),M(LR),FW",14(6),1282,0,1,2,1,0.6,73.2,0.7,1,6.53,1.6,0.9,1.3,0.2,1.2,1.1,0.4,0,0.6,0.5,1,0.7,0,0.7,1.6,22.8,0.4,1,0,0.94,-0.94,0.07,12,0.08
Lucas Rosa,Real Valladolid,24,Defender,11(6),930,0,1,3,0,0.4,74.7,0.9,0,6.53,2.3,0.9,1.1,0.1,1.1,0.5,0.1,0,0.4,0.6,0.5,0.6,0.1,0.4,0.8,17.6,0.5,0.5,0.1,0.69,-0.69,0.07,6,0.11
Djené Dakonam,Getafe,32,"D(CR),DMC",33,2847,0,1,10,1,0.3,77.5,1.6,0,6.53,1.2,1.3,1.5,0.7,2.3,0.5,0.3,0,0.3,0.2,0.5,1.2,0,0.5,0.7,33.4,0.3,2,0,0.36,-0.36,0.01,9,0.04
Diego Mariño,Almeria,33,GK,0(1),45,0,0,0,0,0,85.7,0,0,6.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,,,,,
Iker Benito,Osasuna,21,Forward,2(2),176,0,0,0,0,0,77.1,0.3,0,6.53,1,0.5,0.5,0,0.8,0.5,0,0,0,0.8,0.8,0.5,0.3,0.5,0.8,8.8,0.8,0.3,0,,,,,
Julen Agirrezabala,Athletic Club,23,GK,7(1),675,0,0,0,0,0,66.8,0.1,0,6.53,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,26,0,5.3,0,,,,,
Srdjan Babic,Almeria,28,D(C),33(1),2999,3,0,5,0,0.3,85.8,2.1,0,6.53,0.8,0.9,0.7,1.2,3.6,0.5,0.6,0,0.3,0.2,0.1,0.3,0.1,0.1,0.3,40,0,2.4,0,1.45,1.55,0.04,9,0.16
Marcos Alonso,Barcelona,33,"D(CL),M(L)",11(13),1163,1,0,3,0,0.3,90.9,1.1,0,6.53,0.6,0.5,0.4,0.7,1.3,0.1,0.4,0,0.3,0.3,0.1,0.3,0,0,0.3,40.2,0.3,2.1,0,0.91,0.09,0.07,6,0.15
Antonio Rüdiger,Real Madrid,31,D(CLR),26(7),2411,1,0,1,0,0.7,92.1,1.1,0,6.53,0.5,0.6,0.4,0.3,2.1,0.3,0.4,0,0.7,0.1,0.1,0.2,0.1,0.1,0.2,48.2,0,1.9,0.1,1.66,-0.66,0.06,22,0.08
Rodrigo Ely,Almeria,30,D(C),36,3158,0,1,8,1,0.5,81.5,2.2,0,6.52,0.8,0.9,0.7,1.1,5.6,0.2,0.9,1,0.5,0.2,0.1,0.4,0.1,0.1,0.4,40.7,0,3.1,0.1,0.79,-0.79,0.02,19,0.04
Monchu,Real Valladolid,24,DMC,24(10),2030,3,2,10,0,1.1,83.2,0.5,1,6.52,1.5,0.5,1.4,0,0.5,0.8,0.3,0,1.1,0.7,0.3,0.8,0,0.4,1,28.5,0.8,2.8,0.1,2.21,0.79,0.1,39,0.06
Joaquín Fernández,Real Valladolid,27,"D(C),DMC",24(3),2158,1,0,4,0,0.4,83.2,2,1,6.52,1.3,1,0.6,0.5,3.6,0.4,0.8,1,0.4,0.1,0,0.4,0.1,0,0.3,36.3,0,2.7,0,0.8,0.2,0.03,10,0.08
Jaume Costa,Mallorca,36,"D(LR),M(L)",30(2),2610,0,1,11,0,0.3,74.7,0.9,0,6.52,1.6,0.7,1.4,0.1,1.2,0.7,0.2,0,0.3,1,0.3,1,0.2,0.3,0.7,27.6,0.8,1.2,0,1.79,-1.79,0.06,11,0.16
Jorge Meré,Cadiz,27,D(C),6(4),600,0,0,0,0,0.4,83.3,1.6,0,6.52,1.1,0.6,0.1,0.7,3.1,0.3,0.6,0,0.4,0,0,0.3,0,0.1,0.3,21.5,0,1.5,0,0.23,-0.23,0.03,4,0.06
Yan Couto,Girona,21,"D(R),M(R)",12(13),1154,1,2,3,0,0.3,78.8,0,0,6.52,1,0.2,0.5,0.1,0.4,0.3,0.1,0,0.3,0.8,1.1,0.6,0.1,0.5,1,18.7,0.6,0.7,0,0.39,0.61,0.03,8,0.05
