,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
26,블루닷㈜,딥러닝 개발자,"경력6년↑,대졸↑,정규직,,서울 강남구,~04/24(수)","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/GI_Read/44306492?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=27
27,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다.","경력무관,박사↑,프리랜서,,서울 서초구,상시채용","대학(교)교직원, 교육진행",https://www.jobkorea.co.kr/Recruit/GI_Read/44225014?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=28
28,비타,python 백앤드 딥러닝,"경력3년↑,학력무관,정규직,,경기 성남시,~04/12(금)","솔루션, Python, 서버관리, 데이터분석, 분석모델링, DataMining, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44208413?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=29
29,㈜한다랩,[(주)한다랩] 딥러닝/프론트엔드/백엔드 각 부문 개발자 채용,"신입·경력2년↑,학력무관,정규직,,충북 청주시,상시채용","GUI, SI개발, 솔루션, SI, 서버관리, SI개발, ERP, 인터페이스, 아키텍처, 시스템설계, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44140678?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=30
30,㈜테서,의료 텍스트 자연어처리(NLP) 딥러닝 연구원(전문연구요원 가능),"경력무관,대졸↑,정규직 외,,서울 강남구,상시채용","BigData, 솔루션, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44104139?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=31
31,㈜헥토이노베이션,헥토이노베이션 직군별 인재 모집(플랫폼기획/광고영업/마이데이터/정보보안/시스템운영/글로벌구독/재무회계),"경력,학력무관,정규직,,서울 강남구,~04/30(화)","딥러닝, 관리회계, 수행기사, 빅데이터, 기업홍보, 데이터관리, 안드로이드, 재무회계, 기업홍보, 데이터레이크, 인터페이스, UI·UX기획, 시장조사, 프로모션, 데이터분석, 영상제작, 음성인식, SI개발, 키워드광고, 프로모션, DBMS, 모바일, 데이터시각화, 브랜드기획, 신사업기획, 자금관리, 브랜딩, 제안·컨설팅, 데이터분석, 서버관리, 인공지능, 재무분석, 챗봇, 재무회계, BI, 제휴마케팅, 매출관리, 모델링, 모바일App, 사업기획, 영어, 모바일디자인, 앱기획, 온라인영업, SI개발, UI·UX기획, 결산, 바이럴마케팅, 재무기획, 오프라인영업, 콘텐츠기획, 결산, 고객관리, 증강현실, 데이터분석, 전략기획, 콘텐츠기획, 스토리보드, 시장분석, 입출금관리, 분석모델링, 브랜드기획, 전략기획, SNS마케팅, 모델링, GUI, 데이터마이닝, 챗봇, SNS마케팅, 언론홍보, 전표입력, 키워드광고, 프로모션, 핀테크, 서비스기획, 재무기획, 콘텐츠기획, 핀테크, 경영기획, 가상현실, 디지털마케팅, 배너광고, 핀테크, 데이터파이프라인, 시장분석, 데이터분석, 이벤트기획, DB튜닝",https://www.jobkorea.co.kr/Recruit/GI_Read/44384259?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=32
32,안전성평가연구소,제2024-1차 정규직 채용 공고,"신입·경력,초대졸↑,정규직,,대전 유성구,~04/18(목)","딥러닝, 임상병리사, 품질보증, 바이오, 검증, 환경, 데이터분석, 인공지능, 화학·섬유, 공공기관, 환경측정, 미생물, 의약외품연구, 대기환경, 모델링, 수질환경, 연구기획, 제약·바이오R&D, 연구·실험·기술, 공무원, 약사, 환경관리, 미생물, 토양환경",https://www.jobkorea.co.kr/Recruit/GI_Read/44371928?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=33
33,㈜오누이,[에듀테크 스타트업 오누이/설탭] 분야별 채용,"신입·경력,학력무관,정규직 외,,서울 마포구 외,상시채용","딥러닝, API, Python, 데이터 분석, 세일즈, 아키텍쳐, 웹 서비스, AI, PyTorch, WebAPI, Vitest, 딥러링, 문서작성, 전산입력, 사이트관리, SNS마케팅, 바이럴마케팅, 디지털마케팅, 제휴마케팅, SNS마케팅, SNS마케팅, SNS마케팅, 데이터분석, 웹표준·웹접근성, 국내영업, 고객관리, 영업기획, 데이터분석, 영업전략, 게시판관리, 고객지원, 기술상담, 온라인상담, 원격상담, 전화상담, 채팅상담, A·S상담, 회원관리, 전화상담, 텔레마케팅, CS교육, 콜통계분석, 고객문의분석, 상담품질관리, 통화품질분석, 교육상담, 학원운영, 일반학원, 학생관리",https://www.jobkorea.co.kr/Recruit/GI_Read/44334468?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=34
34,㈜안랩,2024 안랩 상반기 신입/Junior 공개채용,"신입·경력,대졸↑,정규직,,경기 성남시,~04/14(일)","딥러닝, CSS, Java, Linux, MySQL, Oracle, Python, Windows, 악성코드 분석, 침해사고 분석, CISSP, CISA, Cloud, Cross platform, CSTE, ElasticSearch, ISTQB, ISO 27001, MAC, kafka, Network, MacOS, OS, PIA, postgresql, Redis, React, SIEM, Vue, ISMS-P, Microsoft365, 리눅스 커널 모드, Windows Agent, 앤드포인트 보안, 리버싱 가능, 어셈블리 언어, MSA Architecture, 데이터 유출 관련, 디지털 포렌식 분석, 네트워크보안, 백신프로그램, 보안소프트웨어, 보안컨설팅, 정보보안, 서비스기획, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터레이크, 데이터분석, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 자연어처리(NLP), 이미지프로세싱, 챗봇, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/GI_Read/44346864?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=35
35,㈜이스트소프트,[ESTsoft] 각부문별 부트캠프 과정 교육생 모집,"신입,학력무관,연수생/교육생,,서울 서초구,~04/10(수)","딥러닝, 소프트웨어개발, 솔루션, asp, 사업기획, 데이터분석, 브랜드기획, 신사업기획, 연구기획, 전략기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 데이터분석, 전략기획, 콘텐츠기획, PM, PO, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, 증강현실, 가상현실, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, 데이터관리, DB튜닝, DW모델러, 빅데이터, 데이터레이크, 데이터분석, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, UI·UX기획",https://www.jobkorea.co.kr/Recruit/GI_Read/44327033?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=36
