,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
28,(주)모빌린트,[전문연구요원 가능] Deep Learning Research Engineer,"서울,강남구,신입·경력,석사↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45393244&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
29,(주)에프에스솔루션,[경력] 컴퓨터비전/딥러닝알고리즘 개발(ADAS/DMS/Surveillance),"경기,성남시 수정구,경력3년↑,대졸↑,정규직","딥러닝,머신러닝,신경망,알고리즘,영상처리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47803589&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
30,(주)한다랩,[(주)한다랩] 딥러닝/프론트엔드/백엔드 각 부문 개발자 채용,"충북,청주시 흥덕구,신입·경력,학력무관,정규직","딥러닝,백엔드/서버개발,웹개발,프론트엔드,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47704608&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
31,(주)에이젠코어,[국방사업연구소] 빅데이터 분석 및 머신러닝&딥러닝 경력 채용,"경기,수원시 영통구,경력2년↑,대졸↑,정규직","딥러닝,데이터분석가,데이터엔지니어,머신러닝,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47810899&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
32,(주)딥브레인에이아이,머신러닝/딥러닝 엔지니어,"서울,강남구,경력 3~20년,학력무관,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45408595&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
33,(주)모빌린트,[전문연구요원 가능] Deep Learning Optimization Engineer,"서울,강남구,신입·경력,석사↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45393196&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
34,(주)우리인재개발원,IT개발·데이터(딥러닝/머신러닝外 3개 부문) 채용 공고,"경기,부천시,경력2년↑,대졸↑,정규직·계약직","딥러닝,머신러닝,빅데이터,AI(인공지능),Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47623039&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
35,(주)지오스토리,[지오스토리] 영상 딥러닝 AI개발자 경력직 채용,"서울,강서구,경력무관,대졸↑,정규직·계약직","딥러닝,영상처리,AI(인공지능),측량/계측,R",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47855632&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
36,(주)에이아이인사이트,2024년 AI 엔지니어 (컴퓨터비전/딥러닝) 경력자 상시채용,"인천,연수구,경력 5~10년,학력무관,정규직","딥러닝,백엔드/서버개발,웹개발,API,Git",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47889441&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
37,(주)델타엑스,딥러닝/3D 비전/Data Scientist 병역특례(전문연구요원),"서울,구로구,경력무관,석사↑,정규직·전문연구요원","딥러닝,데이터엔지니어,정보보안,머신러닝,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47754939&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
