team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shot allowed,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,GoalsDiff,xGDiff,Shots,xG/shots,League
Monaco,38,19,8,11,70,58,12,65,70,58,5,47.8,80.5,13.6,6.71,13.5,18.3,11.2,12.8,2.2,5.5,5.5,5.5,63.73,69,5.27,478,0.13,France-Ligue-1
Lyon,38,18,8,12,65,47,18,62,65,59,3,58.0,85.1,12.0,6.77,11.3,19.0,12.7,13.2,1.5,5.4,5.4,5.4,63.15,63,-0.15,519,0.12,France-Ligue-1
Clermont Foot,38,17,8,13,45,49,-4,59,45,68,5,48.1,81.1,10.8,6.57,12.8,18.0,11.6,11.2,1.4,4.0,4.0,4.0,48.99,44,-4.99,403,0.12,France-Ligue-1
Nice,38,15,13,10,48,37,11,58,48,51,3,51.5,85.4,10.3,6.73,11.7,21.5,10.9,10.1,1.3,5.2,5.2,5.2,53.46,47,-6.46,514,0.1,France-Ligue-1
Lorient,38,15,10,13,52,53,-1,55,52,42,4,46.4,83.5,10.9,6.66,14.9,19.4,9.7,10.4,1.3,4.1,4.1,4.1,43.19,49,5.81,403,0.11,France-Ligue-1
Reims,38,12,15,11,45,45,0,51,45,67,9,48.4,80.0,12.6,6.63,12.8,18.5,10.4,13.3,2.2,4.7,4.7,4.7,60.57,45,-15.57,524,0.12,France-Ligue-1
Montpellier,38,15,5,18,65,62,3,50,65,66,10,45.4,78.6,12.7,6.64,13.8,18.0,10.6,12.8,1.9,4.6,4.6,4.6,51.43,64,12.57,442,0.12,France-Ligue-1
Toulouse,38,13,9,16,51,57,-6,48,51,56,3,51.1,82.0,12.9,6.61,14.2,18.8,10.8,12.4,1.9,4.8,4.8,4.8,54.19,50,-4.19,457,0.12,France-Ligue-1
Brest,38,11,11,16,44,54,-10,44,44,63,2,44.6,78.0,16.8,6.62,12.9,18.6,12.5,13.1,1.6,3.7,3.7,3.7,43.75,43,-0.75,425,0.1,France-Ligue-1
Strasbourg,38,9,13,16,51,59,-8,40,51,68,7,45.6,79.0,18.0,6.62,11.2,18.2,11.5,13.9,1.1,4.3,4.3,4.3,49.59,48,-1.59,449,0.11,France-Ligue-1
Nantes,38,7,15,16,37,55,-18,36,37,61,4,45.5,80.0,15.7,6.6,12.0,18.7,11.3,12.7,1.4,4.2,4.2,4.2,44.67,35,-9.67,448,0.1,France-Ligue-1
Auxerre,38,8,11,19,35,63,-28,35,35,46,6,43.0,79.6,13.0,6.51,12.4,17.7,11.9,12.2,1.3,3.3,3.3,3.3,42.32,32,-10.32,429,0.1,France-Ligue-1
AC Ajaccio,38,7,5,26,23,74,-51,26,23,82,10,42.5,75.5,16.2,6.34,11.1,16.8,11.1,14.2,1.7,2.3,2.3,2.3,33.94,22,-11.94,320,0.11,France-Ligue-1
Troyes,38,4,12,22,45,81,-36,24,45,55,5,42.1,80.2,12.6,6.51,16.5,16.0,10.5,10.6,1.5,3.7,3.7,3.7,39.15,43,3.85,395,0.1,France-Ligue-1
Angers,38,4,6,28,33,81,-48,18,33,63,5,46.7,82.8,11.6,6.43,12.2,17.2,9.9,12.9,1.2,3.4,3.4,3.4,40.23,31,-9.23,371,0.11,France-Ligue-1
Bayern Munich,34,21,8,5,92,38,54,71,92,45,3,64.3,87.1,13.9,6.94,9.2,18.3,8.4,9.0,2.5,7.6,7.6,7.6,79.34,90,10.66,628,0.13,Germany-Bundesliga
Borussia Dortmund,34,22,5,7,83,44,39,71,83,66,0,58.3,84.4,12.6,6.88,12.1,17.1,8.8,9.5,1.2,6.6,6.6,6.6,74.47,81,6.53,564,0.13,Germany-Bundesliga
RB Leipzig,34,20,6,8,64,41,23,66,64,67,2,58.4,83.6,13.0,6.72,9.2,15.7,9.1,11.6,2.4,5.7,5.7,5.7,65.71,64,-1.71,504,0.13,Germany-Bundesliga
Union Berlin,34,18,8,8,51,38,13,62,51,63,2,42.9,73.6,22.7,6.63,11.5,14.5,7.7,13.1,1.8,3.6,3.6,3.6,36.2,49,12.8,381,0.1,Germany-Bundesliga
Freiburg,34,17,8,9,51,44,7,59,51,60,2,48.0,76.9,22.0,6.67,13.1,14.6,9.6,11.9,1.7,5.3,5.3,5.3,49.46,51,1.54,421,0.12,Germany-Bundesliga
Bayer Leverkusen,34,14,8,12,57,49,8,50,57,70,7,51.8,81.9,12.7,6.64,11.6,14.5,8.6,11.2,1.5,4.9,4.9,4.9,51.6,57,5.4,439,0.12,Germany-Bundesliga
Eintracht Frankfurt,34,13,11,10,58,52,6,50,58,70,1,52.5,79.5,13.8,6.6,10.9,16.5,8.4,12.6,2.1,4.2,4.2,4.2,52.78,56,3.22,405,0.13,Germany-Bundesliga
Wolfsburg,34,13,10,11,57,48,9,49,57,63,0,50.5,79.4,15.6,6.65,13.8,16.0,8.6,11.5,1.5,4.3,4.3,4.3,50.99,55,4.01,408,0.12,Germany-Bundesliga
Mainz 05,34,12,10,12,54,55,-1,46,54,69,1,43.9,71.3,21.9,6.61,12.9,16.1,12.7,14.0,2.2,4.7,4.7,4.7,48.69,54,5.31,420,0.12,Germany-Bundesliga
