player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
João Cancelo,Manchester City,29,"LB, RB, RM",16(1),1279,2,1,3,1,1.0,86.8,1.6,1,7.05,1.7,1.1,0.8,0.1,0.4,0.5,0.1,0,0.7,1.8,1.1,0.2,0.8,1.1,64.4,0.7,2.2,0.0,0.56,1.44,0.04,17.0,0.03,LB, RB, RM,,,
Alexis Mac Allister,Brighton,25,"CM, LM, FW",31(4),2886,10,2,8,0,2.5,87.2,0.7,4,7.05,2.0,0.6,1.0,0.1,0.3,1.1,0.1,1,1.3,1.2,1.6,0.0,1.0,1.3,51.5,0.2,1.9,0.2,11.63,-1.63,0.36,86.0,0.14,CM, LM, FW,,,
Fabian Schär,Newcastle,32,CB,36,3209,1,3,7,0,1.6,77.7,3.1,2,7.05,1.3,1.4,0.6,0.4,3.8,0.4,0.5,1,0.5,0.1,0.8,0.2,0.2,0.6,50.4,0.1,4.3,0.1,5.38,-4.38,0.15,56.0,0.1,CB,,,,,
Declan Rice,West Ham,25,"CB, CDM",36(1),3272,4,2,5,0,1.0,88.0,1.0,1,7.02,2.1,1.7,0.6,0.1,1.5,0.5,0.4,0,1.0,1.0,0.3,0.0,0.7,0.8,56.3,0.3,4.1,0.0,2.37,1.63,0.07,36.0,0.07,CB, CDM,,,,
Pierre-Emile Højbjerg,Tottenham,28,CM,35,3133,4,5,5,0,0.9,88.6,0.8,3,7.02,1.6,1.4,1.1,0.0,1.7,1.2,0.5,0,0.9,0.9,1.0,0.0,1.0,1.1,64.5,0.2,4.5,0.2,1.73,2.27,0.05,33.0,0.05,CM,,,,,
Eberechi Eze,Crystal Palace,25,"CAM, LAM, RAM",30(8),2644,10,4,3,0,1.9,82.4,0.5,4,7.02,1.1,0.3,0.7,0.0,0.2,0.5,0.0,0,1.5,1.9,1.5,0.1,1.4,1.9,28.5,0.6,0.9,0.1,7.24,2.76,0.25,71.0,0.1,CAM, LAM, RAM,,,
Riyad Mahrez,Manchester City,33,"CAM, LAM, RAM, FW",22(8),1924,5,10,2,0,1.4,86.8,0.3,2,7.01,1.0,0.3,0.5,0.0,0.1,0.9,0.0,0,1.7,0.8,1.4,0.2,0.9,1.2,34.4,0.9,1.2,0.2,5.24,-0.24,0.24,43.0,0.12,CAM, LAM, RAM, FW,,
Bryan Mbeumo,Brentford,24,"LAM, RAM, FW",36(2),2931,9,8,5,0,1.9,73.7,0.9,4,7.01,0.7,0.3,0.7,0.0,0.4,0.9,0.0,0,1.3,1.2,0.6,0.2,1.4,1.9,21.3,1.1,0.8,0.1,9.99,-0.99,0.31,71.0,0.14,LAM, RAM, FW,,,
Yerry Mina,Everton,29,CB,7,596,2,0,2,0,1.1,88.5,2.7,1,7.01,2.1,0.9,0.9,0.3,4.0,0.3,0.6,0,0.1,0.1,1.4,0.0,0.0,0.6,45.9,0.0,1.7,0.0,1.62,0.38,0.24,8.0,0.2,CB,,,,,
Kaoru Mitoma,Brighton,26,LM,24(9),2318,7,5,0,0,1.6,83.3,0.5,4,7.0,1.3,0.5,0.9,0.0,0.2,0.6,0.0,0,1.2,1.8,0.8,0.2,1.0,1.8,27.7,0.1,0.6,0.1,9.3,-2.3,0.36,52.0,0.18,LM,,,,,
