player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Reece James,Chelsea,1.9,0.3,2.2,0.8,1.1,0.6,0.3,0.0,0.3,1.3,0.1,0.2,0.9,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.4,0.1,0.0,0.1,0.0,1.1,1.4,2.5,0.8,0.9,2.4,1.4,1.0,53.3,2.4,0.9,45.9,4.1,1.3,0.1,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Thomas Partey,Arsenal,2.1,0.8,2.9,0.8,0.7,1.1,0.2,0.0,0.0,1.2,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.8,0.5,0.1,0.2,0.1,0.0,0.0,0.1,0.3,1.1,1.4,1.0,0.6,1.9,1.1,0.8,59.0,3.2,1.6,48.6,5.5,0.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe,Nottingham Forest,2.6,1.1,3.7,2.3,0.7,0.9,0.3,0.0,0.3,5.6,0.8,0.1,1.3,0.0,0.0,0.0,0.0,0.8,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.3,0.9,1.1,0.8,0.3,5.1,3.3,1.9,34.8,1.8,3.9,23.6,5.5,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Cody Gakpo,Liverpool,1.2,1.2,2.4,0.2,1.6,1.2,0.0,0.0,0.4,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.9,0.4,0.3,1.1,0.3,0.2,0.1,0.0,1.2,1.1,2.3,2.0,1.7,2.4,1.2,1.1,17.7,0.3,0.2,13.5,3.6,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Alexander Isak,Newcastle,0.8,0.8,1.6,0.2,0.7,0.9,0.1,0.0,0.2,0.4,0.1,0.0,0.9,0.0,0.0,0.0,0.0,2.3,0.5,0.3,1.6,0.5,0.1,0.3,0.1,1.8,1.5,3.3,1.8,1.1,2.3,1.0,1.3,16.0,0.7,0.1,11.8,3.5,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Cancelo,Manchester City,1.7,0.5,2.2,1.1,1.1,0.8,0.2,0.1,0.2,0.4,0.1,0.2,0.4,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.1,0.0,0.1,0.1,1.8,1.8,3.6,1.1,0.8,2.2,1.6,0.6,64.4,2.2,1.4,53.6,7.1,0.7,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Alexis Mac Allister,Brighton,2.0,1.1,3.1,0.6,1.6,1.0,0.2,0.0,0.0,0.3,0.1,0.0,0.7,0.0,0.0,0.0,0.0,2.5,1.5,0.2,0.8,0.3,0.1,0.2,0.0,0.9,1.2,2.1,1.3,1.0,1.2,0.7,0.5,51.5,1.9,0.9,43.1,5.7,1.3,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Fabian Schär,Newcastle,1.3,0.4,1.7,1.4,0.8,0.6,0.2,0.0,0.2,3.8,0.5,0.1,0.4,0.0,0.0,0.0,0.0,1.6,0.4,0.3,0.8,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.6,0.2,4.7,3.1,1.6,50.4,4.3,5.3,34.9,5.9,0.5,0.1,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Declan Rice,West Ham,2.1,0.5,2.6,1.7,0.3,0.6,0.1,0.0,0.0,1.5,0.4,0.1,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.1,0.0,0.0,0.1,0.8,1.0,1.8,0.8,0.7,1.7,1.0,0.7,56.3,4.1,1.9,45.5,4.8,1.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Pierre-Emile Højbjerg,Tottenham,1.6,1.2,2.8,1.4,1.0,1.1,0.1,0.0,0.0,1.7,0.5,0.2,0.8,0.0,0.0,0.0,0.0,0.9,0.6,0.0,0.4,0.1,0.0,0.1,0.0,0.4,0.9,1.3,1.1,1.0,1.0,0.8,0.2,64.5,4.5,2.2,52.6,5.2,0.9,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Eberechi Eze,Crystal Palace,1.1,0.5,1.6,0.3,1.5,0.7,0.1,0.0,0.1,0.2,0.0,0.1,0.6,0.0,0.0,0.0,0.0,1.9,1.1,0.1,0.7,0.3,0.1,0.1,0.1,1.3,1.9,3.2,1.9,1.4,1.3,0.5,0.8,28.5,0.9,1.0,22.6,4.1,1.5,0.3,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Riyad Mahrez,Manchester City,1.0,0.9,1.9,0.3,1.4,0.5,0.1,0.0,0.2,0.1,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.4,0.5,0.1,0.8,0.2,0.0,0.1,0.0,1.6,0.8,2.4,1.2,0.9,0.8,0.3,0.5,34.4,1.2,0.4,28.7,4.1,1.7,0.4,1.3,0.1,0.0,0.0,0.0,0.0,0.2,0.3
