Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Andrea Barberis,Monza,30,M(C),3(6),332,0,1,0,0,0.2,85.7,0.2,0,6.20,0.8,0.9,0.1,0.1,0.1,0.7,0,0,0.2,0.4,0,0.2,0,0.7,0.3,17.9,0.2,0.6,0,,,,,
Andrea Barberis,Monza,30,M(C),3(6),332,0,1,0,0,0.2,85.7,0.2,0,6.20,0.8,0.9,0.1,0.1,0.1,0.7,0,0,0.2,0.4,0,0.2,0,0.7,0.3,17.9,0.2,0.6,0,,,,,
Emil Ceïde,Sassuolo,22,Forward,5(14),505,0,1,0,0,0.5,74.4,0.1,0,6.20,0.3,0.1,0.2,0,0,0.1,0.1,0,0.5,0.4,0.4,0.4,0.1,0.4,0.8,8.4,0.1,0.1,0.1,,,,,
Emil Ceïde,Sassuolo,22,Forward,5(14),505,0,1,0,0,0.5,74.4,0.1,0,6.20,0.3,0.1,0.2,0,0,0.1,0.1,0,0.5,0.4,0.4,0.4,0.1,0.4,0.8,8.4,0.1,0.1,0.1,,,,,
Emil Ceïde,Sassuolo,22,Forward,5(14),505,0,1,0,0,0.5,74.4,0.1,0,6.20,0.3,0.1,0.2,0,0,0.1,0.1,0,0.5,0.4,0.4,0.4,0.1,0.4,0.8,8.4,0.1,0.1,0.1,,,,,
Grégoire Defrel,Sassuolo,32,"AM(CR),FW",13(14),1168,2,1,3,0,0.6,84.7,0.2,1,6.20,0.3,0.1,0.5,0,0.2,0.3,0,0,0.6,0.3,0.3,0.5,0.2,0.6,1,9.2,0,0.1,0,,,,,
Grégoire Defrel,Sassuolo,32,"AM(CR),FW",13(14),1168,2,1,3,0,0.6,84.7,0.2,1,6.20,0.3,0.1,0.5,0,0.2,0.3,0,0,0.6,0.3,0.3,0.5,0.2,0.6,1,9.2,0,0.1,0,,,,,
Grégoire Defrel,Sassuolo,32,"AM(CR),FW",13(14),1168,2,1,3,0,0.6,84.7,0.2,1,6.20,0.3,0.1,0.5,0,0.2,0.3,0,0,0.6,0.3,0.3,0.5,0.2,0.6,1,9.2,0,0.1,0,,,,,
Viktor Kovalenko,Spezia,28,M(C),7(11),549,0,0,1,0,0.6,81.5,0.3,0,6.19,0.5,0.2,0.5,0,0.4,0.2,0.1,0,0.6,0.3,0.2,0.7,0.1,0.1,0.5,12.3,0.3,0.4,0,,,,,
Viktor Kovalenko,Spezia,28,M(C),7(11),549,0,0,1,0,0.6,81.5,0.3,0,6.19,0.5,0.2,0.5,0,0.4,0.2,0.1,0,0.6,0.3,0.2,0.7,0.1,0.1,0.5,12.3,0.3,0.4,0,,,,,
