player_name,team_name,Unsuccessful,Successful,Total Dribbles
Youssouf Ndayishimiye,Nice,0.2,0.3,0.5
Joris Chotard,Montpellier,0.4,0.4,0.7
Bamo Meïté,Lorient,0.2,0.4,0.6
Nicolas Pallois,Nantes,0.1,0.3,0.3
Dimitri Payet,Marseille,0.6,0.8,1.3
Bafodé Diakité,Lille,0.3,0.6,0.9
Chrislain Matsima,Monaco,0,0.1,0.1
Jeanuël Belocian,Rennes,0.3,0.3,0.5
Quentin Bernard,Auxerre,0.4,0.1,0.6
Lilian Brassier,Brest,0.4,0.4,0.8
Anthony Rouault,Toulouse,0.2,0.1,0.3
Maximiliano Caufriez,Clermont Foot,0.3,0.2,0.5
Cheick Keita,Reims,0.1,0.2,0.3
Maxime Le Marchand,Strasbourg,0.1,0.6,0.7
Issiaga Sylla,Toulouse,1.4,0.6,2
Grejohn Kyei,Clermont Foot,0.9,1.1,2
Thijs Dallinga,Toulouse,0.4,0.3,0.7
Ruslan Malinovskyi,Marseille,0.8,1.4,2.1
Ismaël Doukouré,Strasbourg,0.6,1,1.6
Joe Rodon,Rennes,0,0.2,0.2
Mostafa Mohamed,Nantes,0.5,0.6,1.1
Julien Laporte,Lorient,0,0.1,0.1
Eliesse Ben Seghir,Monaco,1.2,0.7,1.9
Gabriel Suazo,Toulouse,0.7,1.2,1.9
Vincent Le Goff,Lorient,0.5,0.3,0.9
Mahdi Camara,Brest,0.7,0.8,1.5
Mattéo Guendouzi,Marseille,0.5,0.4,0.9
Hamza Sakhi,Auxerre,0.4,0.6,1
Lucas Chevalier,Lille,0,0,0
Flavien Tait,Rennes,0.8,0.7,1.5
Arnaud Kalimuendo,Rennes,1,0.8,1.8
Christopher Wooh,Rennes,0,0.2,0.2
Xavier Chavalerin,Troyes,0.2,0.3,0.5
Matz Sels,Strasbourg,0,0,0
Wahbi Khazri,Montpellier,1.2,1,2.3
Quentin Boisgard,Lorient,0.6,0.2,0.8
Presnel Kimpembe,Paris Saint-Germain,0.1,0.2,0.3
Isaak Touré,Auxerre,0.5,0.4,0.9
Jens Cajuste,Reims,1.3,1.3,2.5
Thiago Mendes,Lyon,0.2,0.2,0.4
Saël Kumbedi,Lyon,1.3,0.8,2.1
Mateusz Wieteska,Clermont Foot,0.1,0.3,0.4
Thomas Foket,Reims,0.5,0.4,0.9
Juan Bernat,Paris Saint-Germain,0.7,0.8,1.4
Gauthier Gallon,Troyes,0,0,0
Thibault De Smet,Reims,0.4,0.2,0.6
Kevin Gameiro,Strasbourg,0.9,0.6,1.4
Yvon Mvogo,Lorient,0,0,0
Jackson Porozo,Troyes,0.2,0.3,0.5
Habib Diarra,Strasbourg,1.3,0.9,2.1
Birama Touré,Auxerre,0.3,0.3,0.6
Lilian Raolisoa,Angers,0.3,0.4,0.7
Lucas Perrin,Strasbourg,0.2,0.2,0.5
Hugo Ekitike,Paris Saint-Germain,0.9,0.6,1.6
Jean Lucas,Monaco,0.8,1.5,2.3
Cheick Oumar Konaté,Clermont Foot,0.7,2.8,3.4
Dénys Bain,Auxerre,0,0.5,0.5
Rhys Healey,Toulouse,0,0,0
Bradley Locko,Reims,1.4,1,2.4
José Fonte,Lille,0,0.1,0.1
Yan Valery,Angers,1.2,1.1,2.3
Elbasan Rashani,Clermont Foot,1.1,0.7,1.8
Ludovic Ajorque,Strasbourg,0.2,0.2,0.4
Loïc Badé,Rennes,0,0,0
Issa Kaboré,Marseille,1.4,1,2.5
Yahia Fofana,Angers,0,0.1,0.1
Ignatius Ganago,Nantes,0.7,0.4,1.1
Mounaïm El Idrissy,AC Ajaccio,0.5,0.3,0.8
Alexis Claude-Maurice,Lens,0.9,0.6,1.5
Andreaw Gravillon,Reims,0.4,0.5,0.9
Mathias Autret,Auxerre,0.7,0.4,1.1
Yusuf Yazici,Lille,1.3,0.3,1.5
Bingourou Kamara,Montpellier,0,0,0
Muhammed Cham,Clermont Foot,0.9,0.8,1.7
Jordan Ferri,Montpellier,1,0.6,1.6
Renaud Ripart,Troyes,1.2,0.4,1.6
Moses Simon,Nantes,1.8,1,2.8
Thomas Delaine,Strasbourg,0.9,0.7,1.6
Leandro Paredes,Paris Saint-Germain,0,0,0
Maxime Gonalons,Clermont Foot,0.5,0.6,1.1
Faouzi Ghoulam,Angers,0.3,0.4,0.7
Jean-Kévin Duverne,Brest,1.1,0.8,1.9
Ross Barkley,Nice,0.3,0.4,0.8
Nicolas Cozza,Montpellier,0.6,0.3,0.9
Stephy Mavididi,Montpellier,1.6,1.2,2.8
Jean-Louis Leca,Lens,0,0,0
Amine Harit,Marseille,2.3,1.3,3.6
Henrique,Lyon,0.7,0.1,0.9
Rémy Riou,Lyon,0,0,0
Edan Diop,Monaco,1.1,0.4,1.6
David Pereira da Costa,Lens,0.7,0.9,1.5
Maxime Esteve,Montpellier,0.1,0.2,0.3
Timothy Weah,Lille,0.6,0.7,1.3
Gabriel Gudmundsson,Lille,0.8,1,1.8
Mohamed Youssouf,AC Ajaccio,0.7,0.4,1.1
Igor Silva,Lorient,1.3,0.9,2.1
Noah Fadiga,Brest,1,0.9,1.9
Falaye Sacko,Montpellier,0.5,0.5,1
Dimitri Liénard,Strasbourg,0.6,0.4,1
Florent Mollet,Nantes,0.9,0.5,1.4
Antoine Mendy,Nice,0.1,0.3,0.4
Pedro Chirivella,Nantes,0.3,0.3,0.6
Akim Zedadka,Auxerre,1.3,0.5,1.8
