player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Edon Zhegrova,Lille,25,"CAM, RAM",11(11),1056,3,4,1,0,1.9,82.5,0.0,2,7.08,0.8,0.1,0.5,0.0,0.0,0.4,0.0,0,1.4,2.4,0.7,0.1,0.8,1.5,23.1,1.1,0.6,0.1,3.97,-0.97,0.34,42.0,0.09,CAM, RAM,,,
Donovan Léon,Auxerre,31,GK,2,180,0,0,0,0,0.0,42.3,0.5,0,7.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.0,35.5,0.0,10.0,0.0,,,,,,GK,,,,
Branco van den Boomen,Toulouse,28,CDM,32(3),2893,5,8,6,0,1.5,83.0,0.2,1,7.08,2.0,0.3,0.9,0.0,0.7,1.5,0.1,0,2.5,0.5,0.5,0.1,0.3,0.9,54.2,2.5,7.3,0.2,5.73,-0.73,0.18,52.0,0.11,CDM,,,,
Jérémy Doku,Rennes,21,"LM, RM",13(16),1287,6,2,0,0,0.9,86.4,0.1,4,7.08,0.9,0.2,0.6,0.0,0.1,0.4,0.0,0,1.0,3.3,1.2,0.0,0.8,1.5,17.0,0.2,0.2,0.0,2.96,3.04,0.21,26.0,0.11,LM, RM,,,
Jean-Ricner Bellegarde,Strasbourg,25,"CM, LM, RM",29(1),2428,2,6,5,0,1.3,81.6,0.7,5,7.07,1.6,0.9,1.2,0.0,0.6,0.5,0.1,0,1.9,1.9,2.4,0.0,1.5,2.1,36.3,1.5,1.5,0.1,2.39,-0.39,0.09,38.0,0.06,CM, LM, RM,,
Steve Mounié,Brest,29,FW,20(3),1662,6,0,2,0,2.6,56.2,6.6,2,7.07,0.6,0.1,1.6,0.0,0.9,0.4,0.3,0,0.6,0.4,1.1,0.4,1.2,2.3,19.3,0.0,0.1,0.0,8.0,-2.0,0.43,59.0,0.14,FW,,,,
Wissam Ben Yedder,Monaco,33,"CAM, FW",28(4),2130,19,6,4,0,2.3,76.5,0.5,4,7.07,0.5,0.1,0.6,0.0,0.0,0.3,0.0,0,0.8,0.7,0.7,0.7,1.0,1.1,18.2,0.1,0.3,0.0,16.98,2.02,0.72,72.0,0.24,CAM, FW,,,
Fabien Centonze,Nantes,28,"RB, RM",19(4),1693,0,0,4,0,0.6,79.3,1.4,1,7.06,2.5,1.9,0.6,0.1,2.3,0.5,0.3,0,0.5,1.7,0.9,0.0,0.5,1.1,32.0,0.6,1.4,0.0,0.57,-0.57,0.03,14.0,0.04,RB, RM,,,
Nathan Ngoumou,Toulouse,24,"LAM, RAM",1,90,0,0,0,0,0.0,82.1,1.0,0,7.06,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,2.0,0.0,28.0,1.0,0.0,0.0,,,,,,LAM, RAM,,,
Sofiane Boufal,Angers,30,"CAM, LAM, RAM, FW",9(4),838,4,3,1,1,1.8,81.1,0.1,3,7.06,1.1,0.4,1.5,0.0,0.1,0.8,0.0,0,2.1,3.0,1.5,0.2,1.5,2.2,33.7,0.5,1.2,0.2,3.13,0.87,0.34,23.0,0.14,CAM, LAM, RAM, FW,
Nuno Mendes,Paris Saint-Germain,21,"LB, LM",18(5),1554,1,5,2,0,0.4,86.9,0.4,0,7.04,2.0,0.7,1.1,0.1,0.7,0.5,0.1,0,1.0,1.2,1.5,0.2,0.7,1.3,35.9,0.3,0.6,0.1,1.44,-0.44,0.08,10.0,0.14,LB, LM,,,
Maxence Caqueret,Lyon,24,CM,32(4),2778,4,7,2,0,0.7,86.3,0.4,2,7.04,2.4,1.1,1.3,0.0,0.8,1.8,0.1,0,1.7,1.1,0.9,0.1,1.3,1.9,46.5,0.8,1.4,0.1,2.91,1.09,0.09,26.0,0.11,CM,,,,
Alexis Sánchez,Marseille,35,"CM, LM, RM, FW",32(3),2699,14,3,3,0,1.9,75.8,1.0,6,7.04,0.8,0.1,1.3,0.0,0.2,0.6,0.0,0,1.6,1.2,1.3,0.8,1.8,2.4,25.3,0.2,1.3,0.1,12.98,1.02,0.43,66.0,0.2,CM, LM, RM, FW,
Habib Diallo,Strasbourg,28,"CAM, RAM, FW",32(5),2880,20,1,2,1,2.5,67.7,3.6,5,7.04,0.5,0.3,1.0,0.0,0.7,0.3,0.1,0,0.7,0.8,1.7,0.5,0.9,3.2,15.8,0.0,0.3,0.1,19.93,0.07,0.62,94.0,0.21,CAM, RAM, FW,,
