player_name,team_name,Fouled,Fouls
Joris Chotard,Montpellier,0.5,0.9
Bamo Meïté,Lorient,0.7,0.9
Nicolas Pallois,Nantes,0.2,0.8
Dimitri Payet,Marseille,0.8,0.2
Bafodé Diakité,Lille,0.4,1.4
Chrislain Matsima,Monaco,0.3,0.5
Jeanuël Belocian,Rennes,0.1,0.8
Quentin Bernard,Auxerre,0.4,0.9
Lilian Brassier,Brest,0.4,1.2
Anthony Rouault,Toulouse,0.5,0.6
Maximiliano Caufriez,Clermont Foot,1.3,1.1
Cheick Keita,Reims,0.8,0.8
Maxime Le Marchand,Strasbourg,0.3,1.2
Issiaga Sylla,Toulouse,1.1,1.4
Grejohn Kyei,Clermont Foot,1.1,1.6
Thijs Dallinga,Toulouse,0.5,1
Ruslan Malinovskyi,Marseille,0.9,1.5
Ismaël Doukouré,Strasbourg,1,1.1
Joe Rodon,Rennes,1.1,0.7
Mostafa Mohamed,Nantes,0.8,1.2
Julien Laporte,Lorient,0.8,0.5
Eliesse Ben Seghir,Monaco,1.8,0.9
Gabriel Suazo,Toulouse,0.6,1
Vincent Le Goff,Lorient,0.5,0.5
Mahdi Camara,Brest,1,0.7
Mattéo Guendouzi,Marseille,1.1,0.8
Hamza Sakhi,Auxerre,0.8,0.5
Lucas Chevalier,Lille,0.2,0
Flavien Tait,Rennes,1,0.8
Arnaud Kalimuendo,Rennes,0.8,0.5
Christopher Wooh,Rennes,0.8,1.3
Xavier Chavalerin,Troyes,0.4,0.9
Matz Sels,Strasbourg,0.1,0
Wahbi Khazri,Montpellier,1.3,0.7
Quentin Boisgard,Lorient,0.2,0.6
Presnel Kimpembe,Paris Saint-Germain,0.8,2
Isaak Touré,Auxerre,0.7,1.1
Jens Cajuste,Reims,0.9,1.1
Thiago Mendes,Lyon,0.8,0.8
Saël Kumbedi,Lyon,1.1,1.9
Mateusz Wieteska,Clermont Foot,0.9,0.8
Thomas Foket,Reims,0.9,1.1
Juan Bernat,Paris Saint-Germain,0.3,0.3
Gauthier Gallon,Troyes,0.2,0.1
Thibault De Smet,Reims,0.4,1.1
Kevin Gameiro,Strasbourg,0.4,0.4
Yvon Mvogo,Lorient,0.1,0
Jackson Porozo,Troyes,0.8,1.3
Habib Diarra,Strasbourg,0.8,0.8
Birama Touré,Auxerre,0.6,1.3
Lilian Raolisoa,Angers,0.4,0.1
Lucas Perrin,Strasbourg,0.7,0.9
Hugo Ekitike,Paris Saint-Germain,0.5,0.6
Jean Lucas,Monaco,0.7,0.7
Cheick Oumar Konaté,Clermont Foot,0.4,1
Dénys Bain,Auxerre,0.5,1
Rhys Healey,Toulouse,0,0
Bradley Locko,Reims,0.6,0.7
José Fonte,Lille,0.3,0.8
Yan Valery,Angers,0.7,1.5
Elbasan Rashani,Clermont Foot,0.9,1.1
Ludovic Ajorque,Strasbourg,0.6,1.1
Loïc Badé,Rennes,1,3
Issa Kaboré,Marseille,0.9,1.1
Yahia Fofana,Angers,0.1,0
Ignatius Ganago,Nantes,1.1,0.5
Mounaïm El Idrissy,AC Ajaccio,2.5,2.5
Alexis Claude-Maurice,Lens,0.8,0.4
Andreaw Gravillon,Reims,1.1,1.4
Mathias Autret,Auxerre,0.2,0.3
Yusuf Yazici,Lille,0.3,1
Bingourou Kamara,Montpellier,0.2,0.2
Muhammed Cham,Clermont Foot,1.1,0.4
Jordan Ferri,Montpellier,1.8,1.4
Renaud Ripart,Troyes,1,1
Moses Simon,Nantes,0.9,0.3
Thomas Delaine,Strasbourg,0.7,0.9
Leandro Paredes,Paris Saint-Germain,0.3,0
Maxime Gonalons,Clermont Foot,0.9,1
Faouzi Ghoulam,Angers,0.7,0.6
Jean-Kévin Duverne,Brest,0.6,1.1
