player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Maxime Gonalons,Clermont Foot,33.1,2.3,0.8,27,3
Faouzi Ghoulam,Angers,34.6,2,2,25.7,4.9
Jean-Kévin Duverne,Brest,32.9,2.5,2.5,21.8,6.1
Ross Barkley,Nice,16.5,0.8,0.4,13,2.3
Nicolas Cozza,Montpellier,28.9,1.4,2.4,19.8,5.3
Stephy Mavididi,Montpellier,11.5,0.3,0.2,8.4,2.6
Jean-Louis Leca,Lens,34,11,6,16,1
Amine Harit,Marseille,25,0.6,0.3,20.5,3.6
Henrique,Lyon,26.1,0.7,0.7,21.9,2.9
Rémy Riou,Lyon,27.9,3,6.1,18.3,0.4
Edan Diop,Monaco,15.3,0.3,0.4,11.4,3.1
David Pereira da Costa,Lens,22.6,0.5,0.2,18.9,2.9
Maxime Esteve,Montpellier,32.3,1.5,2.8,24.8,3.1
Timothy Weah,Lille,29.8,0.9,1,24.4,3.4
Gabriel Gudmundsson,Lille,18.9,0.6,0.9,15.3,2.2
Mohamed Youssouf,AC Ajaccio,30.6,1.6,2.8,20.9,5.3
Igor Silva,Lorient,31.1,1,1.3,25.6,3.3
Noah Fadiga,Brest,23.9,0.7,1.4,18.4,3.4
Falaye Sacko,Montpellier,29.2,1.2,1.7,22.6,3.7
Dimitri Liénard,Strasbourg,27.1,2.2,2.1,19.1,3.8
Florent Mollet,Nantes,25.3,0.9,0.4,21.2,2.8
Antoine Mendy,Nice,24.4,0.3,1,20.1,3
Pedro Chirivella,Nantes,51.5,4.7,2.9,39.9,4
Akim Zedadka,Auxerre,26.6,1,1.1,20,4.5
Rayan Raveloson,Auxerre,28.8,2.1,1.4,22,3.4
Pape Gueye,Marseille,22.1,1.1,0.8,17.7,2.6
Ronaël Pierre-Gabriel,Strasbourg,20.4,0.4,1.2,16.1,2.7
Kamory Doumbia,Reims,20,0.7,0.5,15.6,3.1
Haris Belkebla,Brest,31.7,1.4,1.1,25.7,3.6
Evann Guessand,Nantes,9.1,0.2,0.3,6.2,2.4
Brecht Dejaegere,Toulouse,21.1,0.8,0.4,16.3,3.6
Jean Onana,Lens,22.4,0.9,0.6,18.7,2.3
Kenji-Van Boto,Auxerre,26.5,0.5,2,18.5,5.5
Yohann Magnin,Clermont Foot,34.4,1.7,1.2,27.6,4
Johann Lepenant,Lyon,41.5,1.8,0.4,35.5,3.8
Mickaël Barreto,AC Ajaccio,30.1,2.6,2.6,19.9,5.1
Vincent Marchetti,AC Ajaccio,33.5,2.3,1.6,24.5,5.1
Arkadiusz Milik,Marseille,18.5,0,0,14,4.5
Bamba Dieng,Lorient,8.9,0.2,0.2,6.7,1.8
Lesley Ugochukwu,Rennes,24.8,1.2,0.4,20.5,2.7
Théo Le Bris,Lorient,20.3,0.2,0.4,16.4,3.3
Sanjin Prcic,Strasbourg,35.4,3.3,1.6,27.1,3.4
Gerson,Marseille,17.6,0.3,0.3,14.2,2.8
Massadio Haïdara,Lens,24.6,1,0.7,20.5,2.5
Xeka,Rennes,38.8,3.3,0.8,31.6,3.1
Aiman Maurer,Clermont Foot,10.5,0.1,0.3,8.1,2
Youssouf Koné,AC Ajaccio,25.9,2.5,2.5,18,3
Gaetan Perrin,Auxerre,10.8,0.7,0.5,7.5,2.2
Kamaldeen Sulemana,Rennes,10,0.4,0.3,8.2,1.1
Reda Belahyane,Nice,28.3,0.8,0.3,24.8,2.5
Damien Da Silva,Lyon,34,2.7,1.1,26.9,3.3
Abdu Conté,Troyes,30.9,1.4,1.4,23.3,4.8
Ibrahima Koné,Lorient,9.6,0.1,0.1,6.4,3.1
Carlos Soler,Paris Saint-Germain,23.5,0.5,0.2,20.1,2.7
Yuito Suzuki,Strasbourg,4.3,0.3,0,3.3,0.7
Hugo Magnetti,Brest,22.8,1.6,0.9,17.8,2.5
Mehdi Zeffane,Clermont Foot,13.2,0.6,0.4,9.8,2.4
Stéphane Diarra,Lorient,10.8,0.1,0.1,8.1,2.5
Mathias Pereira Lage,Brest,14.5,0.7,0.7,9.7,3.5
Jim Allevinah,Clermont Foot,20.3,0.3,0.7,16.4,2.9
Wesley Saïd,Lens,8.9,0.4,0.1,6.8,1.5
Léo Leroy,Montpellier,18.7,1,0.8,13.3,3.6
Achraf Dari,Brest,38.2,3.8,4.3,26.6,3.4
Kays Ruiz-Atil,Auxerre,29,0,1,26,2
Yasser Larouci,Troyes,20.8,0.4,1.1,15.6,3.7
Warren Kamanzi,Toulouse,26.6,0.5,0.2,23,3
Myziane Maolida,Reims,10.9,0.4,0,7.7,2.8
Leny Yoro,Lille,43.5,2.5,2.2,37,1.7
Fernand Mayembo,AC Ajaccio,29.1,1.5,1.6,23.5,2.5
Colin Dagba,Strasbourg,17.4,0.4,0.6,14.4,2
Bradley Locko,Brest,13.4,1.1,0.9,10,1.4
Takumi Minamino,Monaco,12.4,0.3,0.4,8.5,3.2
Eduard Sobol,Strasbourg,20.5,0.8,1.1,14.9,3.7
Rudy Kohon,Troyes,27,0,1,23,3
Bevic Moussiti-Oko,AC Ajaccio,9.2,0.1,0.1,5.2,3.8
Jean-Victor Makengo,Lorient,35.6,0.6,0.5,30.9,3.5
Gerzino Nyamsi,Strasbourg,42,2.9,2.9,32.6,3.6
Renato Sanches,Paris Saint-Germain,28.6,1.4,0.3,24.8,2.1
Jean-Eudes Aholou,Strasbourg,19.5,1,0.9,13.9,3.8
Yoann Salmier,Troyes,44.9,2.5,3.5,34.8,4.1
Mattia Viti,Nice,39.7,1,2.7,32.3,3.7
Wilson Odobert,Troyes,15.4,0.4,0.1,11.9,3
Jere Uronen,Brest,20.7,0.3,1.3,16.5,2.5
Rubén Blanco,Marseille,29.2,3,6.5,19.5,0.2
Kevin Volland,Monaco,11.2,0.4,0.5,6.1,4.2
Dion Lopy,Reims,25.2,2.1,0.5,19.4,3.1
Jodel Dossou,Clermont Foot,5,0.1,0.1,3.7,1.1
Darlin Yongwa,Lorient,18.4,0.2,0.6,14.9,2.7
Houssem Aouar,Lyon,22.7,1,0.6,17.7,3.4
Jean-Claude Billong,Clermont Foot,33,1,0,32,0
Miha Blazic,Angers,49,3.7,3,39.3,3.1
Logan Costa,Toulouse,38.2,3.5,2.3,28.7,3.7
Samuel Moutoussamy,Nantes,34.6,1.6,1.1,28.3,3.5
Calvin Stengs,Nice,23.5,0.5,0.3,19,3.8
Adil Rami,Troyes,35.9,3.7,2.6,26.9,2.8
Ibrahima Sissoko,Strasbourg,23.9,1.2,0.7,17.3,4.7
Cédric Bakambu,Marseille,7.3,0,0,6,1.3
Ibrahim Diakité,Reims,14,0.3,0.7,9.7,3.3
Youcef Belaïli,Brest,22.7,1.8,1.8,15.8,3.2
Soungoutou Magassa,Monaco,16.5,2,1.5,11.5,1.5
Paul Bernardoni,Angers,20,4,8.1,7.7,0.2
