,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
317,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,1.1,2.7,1.6,0.1,0.8,1.7,40.4,0.2,2.3,0.1,2.07,-2.07,0.16,23,0.09
318,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,1.1,2.7,1.6,0.1,0.8,1.7,40.4,0.2,2.3,0.1,0.52,0.48,0.4,3,0.17
319,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,1.1,2.7,1.6,0.1,0.8,1.7,13.4,0,0.4,0,2.07,-2.07,0.16,23,0.09
320,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,1.1,2.7,1.6,0.1,0.8,1.7,13.4,0,0.4,0,0.52,0.48,0.4,3,0.17
321,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,0.1,0.9,0.4,0,0.7,0.3,40.4,0.2,2.3,0.1,2.07,-2.07,0.16,23,0.09
322,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,0.1,0.9,0.4,0,0.7,0.3,40.4,0.2,2.3,0.1,0.52,0.48,0.4,3,0.17
323,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,0.1,0.9,0.4,0,0.7,0.3,13.4,0,0.4,0,2.07,-2.07,0.16,23,0.09
324,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,1.3,1,0.7,0,0.3,0.7,0,0,0.1,0.9,0.4,0,0.7,0.3,13.4,0,0.4,0,0.52,0.48,0.4,3,0.17
325,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,1.1,2.7,1.6,0.1,0.8,1.7,40.4,0.2,2.3,0.1,2.07,-2.07,0.16,23,0.09
326,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,1.1,2.7,1.6,0.1,0.8,1.7,40.4,0.2,2.3,0.1,0.52,0.48,0.4,3,0.17
