,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
193,193,Mathias Autret,,33, M(CLR),16(7),1302,2,2,0,0,1.0,81.1,0.2,0,6.56,1,0.5,0.3,0,0.4,0.4,0.1,0,1.2,0.4,0.2,0.1,0.2,0.8,22.6,0.9,2.7,0.1,2.44,-0.44,0.17,24,0.1
194,194,Muhammed Cham,,23," AM(C),FW",23(15),1976,7,4,2,0,1.4,83.1,0.2,1,6.55,0.8,0.2,0.4,0,0.1,0.6,0,0,0.8,0.8,1.1,0,1.5,1,25,0.5,1,0.1,6.61,0.39,0.3,53,0.12
195,195,Jordan Ferri,,32, M(C),32(2),2749,1,2,5,1,0.4,86.5,0.5,1,6.55,1.6,0.8,1.4,0.1,0.6,1.7,0.2,0,0.9,0.6,1.8,0,1.3,1.3,57,0.2,4.4,0.2,0.61,0.39,0.02,14,0.04
196,196,Renaud Ripart,,31," D(R),M(CLR),FW",15(11),1319,4,1,4,0,1.5,70.0,2.2,0,6.55,1.5,0.3,1,0,0.2,1.3,0.1,0,0.8,0.4,1,0.2,0.8,1.2,16.7,0.1,0.2,0,4.31,-0.31,0.29,39,0.11
197,197,Moses Simon,,28," M(CLR),FW",28(6),2359,5,4,3,0,1.0,73.9,0.3,1,6.55,0.5,0.3,0.3,0,0,0.2,0,0,1.2,1,0.9,0.1,1.1,1.4,16.8,1,0.3,0.1,4.31,0.69,0.16,33,0.13
198,198,Maxime Gonalons,,35," D(C),M(C)",19(6),1457,1,0,3,0,0.2,88.6,0.6,1,6.55,2.1,0.8,1,0,0.3,1.1,0,0,0.4,0.6,0.9,0,0.4,0.8,33.1,0,2.3,0,0.43,0.57,0.03,6,0.07
199,199,Jean-Kévin Duverne,,26, D(CLR),27(7),2514,0,0,2,0,0.1,73.9,1.0,0,6.54,2.1,0.8,1.1,0.1,1.7,0.9,0.1,0,0.3,0.8,0.6,0.1,0.6,1.1,32.9,0.3,2.5,0,0.28,-0.28,0.01,5,0.06
200,200,Ross Barkley,,30, M(CLR),9(18),923,4,2,1,0,1.4,83.6,0.1,0,6.54,0.6,0.3,0.5,0,0.2,0.2,0.1,0,1.1,0.4,0.6,0,0.9,0.4,16.5,0.5,0.8,0,4.06,-0.06,0.4,38,0.11
201,201,Stephy Mavididi,,25," AM(LR),FW",14(12),1285,4,2,1,1,1.4,75.3,0.4,0,6.54,0.9,0.2,0.8,0,0.4,0.5,0,0,0.5,1.2,0.7,0.1,1.2,1.5,11.5,0.1,0.3,0,3.76,0.24,0.26,37,0.1
202,202,David Pereira da Costa,,23, AM(CL),16(15),1410,1,3,2,0,0.8,86.0,0.1,0,6.53,0.4,0.4,0.5,0,0.1,0.4,0,0,0.9,0.9,0.5,0,0.9,1,22.6,0.2,0.5,0.1,2.72,-1.72,0.17,26,0.1
203,203,Maxime Esteve,,21, D(C),18(5),1645,0,0,3,0,0.3,81.7,1.3,2,6.53,1,1.5,0.8,0.5,3.7,0.2,0.7,1,0,0.2,0.3,0,0.2,0.2,32.3,0,1.5,0,0.44,-0.44,0.02,6,0.07
204,204,Timothy Weah,,24," D(LR),M(LR),FW",18(11),1748,0,2,2,0,1.0,85.1,0.4,0,6.53,0.8,0.8,0.6,0.2,0.5,0.4,0.1,0,0.6,0.7,0.6,0.1,0.3,0.8,29.8,0.4,0.9,0,2.69,-2.69,0.14,30,0.09
205,205,Mohamed Youssouf,,36, D(R),27(3),2457,0,0,5,1,0.2,73.5,1.6,1,6.53,2.4,2.2,1.3,0.4,2.1,0.8,0.3,1,0.5,0.4,1.2,0,0.5,1,30.6,0.6,1.6,0,0.32,-0.32,0.01,5,0.06
