player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Mattéo Guendouzi,Marseille,0.2,0,0.2
Hamza Sakhi,Auxerre,0,0,0.6
Lucas Chevalier,Lille,0,0,0
Flavien Tait,Rennes,0.1,0.1,0.4
Arnaud Kalimuendo,Rennes,0.1,0,0.4
Christopher Wooh,Rennes,0.4,0,0.5
Xavier Chavalerin,Troyes,0.2,0.1,0.7
Matz Sels,Strasbourg,0,0,0
Wahbi Khazri,Montpellier,0,0,0.6
Quentin Boisgard,Lorient,0.2,0,0.4
Presnel Kimpembe,Paris Saint-Germain,0.6,0,0.5
Isaak Touré,Auxerre,0.6,0.2,1.1
Jens Cajuste,Reims,0.2,0,0.8
Thiago Mendes,Lyon,0.3,0,0.6
Saël Kumbedi,Lyon,0.4,0.2,0.8
Mateusz Wieteska,Clermont Foot,0.8,0.1,0.5
Thomas Foket,Reims,0.3,0.3,0.6
Juan Bernat,Paris Saint-Germain,0.1,0.1,0.3
Gauthier Gallon,Troyes,0,0,0
Thibault De Smet,Reims,0.2,0.2,1
Kevin Gameiro,Strasbourg,0,0,0.3
Yvon Mvogo,Lorient,0,0,0
Jackson Porozo,Troyes,0.8,0.1,0.3
Habib Diarra,Strasbourg,0,0,0.6
Birama Touré,Auxerre,0.2,0.1,1.2
Lilian Raolisoa,Angers,0.1,0,0.3
Lucas Perrin,Strasbourg,0.2,0.3,0.3
Hugo Ekitike,Paris Saint-Germain,0,0,0.5
Jean Lucas,Monaco,0.2,0,0.2
Cheick Oumar Konaté,Clermont Foot,0.1,0,0.7
Dénys Bain,Auxerre,0.5,0,0.5
Rhys Healey,Toulouse,0,0,0
Bradley Locko,Reims,0.3,0.3,0.9
José Fonte,Lille,0.5,0.1,0.4
Yan Valery,Angers,0.5,0.1,0.7
Elbasan Rashani,Clermont Foot,0.1,0.1,0.8
Ludovic Ajorque,Strasbourg,0.1,0,0.2
Loïc Badé,Rennes,0,0,0
Issa Kaboré,Marseille,0,0.1,0.5
Yahia Fofana,Angers,0,0,0
Ignatius Ganago,Nantes,0,0,0.4
Mounaïm El Idrissy,AC Ajaccio,0,0,0.7
Alexis Claude-Maurice,Lens,0,0,0.3
Andreaw Gravillon,Reims,0.7,0.3,0.7
Mathias Autret,Auxerre,0.1,0.1,0.5
Yusuf Yazici,Lille,0,0,0.5
Bingourou Kamara,Montpellier,0,0,0
Muhammed Cham,Clermont Foot,0,0,0.3
Jordan Ferri,Montpellier,0.2,0,0.5
Renaud Ripart,Troyes,0.1,0,1
Moses Simon,Nantes,0,0.1,0.4
Thomas Delaine,Strasbourg,0.2,0.1,0.3
Leandro Paredes,Paris Saint-Germain,0.3,0,0.3
Maxime Gonalons,Clermont Foot,0,0,0.8
Faouzi Ghoulam,Angers,0.3,0,0.3
Jean-Kévin Duverne,Brest,0.1,0.2,0.8
Ross Barkley,Nice,0.1,0,0.2
Nicolas Cozza,Montpellier,0.3,0.1,0.4
Stephy Mavididi,Montpellier,0,0,0.8
Jean-Louis Leca,Lens,0,0,0
Amine Harit,Marseille,0.1,0.1,0.3
Henrique,Lyon,0.1,0.3,0.3
Rémy Riou,Lyon,0,0,0
Edan Diop,Monaco,0.1,0.1,0.9
David Pereira da Costa,Lens,0,0.1,0.6
Maxime Esteve,Montpellier,0.7,0.2,0.5
Timothy Weah,Lille,0.1,0.1,0.5
Gabriel Gudmundsson,Lille,0.1,0.2,0.5
Mohamed Youssouf,AC Ajaccio,0.3,0.2,0.8
Igor Silva,Lorient,0,0.3,1
Noah Fadiga,Brest,0.3,0.1,0.5
Falaye Sacko,Montpellier,0.4,0.2,0.8
Dimitri Liénard,Strasbourg,0.1,0,0.9
Florent Mollet,Nantes,0.1,0.1,0.6
Antoine Mendy,Nice,0.1,0.6,0.5
Pedro Chirivella,Nantes,0,0,0.9
Akim Zedadka,Auxerre,0.2,0.6,0.7
Rayan Raveloson,Auxerre,0.4,0.1,0.9
Pape Gueye,Marseille,0.1,0,0.5
Ronaël Pierre-Gabriel,Strasbourg,0.2,0.1,0.9
Kamory Doumbia,Reims,0,0,0.6
Haris Belkebla,Brest,0.2,0.1,0.7
Evann Guessand,Nantes,0,0,0.5
Brecht Dejaegere,Toulouse,0.2,0,0.7
Jean Onana,Lens,0.2,0,0.5
Kenji-Van Boto,Auxerre,0,0.5,0
Yohann Magnin,Clermont Foot,0.3,0.2,1
Johann Lepenant,Lyon,0.2,0,0.8
Mickaël Barreto,AC Ajaccio,0,0.1,0.9
Vincent Marchetti,AC Ajaccio,0.1,0,0.6
Arkadiusz Milik,Marseille,0,0,0
Bamba Dieng,Lorient,0,0.1,0.4
