player_name,team_name,Total_Clearances
Gianluigi Donnarumma,Paris Saint-Germain,0.7
Marshall Munetsi,Reims,1.1
Youcef Belaïli,AC Ajaccio,0.1
Paul Joly,Auxerre,2
Cengiz Ünder,Marseille,0.3
Elye Wahi,Montpellier,0.1
Rony Lopes,Troyes,0.3
Nicolás Tagliafico,Lyon,1.3
Malo Gusto,Lyon,0.7
Benoît Badiashile,Monaco,3.5
Gaëtan Laborde,Rennes,0.3
Morgan Sanson,Strasbourg,0.3
Nuno Tavares,Marseille,0.7
Jordan Veretout,Marseille,1.1
Baptiste Santamaría,Rennes,0.9
Rafael Ratão,Toulouse,0.2
Frédéric Guilbert,Strasbourg,1.7
Axel Disasi,Monaco,2.9
Samuel Gigot,Marseille,3.1
Breel Embolo,Monaco,0.4
Adrien Truffert,Rennes,1.6
Ismaily,Lille,1.4
Corentin Tolisso,Lyon,0.7
Jaouen Hadjam,Nantes,0.6
Alexis Flips,Reims,0.3
Mory Diaw,Clermont Foot,0.5
Nathan Zézé,Nantes,1
Hamari Traoré,Rennes,1.9
Djed Spence,Rennes,1.4
Sergio Ramos,Paris Saint-Germain,2.8
Jordan Lotomba,Nice,1.4
Chancel Mbemba,Marseille,2.4
Angelo Fulgini,Lens,0.1
Stijn Spierings,Toulouse,1.2
Pau López,Marseille,0.6
Alban Lafont,Nantes,1.3
Luis Suárez,Marseille,0.9
Florian Tardieu,Troyes,0.7
Mikkel Desler,Toulouse,1.7
Facundo Medina,Lens,1.8
Maxime Dupé,Toulouse,0.7
Adam Ounas,Lille,0.1
Brendan Chardonnet,Brest,2.8
Montassar Talbi,Lorient,4.8
Andrei Radu,Auxerre,0.5
Johan Gastien,Clermont Foot,0.7
Alexsandro Ribeiro,Lille,2.7
Salis Abdul Samed,Lens,0.7
Emmanuel Agbadou,Reims,3.6
Kasper Schmeichel,Nice,0.4
Jean-Clair Todibo,Nice,3.1
Mohamed Camara,Monaco,0.4
Krépin Diatta,Monaco,0.4
