player_name,team_name,Total_Interception
Deiver Machado,Lens,0.6
Warmed Omari,Rennes,1.1
Marquinhos,Paris Saint-Germain,0.7
Théo Sainte-Luce,Montpellier,1.1
Lucien Agoumé,Troyes,1.8
Désiré Doué,Rennes,0.5
Vito Mannone,Lorient,0
Mario Lemina,Nice,0.8
Angel Gomes,Lille,0.4
Arthur Theate,Rennes,0.9
André Gomes,Lille,0.3
Steve Mandanda,Rennes,0
Marco Bizot,Brest,0
Zakaria Aboukhlal,Toulouse,0.6
Farès Chaïbi,Toulouse,0.5
Jean-Charles Castelletto,Nantes,1.8
Aaron Ramsey,Nice,0.6
Tiago Djaló,Lille,0.9
Gédéon Kalulu,Lorient,1
Han-Noah Massengo,Auxerre,1
Nuno da Costa,Auxerre,0.6
Anthony Lopes,Lyon,0.1
Andy Delort,Nice,0.1
Jeffinho,Lyon,0.1
Alexander Nübel,Monaco,0
Jonas Omlin,Montpellier,0
Karl Toko-Ekambi,Rennes,0.5
Youssouf Ndayishimiye,Nice,1.2
Joris Chotard,Montpellier,1.1
Bamo Meïté,Lorient,0.9
Nicolas Pallois,Nantes,1.2
Dimitri Payet,Marseille,0
Bafodé Diakité,Lille,0.5
Chrislain Matsima,Monaco,1.1
Jeanuël Belocian,Rennes,0.8
Quentin Bernard,Auxerre,2.1
Lilian Brassier,Brest,1.5
Anthony Rouault,Toulouse,1.5
Maximiliano Caufriez,Clermont Foot,1.3
Cheick Keita,Reims,0.6
Maxime Le Marchand,Strasbourg,1.4
Issiaga Sylla,Toulouse,2.2
Grejohn Kyei,Clermont Foot,0.2
Thijs Dallinga,Toulouse,0.1
Ruslan Malinovskyi,Marseille,0.2
Ismaël Doukouré,Strasbourg,1
Joe Rodon,Rennes,0.6
Mostafa Mohamed,Nantes,0.3
Julien Laporte,Lorient,0.9
Eliesse Ben Seghir,Monaco,0.2
Gabriel Suazo,Toulouse,1.2
Vincent Le Goff,Lorient,1.1
Mahdi Camara,Brest,1.3
Mattéo Guendouzi,Marseille,0.6
Hamza Sakhi,Auxerre,0.9
Lucas Chevalier,Lille,0.1
Flavien Tait,Rennes,0.7
Arnaud Kalimuendo,Rennes,0.1
Christopher Wooh,Rennes,0.5
Xavier Chavalerin,Troyes,1.2
Matz Sels,Strasbourg,0.1
Wahbi Khazri,Montpellier,0.3
Quentin Boisgard,Lorient,0.8
Presnel Kimpembe,Paris Saint-Germain,1.2
Isaak Touré,Auxerre,1.4
Jens Cajuste,Reims,0.6
Thiago Mendes,Lyon,1.5
Saël Kumbedi,Lyon,0.5
Mateusz Wieteska,Clermont Foot,1.6
Thomas Foket,Reims,1.4
Juan Bernat,Paris Saint-Germain,0.3
Gauthier Gallon,Troyes,0.1
Thibault De Smet,Reims,0.9
Kevin Gameiro,Strasbourg,0.3
Yvon Mvogo,Lorient,0.1
Jackson Porozo,Troyes,1.5
Habib Diarra,Strasbourg,0.4
Birama Touré,Auxerre,1.8
Lilian Raolisoa,Angers,0.4
Lucas Perrin,Strasbourg,1.4
Hugo Ekitike,Paris Saint-Germain,0.4
Jean Lucas,Monaco,0.7
Cheick Oumar Konaté,Clermont Foot,1.4
Dénys Bain,Auxerre,1
Rhys Healey,Toulouse,0
Bradley Locko,Reims,1.3
José Fonte,Lille,0.8
Yan Valery,Angers,1.1
Elbasan Rashani,Clermont Foot,0.7
Ludovic Ajorque,Strasbourg,0.2
Loïc Badé,Rennes,1
Issa Kaboré,Marseille,0.5
Yahia Fofana,Angers,0.1
Ignatius Ganago,Nantes,0.1
Mounaïm El Idrissy,AC Ajaccio,0.4
