player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Montassar Talbi,Lorient,0,0,0,0
Andrei Radu,Auxerre,0,0,0,0
Johan Gastien,Clermont Foot,0.1,0,0.1,0.1
Alexsandro Ribeiro,Lille,0.1,0,0.1,0
Salis Abdul Samed,Lens,0,0,0,0
Emmanuel Agbadou,Reims,0,0,0,0
Kasper Schmeichel,Nice,0,0,0,0
Jean-Clair Todibo,Nice,0,0,0,0
Mohamed Camara,Monaco,0,0,0,0
Krépin Diatta,Monaco,0.1,0.1,0,0
Himad Abdelli,Angers,0.1,0,0,0.1
Rominigue Kouamé,Troyes,0,0,0,0
Brice Samba,Lens,0,0,0,0
Arnaud Nordin,Montpellier,0.3,0.1,0.2,0
Danilo Pereira,Paris Saint-Germain,0.1,0,0,0
Guillermo Maripán,Monaco,0.1,0,0.1,0
Nordi Mukiele,Paris Saint-Germain,0,0,0,0
Youcef Atal,Nice,0.1,0,0.1,0
Melvin Bard,Nice,0,0,0,0
Sinaly Diomandé,Lyon,0,0,0,0
Alidu Seidu,Clermont Foot,0,0,0,0
Faitout Maouassa,Montpellier,0.2,0.1,0.1,0
Jimmy Cabot,Lens,0,0,0,0
Sead Kolasinac,Marseille,0.1,0.1,0.1,0
Vitinha,Paris Saint-Germain,0.1,0,0,0
Christopher Jullien,Montpellier,0,0,0,0
Saîf-Eddine Khaoui,Clermont Foot,0.2,0,0.1,0
Jérémy Le Douaron,Brest,0.3,0.1,0.2,0
Azzedine Ounahi,Angers,0,0,0,0
Castello Lukeba,Lyon,0.1,0,0,0
Mama Baldé,Troyes,0.4,0,0.3,0
Gideon Mensah,Auxerre,0,0,0,0
Ante Palaversa,Troyes,0.5,0.5,0,0
Sofiane Diop,Nice,0,0,0,0
Jubal,Auxerre,0.1,0.1,0,0
Leonardo Balerdi,Marseille,0,0,0,0
Quentin Merlin,Nantes,0,0,0,0
Badredine Bouanani,Nice,0,0,0,0
Lovro Majer,Rennes,0.1,0,0.1,0
Laurent Abergel,Lorient,0,0,0,0
Deiver Machado,Lens,0.1,0,0.1,0
Warmed Omari,Rennes,0,0,0,0
Marquinhos,Paris Saint-Germain,0.1,0,0.1,0
Théo Sainte-Luce,Montpellier,0.1,0,0.1,0
