player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Rayan Raveloson,Auxerre,1.1,0.3,1.4
Pape Gueye,Marseille,1.3,0.6,1.9
Ronaël Pierre-Gabriel,Strasbourg,1.8,0.1,1.9
Kamory Doumbia,Reims,1.2,1,2.2
Haris Belkebla,Brest,2.1,1.1,3.2
Evann Guessand,Nantes,0.8,0.2,1
Brecht Dejaegere,Toulouse,1.3,1.2,2.5
Jean Onana,Lens,1.3,0.6,1.9
Kenji-Van Boto,Auxerre,1.5,1,2.5
Yohann Magnin,Clermont Foot,2.3,1.4,3.7
Johann Lepenant,Lyon,1.9,1.7,3.6
Mickaël Barreto,AC Ajaccio,1.6,1.9,3.5
Vincent Marchetti,AC Ajaccio,1.8,1.4,3.2
Arkadiusz Milik,Marseille,0.5,0.5,1
Bamba Dieng,Lorient,1.3,0.5,1.8
Lesley Ugochukwu,Rennes,1.4,0.3,1.7
Théo Le Bris,Lorient,1.1,0.7,1.8
Sanjin Prcic,Strasbourg,0.9,0.4,1.3
Gerson,Marseille,0.6,0.2,0.8
Massadio Haïdara,Lens,0.7,0.3,1
Xeka,Rennes,1.3,1.1,2.4
Aiman Maurer,Clermont Foot,0.2,0.9,1.1
Youssouf Koné,AC Ajaccio,2.2,0.5,2.7
Gaetan Perrin,Auxerre,0.5,0.6,1.1
Kamaldeen Sulemana,Rennes,0.4,0.3,0.7
Reda Belahyane,Nice,2,0.5,2.5
Damien Da Silva,Lyon,1.1,0,1.1
Abdu Conté,Troyes,1.3,0.5,1.8
Ibrahima Koné,Lorient,0.6,0.2,0.8
Carlos Soler,Paris Saint-Germain,0.8,0.3,1.1
Yuito Suzuki,Strasbourg,0,0,0
Hugo Magnetti,Brest,1.3,1.3,2.6
Mehdi Zeffane,Clermont Foot,0.7,0.9,1.6
Stéphane Diarra,Lorient,0.9,0.6,1.5
Mathias Pereira Lage,Brest,0.8,0.8,1.6
Jim Allevinah,Clermont Foot,1.1,1.2,2.3
Wesley Saïd,Lens,0.2,0.2,0.4
Léo Leroy,Montpellier,2,1,2.9
Achraf Dari,Brest,1.2,0.3,1.5
Kays Ruiz-Atil,Auxerre,1,1,2
Yasser Larouci,Troyes,0.8,0.3,1.1
Warren Kamanzi,Toulouse,1.5,0.5,2
Myziane Maolida,Reims,0.9,0.8,1.7
Leny Yoro,Lille,0.8,0.4,1.2
Fernand Mayembo,AC Ajaccio,0.7,0.5,1.2
Colin Dagba,Strasbourg,1.5,0.3,1.9
Bradley Locko,Brest,0.6,0.1,0.7
Takumi Minamino,Monaco,0.8,1.6,2.4
Eduard Sobol,Strasbourg,1.3,0.3,1.5
Rudy Kohon,Troyes,4,0,4
Bevic Moussiti-Oko,AC Ajaccio,0.2,0.1,0.2
Jean-Victor Makengo,Lorient,1.1,0.9,2
Gerzino Nyamsi,Strasbourg,1.4,0.1,1.5
Renato Sanches,Paris Saint-Germain,0.3,0.4,0.7
Jean-Eudes Aholou,Strasbourg,1.1,0.6,1.8
Yoann Salmier,Troyes,1.6,0.4,2
Mattia Viti,Nice,0.4,0.3,0.8
Wilson Odobert,Troyes,0.6,0.5,1.1
Jere Uronen,Brest,1.3,0.8,2.2
Rubén Blanco,Marseille,0,0,0
Kevin Volland,Monaco,0.5,0.4,0.8
Dion Lopy,Reims,1.6,1.3,2.9
Jodel Dossou,Clermont Foot,0.8,0,0.8
Darlin Yongwa,Lorient,0.9,0.8,1.7
Houssem Aouar,Lyon,0.8,0.4,1.1
Jean-Claude Billong,Clermont Foot,0,0,0
Miha Blazic,Angers,0.3,0.3,0.7
Logan Costa,Toulouse,1.5,0.5,2
Samuel Moutoussamy,Nantes,1.8,1.4,3.3
Calvin Stengs,Nice,0.5,0.3,0.8
Adil Rami,Troyes,1,0.8,1.7
Ibrahima Sissoko,Strasbourg,1.5,0.8,2.3
Cédric Bakambu,Marseille,0.7,0,0.7
Ibrahim Diakité,Reims,1,0.3,1.3
Youcef Belaïli,Brest,0.8,0.8,1.7
Soungoutou Magassa,Monaco,2,1,3
Paul Bernardoni,Angers,0.1,0,0.1
Julian Jeanvier,Auxerre,1.5,0.4,1.9
Jeff Reine-Adélaïde,Lyon,0.6,0.3,0.9
Lassine Sinayoko,Auxerre,1,0.6,1.6
Pablo Rosario,Nice,1.5,0.5,2
Adrien Thomasson,Strasbourg,1.3,1.4,2.7
Julien Ponceau,Lorient,0.9,0.7,1.6
Souleyman Doumbia,Angers,1.9,0.6,2.5
Cyrille Bayala,AC Ajaccio,1.6,0.7,2.3
Akim Zedadka,Lille,0.1,0.3,0.4
Arbër Zeneli,Reims,0.4,0.3,0.7
Billal Brahimi,Nice,0.3,0.2,0.5
Oumar Gonzalez,AC Ajaccio,1.7,0.5,2.2
Vincent Sierro,Toulouse,1.3,1.2,2.5
Sacha Delaye,Montpellier,0.3,0,0.3
Siriki Dembélé,Auxerre,0.8,0.7,1.5
Moussa Sissoko,Nantes,0.9,0.2,1.1
Thierno Baldé,Troyes,0.9,0.4,1.3
Alexandre Coeff,Auxerre,1.4,0.7,2.1
Matis Carvalho,Montpellier,0,0,0
