player_name,team_name,CaughtOffside
Jens Cajuste,Reims,0
Thiago Mendes,Lyon,0
Saël Kumbedi,Lyon,0.2
Mateusz Wieteska,Clermont Foot,0
Thomas Foket,Reims,0.1
Juan Bernat,Paris Saint-Germain,0
Gauthier Gallon,Troyes,0
Thibault De Smet,Reims,0.1
Kevin Gameiro,Strasbourg,0.1
Yvon Mvogo,Lorient,0
Jackson Porozo,Troyes,0
Habib Diarra,Strasbourg,0
Birama Touré,Auxerre,0
Lilian Raolisoa,Angers,0
Lucas Perrin,Strasbourg,0
Hugo Ekitike,Paris Saint-Germain,0.3
Jean Lucas,Monaco,0.2
Cheick Oumar Konaté,Clermont Foot,0
Dénys Bain,Auxerre,0
Rhys Healey,Toulouse,0
Bradley Locko,Reims,0.1
José Fonte,Lille,0
Yan Valery,Angers,0
Elbasan Rashani,Clermont Foot,0.1
Ludovic Ajorque,Strasbourg,0.1
Loïc Badé,Rennes,0
Issa Kaboré,Marseille,0.1
Yahia Fofana,Angers,0
Ignatius Ganago,Nantes,0.3
Mounaïm El Idrissy,AC Ajaccio,0.7
Alexis Claude-Maurice,Lens,0
Andreaw Gravillon,Reims,0
Mathias Autret,Auxerre,0.1
Yusuf Yazici,Lille,0
Bingourou Kamara,Montpellier,0
Muhammed Cham,Clermont Foot,0
Jordan Ferri,Montpellier,0
Renaud Ripart,Troyes,0.2
Moses Simon,Nantes,0.1
Thomas Delaine,Strasbourg,0
Leandro Paredes,Paris Saint-Germain,0
Maxime Gonalons,Clermont Foot,0
Faouzi Ghoulam,Angers,0.3
Jean-Kévin Duverne,Brest,0.1
Ross Barkley,Nice,0
Nicolas Cozza,Montpellier,0.2
Stephy Mavididi,Montpellier,0.1
Jean-Louis Leca,Lens,0
Amine Harit,Marseille,0.2
Henrique,Lyon,0.1
Rémy Riou,Lyon,0
Edan Diop,Monaco,0
David Pereira da Costa,Lens,0
Maxime Esteve,Montpellier,0
Timothy Weah,Lille,0.1
Gabriel Gudmundsson,Lille,0.2
Mohamed Youssouf,AC Ajaccio,0
Igor Silva,Lorient,0
Noah Fadiga,Brest,0
Falaye Sacko,Montpellier,0.1
Dimitri Liénard,Strasbourg,0.1
Florent Mollet,Nantes,0.2
Antoine Mendy,Nice,0.2
Pedro Chirivella,Nantes,0
Akim Zedadka,Auxerre,0
Rayan Raveloson,Auxerre,0
Pape Gueye,Marseille,0.1
Ronaël Pierre-Gabriel,Strasbourg,0.1
Kamory Doumbia,Reims,0
Haris Belkebla,Brest,0
Evann Guessand,Nantes,0.2
Brecht Dejaegere,Toulouse,0
Jean Onana,Lens,0.1
Kenji-Van Boto,Auxerre,0
Yohann Magnin,Clermont Foot,0.1
Johann Lepenant,Lyon,0
Mickaël Barreto,AC Ajaccio,0
