player_name,team_name,UnsuccessfulTouches,Dispossessed
Youssouf Koné,AC Ajaccio,1.1,0.3
Gaetan Perrin,Auxerre,1.3,1.1
Kamaldeen Sulemana,Rennes,0.9,0.9
Reda Belahyane,Nice,0.8,1.3
Damien Da Silva,Lyon,0.3,0.1
Abdu Conté,Troyes,0.5,0.3
Ibrahima Koné,Lorient,1.8,0.7
Carlos Soler,Paris Saint-Germain,0.8,0.5
Yuito Suzuki,Strasbourg,1,0
Hugo Magnetti,Brest,0.7,0.5
Mehdi Zeffane,Clermont Foot,0.7,0.1
Stéphane Diarra,Lorient,1.1,0.5
Mathias Pereira Lage,Brest,1,0.8
Jim Allevinah,Clermont Foot,1.3,1.1
Wesley Saïd,Lens,0.9,0.3
Léo Leroy,Montpellier,1,0.5
Achraf Dari,Brest,0.2,0.2
Kays Ruiz-Atil,Auxerre,2,1
Yasser Larouci,Troyes,1.4,1.2
Warren Kamanzi,Toulouse,0.5,0.5
Myziane Maolida,Reims,1,0.4
Leny Yoro,Lille,0.4,0.1
Fernand Mayembo,AC Ajaccio,0.4,0.1
Colin Dagba,Strasbourg,0.4,0.5
Bradley Locko,Brest,0.3,0.3
Takumi Minamino,Monaco,1.6,0.6
Eduard Sobol,Strasbourg,0.8,0.5
Rudy Kohon,Troyes,1,0
Bevic Moussiti-Oko,AC Ajaccio,1.5,0.6
Jean-Victor Makengo,Lorient,1.1,1.5
Gerzino Nyamsi,Strasbourg,0.6,0.1
Renato Sanches,Paris Saint-Germain,0.6,0.3
Jean-Eudes Aholou,Strasbourg,1.1,0.5
Yoann Salmier,Troyes,0.3,0.2
Mattia Viti,Nice,0.2,0.2
Wilson Odobert,Troyes,1.5,0.8
Jere Uronen,Brest,0.3,0
Rubén Blanco,Marseille,0,0
Kevin Volland,Monaco,1.1,0.4
Dion Lopy,Reims,1,0.6
Jodel Dossou,Clermont Foot,0.9,0.6
Darlin Yongwa,Lorient,0.9,0.7
Houssem Aouar,Lyon,0.5,0.8
Jean-Claude Billong,Clermont Foot,0,0
Miha Blazic,Angers,0.1,0
Logan Costa,Toulouse,0.8,0
Samuel Moutoussamy,Nantes,0.7,0.5
Calvin Stengs,Nice,1.5,0.8
Adil Rami,Troyes,0.4,0
Ibrahima Sissoko,Strasbourg,0.8,0.7
Cédric Bakambu,Marseille,0.7,0.3
Ibrahim Diakité,Reims,0.3,0.3
Youcef Belaïli,Brest,2.7,0.7
Soungoutou Magassa,Monaco,0.5,0
Paul Bernardoni,Angers,0,0
Julian Jeanvier,Auxerre,0.4,0.1
Jeff Reine-Adélaïde,Lyon,0.9,0.6
Lassine Sinayoko,Auxerre,1.3,1
Pablo Rosario,Nice,0.7,0.4
Adrien Thomasson,Strasbourg,1.4,1.2
Julien Ponceau,Lorient,1.3,0.6
Souleyman Doumbia,Angers,1.2,0.4
Cyrille Bayala,AC Ajaccio,1.7,1.1
Akim Zedadka,Lille,0.5,0.4
Arbër Zeneli,Reims,2,1
Billal Brahimi,Nice,1,0.5
Oumar Gonzalez,AC Ajaccio,0.7,0.3
Vincent Sierro,Toulouse,0.4,0.5
Sacha Delaye,Montpellier,0,0
Siriki Dembélé,Auxerre,1.1,1.3
Moussa Sissoko,Nantes,1,0.6
Thierno Baldé,Troyes,1.2,0.5
Alexandre Coeff,Auxerre,0.4,0.4
Matis Carvalho,Montpellier,0,0
Yoann Cathline,Lorient,1.7,1.2
Ibrahima Niané,Angers,2.3,1.3
Abdallah Sima,Angers,1.8,0.9
Christophe Hérelle,Brest,0.2,0.1
Brayann Pereira,Auxerre,3,0
Birger Meling,Rennes,0.4,0.3
Wout Faes,Reims,0.3,0.3
Bamba Dieng,Marseille,0.7,0.4
Adrien Hunou,Angers,1.7,0.7
Cédric Hountondji,Angers,0.2,0.1
Vítinha,Marseille,1.3,0.6
Eric Bailly,Marseille,0.5,0.2
Tanguy Zoukrou,Troyes,0.1,0.3
Pierrick Capelle,Angers,1.3,0.8
Romain Faivre,Lyon,0.4,0.3
Franci Bouebari,Strasbourg,0.5,1
Ismaël Diallo,AC Ajaccio,1.3,0.4
Batista Mendy,Angers,0.7,0.8
Amine Salama,Angers,1.9,0.8
Mitchell van Bergen,Reims,0.9,0.4
Amine Gouiri,Nice,2.3,1.7
Mickaël Alphonse,AC Ajaccio,0.6,0.5
Moussa Diarra,Toulouse,1,0.2
Denis Genreau,Toulouse,0.7,0.3
Rémy Descamps,Nantes,0,0
Jeff Reine-Adélaïde,Troyes,0.5,2.2
João Victor,Nantes,0.8,0.6
Komnen Andric,Clermont Foot,1.4,0.9
Ruben Aguilar,Monaco,0.7,0.2
Maxime Busi,Reims,0.8,0.2
Khalil Fayad,Montpellier,0.6,0.3
Dennis Appiah,Nantes,0.8,0.7
Bonke Innocent,Lorient,0.3,0.2
Erik Palmer-Brown,Troyes,0.3,0.4
Amin Sarr,Lyon,1.5,0.4
Timothée Pembélé,Paris Saint-Germain,0.8,0.2
Florent Ogier,Clermont Foot,0.3,0
Nordine Kandil,Strasbourg,0.7,0.4
Jérôme Boateng,Lyon,0,0
Gauthier Hein,Auxerre,1,0.7
Azzedine Ounahi,Marseille,0.3,0.7
Arnaud Souquet,Montpellier,0.4,0.1
Thomas Mangani,AC Ajaccio,0.3,0.1
Moussa Dembélé,Lyon,1.4,0.7
Benoît Costil,Auxerre,0,0
Alexis Beka Beka,Nice,0.9,0.6
Enzo Tchato,Montpellier,0.7,0.3
Marcus Coco,Nantes,0.7,0.4
Malang Sarr,Monaco,0.3,0.2
Romain Hamouma,AC Ajaccio,2,0.7
Papa Ndiaga Yade,Troyes,0.6,0.4
Farid El Melali,Angers,1.6,0.8
M'Baye Niang,Auxerre,2.4,0.7
Warren Zaïre-Emery,Paris Saint-Germain,0.4,0.5
Gelson Martins,Monaco,0.9,0.6
Mamadou Sakho,Montpellier,0.1,0
Julien Le Cardinal,Lens,0.5,0.3
Clément Vidal,AC Ajaccio,0.2,0.2
Ibrahim Salah,Rennes,0.4,0.3
Myron Boadu,Monaco,1.4,0.6
Youssouf M'Changama,Auxerre,0.7,0.3
Mohamed Bayo,Lille,0.8,0.5
Eliot Matazo,Monaco,0.4,0.5
Ayoub Amraoui,Nice,0.4,0.1
Maghnes Akliouche,Monaco,0.7,0.6
Steven Fortès,Lens,0,0
