player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Christopher Wooh,Rennes,0.4,0,0,0.4
Xavier Chavalerin,Troyes,0.8,0.5,0,0.3
Matz Sels,Strasbourg,0,0,0,0
Wahbi Khazri,Montpellier,1.4,0.6,0.1,0.7
Quentin Boisgard,Lorient,1.2,0.4,0,0.8
Presnel Kimpembe,Paris Saint-Germain,0.4,0,0.3,0.1
Isaak Touré,Auxerre,0.4,0,0.2,0.3
Jens Cajuste,Reims,0.9,0.4,0,0.5
Thiago Mendes,Lyon,0.5,0.4,0,0.1
Saël Kumbedi,Lyon,0.5,0.3,0,0.2
Mateusz Wieteska,Clermont Foot,0.5,0,0.1,0.3
Thomas Foket,Reims,0.1,0,0,0.1
Juan Bernat,Paris Saint-Germain,0.3,0,0,0.2
Gauthier Gallon,Troyes,0,0,0,0
Thibault De Smet,Reims,0,0,0,0
Kevin Gameiro,Strasbourg,1.4,0.1,0.2,1
Yvon Mvogo,Lorient,0,0,0,0
Jackson Porozo,Troyes,1,0.2,0.2,0.6
Habib Diarra,Strasbourg,0.8,0.4,0,0.4
Birama Touré,Auxerre,0.7,0.5,0,0.2
Lilian Raolisoa,Angers,0.4,0.1,0,0.3
Lucas Perrin,Strasbourg,0.3,0,0,0.2
Hugo Ekitike,Paris Saint-Germain,1.4,0.4,0.2,0.8
Jean Lucas,Monaco,0.8,0.3,0,0.5
Cheick Oumar Konaté,Clermont Foot,0.3,0.2,0,0.1
Dénys Bain,Auxerre,0,0,0,0
Rhys Healey,Toulouse,1.3,0.5,0.3,0.5
Bradley Locko,Reims,0.3,0.3,0,0.1
José Fonte,Lille,0.5,0.1,0.1,0.2
Yan Valery,Angers,0.4,0.3,0,0.1
Elbasan Rashani,Clermont Foot,1.1,0.2,0.2,0.7
Ludovic Ajorque,Strasbourg,1.8,0.4,0.2,1.2
Loïc Badé,Rennes,2,0,0,2
Issa Kaboré,Marseille,0.4,0.1,0.1,0.1
Yahia Fofana,Angers,0,0,0,0
Ignatius Ganago,Nantes,1.2,0.2,0.2,0.8
Mounaïm El Idrissy,AC Ajaccio,1.6,0.3,0.1,1.2
Alexis Claude-Maurice,Lens,0.7,0.2,0,0.5
Andreaw Gravillon,Reims,0.6,0.4,0.1,0.2
Mathias Autret,Auxerre,1,0.7,0,0.3
Yusuf Yazici,Lille,1.3,0.8,0,0.5
Bingourou Kamara,Montpellier,0,0,0,0
Muhammed Cham,Clermont Foot,1.4,0.8,0.1,0.5
Jordan Ferri,Montpellier,0.4,0.3,0,0.1
Renaud Ripart,Troyes,1.5,0.5,0.1,1
Moses Simon,Nantes,1,0.3,0.1,0.6
Thomas Delaine,Strasbourg,0.4,0.2,0,0.2
Leandro Paredes,Paris Saint-Germain,0,0,0,0
Maxime Gonalons,Clermont Foot,0.2,0.2,0,0
Faouzi Ghoulam,Angers,0.1,0.1,0,0
Jean-Kévin Duverne,Brest,0.1,0.1,0,0
Ross Barkley,Nice,1.4,0.8,0.1,0.5
Nicolas Cozza,Montpellier,0.4,0.1,0.2,0.1
Stephy Mavididi,Montpellier,1.4,0.4,0.2,0.9
Jean-Louis Leca,Lens,0,0,0,0
Amine Harit,Marseille,0.6,0.3,0,0.3
Henrique,Lyon,0.1,0.1,0,0
Rémy Riou,Lyon,0,0,0,0
Edan Diop,Monaco,0.9,0.1,0,0.7
