player_name,team_name,Total_Key passes,Long,Short
Jeffinho,Lyon,0.8,0,0.8
Alexander Nübel,Monaco,0,0,0
Jonas Omlin,Montpellier,0,0,0
Karl Toko-Ekambi,Rennes,0.7,0,0.7
Youssouf Ndayishimiye,Nice,0.1,0,0.1
Joris Chotard,Montpellier,0.8,0.3,0.5
Bamo Meïté,Lorient,0.1,0,0.1
Nicolas Pallois,Nantes,0.2,0,0.2
Dimitri Payet,Marseille,1.3,0.2,1.1
Bafodé Diakité,Lille,0.2,0,0.2
Chrislain Matsima,Monaco,0.1,0,0.1
Jeanuël Belocian,Rennes,0.1,0,0.1
Quentin Bernard,Auxerre,1,0.6,0.4
Lilian Brassier,Brest,0.2,0,0.2
Anthony Rouault,Toulouse,0.1,0.1,0.1
Maximiliano Caufriez,Clermont Foot,0,0,0
Cheick Keita,Reims,0.1,0.1,0
Maxime Le Marchand,Strasbourg,0.1,0.1,0
Issiaga Sylla,Toulouse,0.4,0,0.4
Grejohn Kyei,Clermont Foot,0.4,0,0.4
Thijs Dallinga,Toulouse,0.6,0,0.6
Ruslan Malinovskyi,Marseille,1,0.2,0.8
Ismaël Doukouré,Strasbourg,0.1,0.1,0
Joe Rodon,Rennes,0.1,0,0.1
Mostafa Mohamed,Nantes,0.4,0,0.4
Julien Laporte,Lorient,0.1,0.1,0
Eliesse Ben Seghir,Monaco,0.7,0,0.7
Gabriel Suazo,Toulouse,0.6,0,0.6
Vincent Le Goff,Lorient,0.4,0.1,0.3
Mahdi Camara,Brest,0.3,0,0.3
Mattéo Guendouzi,Marseille,0.6,0.1,0.5
Hamza Sakhi,Auxerre,1.4,0.4,1
Lucas Chevalier,Lille,0.1,0.1,0
Flavien Tait,Rennes,0.8,0.1,0.7
Arnaud Kalimuendo,Rennes,0.4,0,0.4
Christopher Wooh,Rennes,0.1,0,0.1
Xavier Chavalerin,Troyes,0.6,0.2,0.5
Matz Sels,Strasbourg,0,0,0
Wahbi Khazri,Montpellier,0.7,0.2,0.5
Quentin Boisgard,Lorient,0.8,0,0.8
Presnel Kimpembe,Paris Saint-Germain,0.1,0,0.1
Isaak Touré,Auxerre,0.4,0.1,0.4
Jens Cajuste,Reims,0.5,0,0.5
Thiago Mendes,Lyon,0.3,0.1,0.3
Saël Kumbedi,Lyon,0.5,0.1,0.4
Mateusz Wieteska,Clermont Foot,0.1,0,0.1
Thomas Foket,Reims,1,0,0.9
Juan Bernat,Paris Saint-Germain,0.8,0,0.8
Gauthier Gallon,Troyes,0,0,0
Thibault De Smet,Reims,0.5,0,0.5
Kevin Gameiro,Strasbourg,0.7,0,0.7
Yvon Mvogo,Lorient,0,0,0
Jackson Porozo,Troyes,0.1,0,0
Habib Diarra,Strasbourg,0.8,0.1,0.7
Birama Touré,Auxerre,0.1,0.1,0.1
Lilian Raolisoa,Angers,0.4,0,0.4
Lucas Perrin,Strasbourg,0.3,0.2,0.2
Hugo Ekitike,Paris Saint-Germain,0.4,0,0.4
Jean Lucas,Monaco,0.5,0,0.5
Cheick Oumar Konaté,Clermont Foot,0.2,0.1,0.1
Dénys Bain,Auxerre,0,0,0
Rhys Healey,Toulouse,0.5,0,0.5
Bradley Locko,Reims,0.5,0.1,0.5
José Fonte,Lille,0.1,0,0.1
Yan Valery,Angers,0.4,0.1,0.3
Elbasan Rashani,Clermont Foot,0.6,0.1,0.6
Ludovic Ajorque,Strasbourg,0.8,0.2,0.6
Loïc Badé,Rennes,1,0,1
Issa Kaboré,Marseille,0.6,0,0.5
Yahia Fofana,Angers,0,0,0
Ignatius Ganago,Nantes,0.4,0,0.4
Mounaïm El Idrissy,AC Ajaccio,0.4,0,0.4
Alexis Claude-Maurice,Lens,0.4,0,0.4
Andreaw Gravillon,Reims,0.2,0.1,0.2
Mathias Autret,Auxerre,1.2,0.5,0.7
Yusuf Yazici,Lille,2,0.5,1.5
Bingourou Kamara,Montpellier,0,0,0
Muhammed Cham,Clermont Foot,0.8,0.2,0.6
Jordan Ferri,Montpellier,0.9,0.2,0.7
Renaud Ripart,Troyes,0.8,0,0.8
Moses Simon,Nantes,1.2,0.3,0.9
Thomas Delaine,Strasbourg,0.5,0.1,0.5
Leandro Paredes,Paris Saint-Germain,0.7,0,0.7
Maxime Gonalons,Clermont Foot,0.4,0.1,0.2
Faouzi Ghoulam,Angers,1.4,0.9,0.6
Jean-Kévin Duverne,Brest,0.3,0.1,0.2
Ross Barkley,Nice,1.1,0.3,0.9
Nicolas Cozza,Montpellier,0.4,0.1,0.3
Stephy Mavididi,Montpellier,0.5,0,0.5
Jean-Louis Leca,Lens,0,0,0
Amine Harit,Marseille,1.5,0.2,1.3
Henrique,Lyon,0.1,0,0.1
Rémy Riou,Lyon,0,0,0
Edan Diop,Monaco,0.4,0,0.4
David Pereira da Costa,Lens,0.9,0,0.9
Maxime Esteve,Montpellier,0,0,0
Timothy Weah,Lille,0.6,0,0.6
Gabriel Gudmundsson,Lille,0.6,0,0.6
Mohamed Youssouf,AC Ajaccio,0.5,0.1,0.4
Igor Silva,Lorient,0.3,0,0.3
Noah Fadiga,Brest,0.1,0,0.1
Falaye Sacko,Montpellier,0.5,0.1,0.5
Dimitri Liénard,Strasbourg,1.1,0.6,0.5
Florent Mollet,Nantes,1.2,0.5,0.7
Antoine Mendy,Nice,0.5,0,0.5
Pedro Chirivella,Nantes,0.9,0.2,0.8
Akim Zedadka,Auxerre,0.7,0,0.7
Rayan Raveloson,Auxerre,0.4,0.1,0.3
Pape Gueye,Marseille,0.3,0.1,0.2
Ronaël Pierre-Gabriel,Strasbourg,0.3,0.1,0.1
Kamory Doumbia,Reims,0.7,0,0.7
Haris Belkebla,Brest,0.3,0.1,0.2
Evann Guessand,Nantes,0.4,0,0.4
Brecht Dejaegere,Toulouse,0.6,0.1,0.5
Jean Onana,Lens,0.3,0,0.2
Kenji-Van Boto,Auxerre,0,0,0
Yohann Magnin,Clermont Foot,0.6,0.1,0.5
Johann Lepenant,Lyon,0.3,0,0.3
Mickaël Barreto,AC Ajaccio,0.9,0.2,0.8
Vincent Marchetti,AC Ajaccio,0.5,0.1,0.4
Arkadiusz Milik,Marseille,0.5,0,0.5
Bamba Dieng,Lorient,0.3,0,0.3
Lesley Ugochukwu,Rennes,0.1,0,0.1
Théo Le Bris,Lorient,0.5,0,0.5
Sanjin Prcic,Strasbourg,0.4,0.1,0.3
Gerson,Marseille,0.4,0.1,0.3
Massadio Haïdara,Lens,0.2,0.1,0.2
Xeka,Rennes,0,0,0
Aiman Maurer,Clermont Foot,0.6,0,0.6
Youssouf Koné,AC Ajaccio,0.1,0,0.1
Gaetan Perrin,Auxerre,0.7,0.2,0.5
Kamaldeen Sulemana,Rennes,0.4,0,0.4
Reda Belahyane,Nice,0.3,0,0.3
Damien Da Silva,Lyon,0,0,0
Abdu Conté,Troyes,0.7,0,0.7
Ibrahima Koné,Lorient,0.4,0,0.4
Carlos Soler,Paris Saint-Germain,0.5,0.1,0.4
Yuito Suzuki,Strasbourg,0,0,0
Hugo Magnetti,Brest,0.4,0.1,0.3
Mehdi Zeffane,Clermont Foot,0.5,0.1,0.4
Stéphane Diarra,Lorient,0.4,0,0.4
Mathias Pereira Lage,Brest,0.6,0.1,0.5
Jim Allevinah,Clermont Foot,0.5,0.1,0.4
Wesley Saïd,Lens,0.3,0,0.3
Léo Leroy,Montpellier,0.4,0.1,0.3
Achraf Dari,Brest,0.1,0,0.1
Kays Ruiz-Atil,Auxerre,0,0,0
Yasser Larouci,Troyes,0.6,0.1,0.5
Warren Kamanzi,Toulouse,0.5,0,0.5
Myziane Maolida,Reims,0.2,0,0.2
Leny Yoro,Lille,0.1,0,0.1
Fernand Mayembo,AC Ajaccio,0.2,0,0.2
Colin Dagba,Strasbourg,0.6,0,0.6
Bradley Locko,Brest,0.3,0,0.3
Takumi Minamino,Monaco,0.6,0.1,0.4
Eduard Sobol,Strasbourg,0.5,0,0.5
Rudy Kohon,Troyes,0,0,0
Bevic Moussiti-Oko,AC Ajaccio,0.3,0,0.3
Jean-Victor Makengo,Lorient,0.5,0.1,0.5
Gerzino Nyamsi,Strasbourg,0.2,0.1,0.1
Renato Sanches,Paris Saint-Germain,0.4,0,0.4
Jean-Eudes Aholou,Strasbourg,0.3,0,0.3
Yoann Salmier,Troyes,0.2,0,0.2
Mattia Viti,Nice,0,0,0
Wilson Odobert,Troyes,0.7,0.2,0.5
Jere Uronen,Brest,0.2,0.2,0
Rubén Blanco,Marseille,0,0,0
Kevin Volland,Monaco,0.8,0.1,0.7
Dion Lopy,Reims,0.5,0,0.5
Jodel Dossou,Clermont Foot,0.3,0,0.3
Darlin Yongwa,Lorient,0.6,0,0.6
Houssem Aouar,Lyon,0.4,0,0.4
Jean-Claude Billong,Clermont Foot,0,0,0
Miha Blazic,Angers,0,0,0
Logan Costa,Toulouse,0.3,0.2,0.2
Samuel Moutoussamy,Nantes,0.5,0,0.5
Calvin Stengs,Nice,0.3,0,0.3
Adil Rami,Troyes,0.2,0,0.2
Ibrahima Sissoko,Strasbourg,0.4,0,0.4
Cédric Bakambu,Marseille,0.7,0,0.7
Ibrahim Diakité,Reims,0,0,0
Youcef Belaïli,Brest,1.3,0.7,0.7
Soungoutou Magassa,Monaco,0,0,0
Paul Bernardoni,Angers,0,0,0
